ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: A,gpt-4o-mini,1.21,2983
SEN01,Note: C,gpt-4o-mini,0.8,3784
UCA11,Note: B,gpt-4o-mini,1.1,3753
UPS10,Note: C,gpt-4o-mini,2.04,4201
SPC08,Note: B,gpt-4o-mini,0.54,3339
LRE11,Note: B,gpt-4o-mini,2.3,3881
SOU15,Note: B,gpt-4o-mini,0.74,4153
UCA07,Note: A,gpt-4o-mini,0.49,3776
BRE16,Note: C,gpt-4o-mini,0.67,3632
SPC09,Note: B,gpt-4o-mini,0.9,3237
ALS08,Note: B,gpt-4o-mini,1.83,4097
PES08,Note: C,gpt-4o-mini,0.71,4032
LYO02,Note: B,gpt-4o-mini,0.7,3941
UCA05,Note: B,gpt-4o-mini,0.9,3567
CVL01,Note: B,gpt-4o-mini,2.13,3880
BOD07,Note: B,gpt-4o-mini,0.67,3756
ALS03,Note: B,gpt-4o-mini,0.73,4073
GRE03,Note: B,gpt-4o-mini,1.21,3750
PES06,Note: B,gpt-4o-mini,1.73,3454
OCM10,Note: B,gpt-4o-mini,0.39,3773
LOR02,Note: C,gpt-4o-mini,1.21,3884
UPL02,Note: C,gpt-4o-mini,1.11,3878
NOR10,Note: B,gpt-4o-mini,1.21,3604
BRE14,Note: B,gpt-4o-mini,1.01,3954
LYO05,Note: C,gpt-4o-mini,2.13,4032
GRE07,Note: B,gpt-4o-mini,0.6,3950
POF03,Note: B,gpt-4o-mini,0.81,3947
BFC09,Note: B,gpt-4o-mini,1.11,3652
BFC10,Note: B,gpt-4o-mini,2.34,3594
GRE01,Note: C,gpt-4o-mini,0.6,3666
OCM08,Note: C,gpt-4o-mini,0.7,3756
LYO01,Note: B,gpt-4o-mini,1.71,3946
BOD11,Note: B,gpt-4o-mini,0.61,3343
LRE02,Note: C,gpt-4o-mini,0.6,3704
OCM07,Note: C,gpt-4o-mini,1.11,3958
SPC05,Note: C,gpt-4o-mini,1.31,4055
BOD04,Note: C,gpt-4o-mini,0.9,3889
POF05,Note: B,gpt-4o-mini,2.24,3779
SPC03,Note: B,gpt-4o-mini,0.6,3639
SOU01,Note: C,gpt-4o-mini,0.8,3934
OCM11,Note: C,gpt-4o-mini,0.7,3651
NOR04,Note: B,gpt-4o-mini,2.65,3582
SPC04,Note: C,gpt-4o-mini,0.8,4136
LDV05,Note: C,gpt-4o-mini,0.5,4081
ALS05,Note: B,gpt-4o-mini,2.23,3767
LYO10,Note: B,gpt-4o-mini,0.49,3906
OCM14,Note: B,gpt-4o-mini,1.23,3843
SOU07,Note: B,gpt-4o-mini,0.98,4071
BRE04,Note: B,gpt-4o-mini,1.15,3839
HES06,Note: B,gpt-4o-mini,1.27,3392
UCA02,Note: B,gpt-4o-mini,0.8,3551
PES07,Note: B,gpt-4o-mini,0.9,3730
UCA14,Note: A,gpt-4o-mini,0.6,3834
CFE05,Note: B,gpt-4o-mini,1.21,4082
PES03,Note: B,gpt-4o-mini,1.31,3849
ALS04,Note: C,gpt-4o-mini,1.82,4155
SOU14,Note: B,gpt-4o-mini,0.7,3578
CVL03,Note: B,gpt-4o-mini,0.4,3801
NOR12,Note: B,gpt-4o-mini,1.91,4134
OCM18,Note: B,gpt-4o-mini,0.51,3983
BFC02,Note: B,gpt-4o-mini,1.73,4262
CFE09,Note: B,gpt-4o-mini,0.7,3828
LDV08,Note: B,gpt-4o-mini,1.52,3382
SOU10,Note: B,gpt-4o-mini,1.21,3855
SOU09,Note: B,gpt-4o-mini,1.04,3680
ALS09,Note: B,gpt-4o-mini,1.69,3673
ALS11,Note: C,gpt-4o-mini,0.7,4226
GRE13,Note: B,gpt-4o-mini,0.7,3817
HES08,Note: B,gpt-4o-mini,1.21,3735
LDV09,Note: B,gpt-4o-mini,1.17,3816
LDV07,Note: B,gpt-4o-mini,1.15,3722
ALS10,Note: B,gpt-4o-mini,2.03,3816
OCM13,Note: B,gpt-4o-mini,0.53,3329
HES02,Note: C,gpt-4o-mini,1.69,4087
HES03,Note: B,gpt-4o-mini,0.71,3396
NOR05,Note: B,gpt-4o-mini,0.69,3990
LOR03,Note: C,gpt-4o-mini,1.01,4012
CVL02,Note: B,gpt-4o-mini,0.8,3933
UPS04,Note: B,gpt-4o-mini,0.9,3871
HES05,Note: B,gpt-4o-mini,0.49,3847
SEN02,Note: C,gpt-4o-mini,2.64,3991
BOD12,Note: B,gpt-4o-mini,0.7,4107
LYO11,Note: C,gpt-4o-mini,1.41,3722
BOD01,Note: B,gpt-4o-mini,1.21,3856
SOU13,Note: B,gpt-4o-mini,1.01,4105
CFE02,Note: C,gpt-4o-mini,1.17,3597
HES01,Note: B,gpt-4o-mini,0.74,3387
LOR08,Note: B,gpt-4o-mini,0.7,3706
LRE09,Note: B,gpt-4o-mini,5.41,3521
BFC06,Note: B,gpt-4o-mini,1.42,3921
