ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: C,gpt-4o,0.83,2849
SEN01,Note: A,gpt-4o,11.8,3633
UCA11,Note: B,gpt-4o,7.43,3590
UPS10,Note: A,gpt-4o,7.7,3745
SPC08,Note: B,gpt-4o,7.05,3538
LRE11,Note: A,gpt-4o,7.76,3505
SOU15,Note: A,gpt-4o,0.68,3789
UCA07,Note: A,gpt-4o,12.89,3667
BRE16,Note: A,gpt-4o,0.56,3853
SPC09,Note: A,gpt-4o,13.41,3023
ALS08,Note: B,gpt-4o,8.83,4177
PES08,Note: B,gpt-4o,0.84,3180
LYO02,Note: A,gpt-4o,12.39,3801
UCA05,Note: B,gpt-4o,7.97,3785
CVL01,Note: A,gpt-4o,6.98,3732
BOD07,Note: B,gpt-4o,7.08,3657
ALS03,Note: A,gpt-4o,7.64,3567
GRE03,Note: B,gpt-4o,8.36,3447
PES06,Note: A,gpt-4o,5.58,3537
OCM10,Note: B,gpt-4o,7.49,3393
LOR02,Note: A,gpt-4o,5.78,3420
UPL02,Note: A,gpt-4o,1.1,3774
NOR10,Note: A,gpt-4o,16.21,3556
BRE14,Note: A,gpt-4o,5.66,3525
LYO05,Note: B,gpt-4o,7.94,3738
GRE07,Note: A,gpt-4o,7.47,3571
POF03,Note: A,gpt-4o,5.64,3849
BFC09,Note: B,gpt-4o,1.05,3513
BFC10,Note: B,gpt-4o,9.0,3546
GRE01,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 26094, Requested 4027. Please try again in 242ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4o,0.0,0
OCM08,Note: B,gpt-4o,0.84,3514
LYO01,Note: A,gpt-4o,1.1,3703
BOD11,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 26243, Requested 4032. Please try again in 550ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4o,0.0,0
LRE02,Note: A,gpt-4o,2.31,4046
OCM07,Note: B,gpt-4o,8.22,3991
SPC05,Note: A,gpt-4o,6.83,3643
BOD04,Note: A,gpt-4o,9.72,3876
POF05,Note: A,gpt-4o,5.63,3844
SPC03,Note: B,gpt-4o,8.82,3705
SOU01,Note: A,gpt-4o,6.0,3732
OCM11,Note: B,gpt-4o,7.72,3532
NOR04,Note: A,gpt-4o,7.35,3638
SPC04,Note: A,gpt-4o,7.38,4067
LDV05,Note: B,gpt-4o,7.33,3769
ALS05,Note: A,gpt-4o,8.21,3840
LYO10,Note: B,gpt-4o,7.12,3697
OCM14,Note: B,gpt-4o,6.98,3556
SOU07,Note: B,gpt-4o,8.84,4022
BRE04,Note: A,gpt-4o,6.24,3632
HES06,Note: B,gpt-4o,7.57,3532
UCA02,Note: A,gpt-4o,8.98,3599
PES07,Note: A,gpt-4o,5.6,3683
UCA14,Note: A,gpt-4o,7.88,3935
CFE05,Note: B,gpt-4o,6.98,3662
PES03,Note: B,gpt-4o,7.44,3623
ALS04,Note: A,gpt-4o,9.86,3927
SOU14,Note: A,gpt-4o,4.89,3563
CVL03,Note: A,gpt-4o,9.04,3725
NOR12,Note: A,gpt-4o,5.95,3842
OCM18,Note: A,gpt-4o,9.52,3768
BFC02,Note: A,gpt-4o,6.91,4148
CFE09,Note: A,gpt-4o,6.82,3849
LDV08,Note: B,gpt-4o,7.5,3623
SOU10,Note: A,gpt-4o,8.79,3620
SOU09,Note: C,gpt-4o,5.28,3124
ALS09,Note: A,gpt-4o,8.66,3509
ALS11,Note: A,gpt-4o,5.42,3836
GRE13,Note: B,gpt-4o,7.93,3959
HES08,Note: A,gpt-4o,7.9,3900
LDV09,Note: B,gpt-4o,7.43,3618
LDV07,Note: A,gpt-4o,6.19,3215
ALS10,Note: A,gpt-4o,10.16,4033
OCM13,Note: A,gpt-4o,6.13,3254
HES02,Note: A,gpt-4o,7.88,4002
HES03,Note: A,gpt-4o,0.76,3479
NOR05,Note: A,gpt-4o,11.58,3465
LOR03,Note: B,gpt-4o,7.82,3979
CVL02,Note: B,gpt-4o,7.64,3748
UPS04,Note: A,gpt-4o,7.48,3606
HES05,Note: A,gpt-4o,7.36,3780
SEN02,Note: C,gpt-4o,7.47,4049
BOD12,Note: B,gpt-4o,7.11,3498
LYO11,Note: B,gpt-4o,7.6,3663
BOD01,Note: B,gpt-4o,7.42,3898
SOU13,Note: A,gpt-4o,8.15,3629
CFE02,Note: A,gpt-4o,12.39,3349
HES01,Note: A,gpt-4o,0.72,3479
LOR08,Note: B,gpt-4o,7.0,3551
LRE09,Note: A,gpt-4o,6.74,3538
BFC06,Note: B,gpt-4o,8.22,4017
