ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 1,gpt-4o,0.66,504
SEN01,Note: 4,gpt-4o,1.76,823
UCA11,Note: 4,gpt-4o,1.56,885
UPS10,Note: 5,gpt-4o,3.13,988
SPC08,Note: 4,gpt-4o,0.61,795
LRE11,Note: 5,gpt-4o,1.51,862
SOU15,Note: 4,gpt-4o,1.92,937
UCA07,Note: 2,gpt-4o,1.11,832
BRE16,Note: 5,gpt-4o,2.55,943
SPC09,Note: 2,gpt-4o,2.44,654
ALS08,Note: 4,gpt-4o,0.61,979
PES08,Note: 5,gpt-4o,1.94,819
LYO02,Note: 5,gpt-4o,1.62,821
UCA05,Note: 4,gpt-4o,1.83,834
CVL01,Note: 3,gpt-4o,1.22,783
BOD07,Note: 5,gpt-4o,1.73,884
ALS03,Note: 4,gpt-4o,1.83,928
GRE03,Note: 4,gpt-4o,1.52,730
PES06,Note: 5,gpt-4o,1.73,816
OCM10,Note: 5,gpt-4o,1.73,844
LOR02,Note: 4,gpt-4o,1.32,836
UPL02,Note: 4,gpt-4o,2.13,921
NOR10,Note: 5,gpt-4o,1.22,736
BRE14,Note: 5,gpt-4o,1.73,852
LYO05,Note: 3,gpt-4o,1.94,954
GRE07,Note: 4,gpt-4o,1.93,848
POF03,Note: 4,gpt-4o,1.84,997
BFC09,Note: 4,gpt-4o,1.93,804
BFC10,Note: 4,gpt-4o,1.11,744
GRE01,Note: 5,gpt-4o,1.83,810
OCM08,Note: 3,gpt-4o,1.51,770
LYO01,Note: 4,gpt-4o,1.41,876
BOD11,Note: 4,gpt-4o,1.44,754
LRE02,Note: 5,gpt-4o,2.03,915
OCM07,Note: 4,gpt-4o,2.12,922
SPC05,Note: 5,gpt-4o,2.56,946
BOD04,Note: 3,gpt-4o,0.91,813
POF05,Note: 4,gpt-4o,1.22,841
SPC03,Note: 5,gpt-4o,2.75,724
SOU01,Note: 4,gpt-4o,0.5,968
OCM11,Note: 4,gpt-4o,1.98,767
NOR04,Note: 5,gpt-4o,1.37,737
SPC04,Note: 5,gpt-4o,1.83,943
LDV05,Note: 5,gpt-4o,1.83,969
ALS05,Note: 4,gpt-4o,1.87,866
LYO10,Note: 4,gpt-4o,1.69,938
OCM14,Note: 4,gpt-4o,1.87,867
SOU07,Note: 3,gpt-4o,1.89,945
BRE04,Note: 4,gpt-4o,1.83,937
HES06,Note: 5,gpt-4o,1.4,726
UCA02,Note: 3,gpt-4o,1.55,794
PES07,Note: 5,gpt-4o,1.83,790
UCA14,Note: 3,gpt-4o,1.63,987
CFE05,Note: 3,gpt-4o,1.83,868
PES03,Note: 5,gpt-4o,1.63,861
ALS04,Note: 5,gpt-4o,2.03,986
SOU14,Note: 4,gpt-4o,1.29,751
CVL03,Note: 5,gpt-4o,1.67,823
NOR12,Note: 5,gpt-4o,2.41,973
OCM18,Note: 4,gpt-4o,1.19,889
BFC02,Note: 3,gpt-4o,2.36,1006
CFE09,Note: 4,gpt-4o,1.75,910
LDV08,Note: 4,gpt-4o,2.0,820
SOU10,Note: 4,gpt-4o,1.32,895
SOU09,Note: 3,gpt-4o,1.31,692
ALS09,Note: 4,gpt-4o,1.63,830
ALS11,Note: 5,gpt-4o,2.14,986
GRE13,Note: 4,gpt-4o,1.69,900
HES08,Note: 5,gpt-4o,1.77,934
LDV09,Note: 4,gpt-4o,1.63,775
LDV07,Note: 4,gpt-4o,1.73,877
ALS10,Note: 5,gpt-4o,1.83,949
OCM13,Note: 4,gpt-4o,1.52,682
HES02,Note: 5,gpt-4o,1.52,972
HES03,Note: 3,gpt-4o,1.42,651
NOR05,Note: 4,gpt-4o,2.04,852
LOR03,Note: 3,gpt-4o,1.73,912
CVL02,Note: 4,gpt-4o,1.62,939
UPS04,Note: 4,gpt-4o,2.03,853
HES05,Note: 3,gpt-4o,1.42,794
SEN02,Note: 4,gpt-4o,1.72,928
BOD12,Note: 4,gpt-4o,1.88,949
LYO11,Note: 4,gpt-4o,2.18,903
BOD01,Note: 4,gpt-4o,1.66,897
SOU13,Note: 4,gpt-4o,1.58,926
CFE02,Note: 3,gpt-4o,1.32,695
HES01,Note: 3,gpt-4o,1.56,753
LOR08,Note: 4,gpt-4o,1.53,832
LRE09,Note: 4,gpt-4o,1.67,741
BFC06,Note: 5,gpt-4o,1.84,882
