ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: C,gpt-4o,0.57,480
SEN01,Note: C,gpt-4o,0.6,799
UCA11,Note: B,gpt-4o,2.66,861
UPS10,Note: B,gpt-4o,3.61,964
SPC08,Note: B,gpt-4o,0.61,771
LRE11,Note: B,gpt-4o,1.43,838
SOU15,Note: C,gpt-4o,1.51,913
UCA07,Note: C,gpt-4o,1.73,808
BRE16,Note: C,gpt-4o,1.94,919
SPC09,Note: C,gpt-4o,1.23,630
ALS08,Note: B,gpt-4o,1.69,955
PES08,Note: C,gpt-4o,1.95,795
LYO02,Note: C,gpt-4o,1.04,797
UCA05,Note: C,gpt-4o,2.08,810
CVL01,Note: B,gpt-4o,1.97,759
BOD07,Note: B,gpt-4o,0.8,860
ALS03,Note: B,gpt-4o,1.93,904
GRE03,Note: B,gpt-4o,1.83,706
PES06,Note: B,gpt-4o,1.22,792
OCM10,Note: B,gpt-4o,0.7,820
LOR02,Note: B,gpt-4o,2.54,812
UPL02,Note: B,gpt-4o,2.75,897
NOR10,Note: B,gpt-4o,0.9,712
BRE14,Note: B,gpt-4o,1.12,828
LYO05,Note: C,gpt-4o,1.83,930
GRE07,Note: C,gpt-4o,1.42,824
POF03,Note: C,gpt-4o,2.03,973
BFC09,Note: B,gpt-4o,1.62,780
BFC10,Note: B,gpt-4o,1.53,720
GRE01,Note: B,gpt-4o,1.42,786
OCM08,Note: C,gpt-4o,1.63,746
LYO01,Note: B,gpt-4o,1.52,852
BOD11,Note: B,gpt-4o,2.44,730
LRE02,Note: B,gpt-4o,0.36,891
OCM07,Note: C,gpt-4o,2.28,898
SPC05,Note: B,gpt-4o,1.62,922
BOD04,Note: B,gpt-4o,1.63,789
POF05,Note: C,gpt-4o,2.24,817
SPC03,Note: B,gpt-4o,1.93,700
SOU01,Note: B,gpt-4o,0.7,944
OCM11,Note: B,gpt-4o,1.42,743
NOR04,Note: B,gpt-4o,1.77,713
SPC04,Note: B,gpt-4o,1.99,919
LDV05,Note: B,gpt-4o,1.63,945
ALS05,Note: B,gpt-4o,1.73,842
LYO10,Note: B,gpt-4o,1.83,914
OCM14,Note: B,gpt-4o,1.61,843
SOU07,Note: B,gpt-4o,1.95,921
BRE04,Note: B,gpt-4o,1.42,913
HES06,Note: C,gpt-4o,1.47,702
UCA02,Note: C,gpt-4o,1.68,770
PES07,Note: C,gpt-4o,1.63,766
UCA14,Note: C,gpt-4o,2.33,963
CFE05,Note: B,gpt-4o,1.73,844
PES03,Note: B,gpt-4o,1.12,837
ALS04,Note: B,gpt-4o,1.93,962
SOU14,Note: C,gpt-4o,1.3,727
CVL03,Note: B,gpt-4o,1.75,799
NOR12,Note: B,gpt-4o,1.76,949
OCM18,Note: B,gpt-4o,1.51,865
BFC02,Note: B,gpt-4o,2.4,982
CFE09,Note: B,gpt-4o,1.89,886
LDV08,Note: B,gpt-4o,1.74,796
SOU10,Note: B,gpt-4o,1.15,871
SOU09,Note: C,gpt-4o,1.32,668
ALS09,Note: B,gpt-4o,1.87,806
ALS11,Note: B,gpt-4o,1.67,962
GRE13,Note: B,gpt-4o,1.62,876
HES08,Note: B,gpt-4o,1.84,910
LDV09,Note: C,gpt-4o,1.9,751
LDV07,Note: B,gpt-4o,1.46,853
ALS10,Note: B,gpt-4o,1.95,925
OCM13,Note: B,gpt-4o,1.33,658
HES02,Note: B,gpt-4o,1.52,948
HES03,Note: B,gpt-4o,1.42,627
NOR05,Note: C,gpt-4o,2.86,828
LOR03,Note: B,gpt-4o,0.6,888
CVL02,Note: B,gpt-4o,2.24,915
UPS04,Note: B,gpt-4o,1.3,829
HES05,Note: B,gpt-4o,2.17,770
SEN02,Note: C,gpt-4o,1.01,904
BOD12,Note: B,gpt-4o,2.16,925
LYO11,Note: B,gpt-4o,1.92,879
BOD01,Note: C,gpt-4o,1.42,873
SOU13,Note: B,gpt-4o,1.82,902
CFE02,Note: B,gpt-4o,1.11,671
HES01,Note: C,gpt-4o,1.42,729
LOR08,Note: C,gpt-4o,1.73,808
LRE09,Note: C,gpt-4o,1.52,717
BFC06,Note: B,gpt-4o,1.63,858
