ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: A,gpt-4.1,0.7,575
SEN01,Note: B,gpt-4.1,1.79,894
UCA11,Note: B,gpt-4.1,1.36,956
UPS10,Note: B,gpt-4.1,1.63,1059
SPC08,Note: B,gpt-4.1,2.99,866
LRE11,Note: B,gpt-4.1,0.77,933
SOU15,Note: B,gpt-4.1,3.0,1008
UCA07,Note: B,gpt-4.1,1.18,903
BRE16,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4.1 in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 29153, Requested 1163. Please try again in 632ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4.1,0.0,0
SPC09,Note: B,gpt-4.1,0.59,725
ALS08,Note: B,gpt-4.1,1.12,1050
PES08,Note: B,gpt-4.1,2.25,890
LYO02,Note: B,gpt-4.1,1.33,892
UCA05,Note: B,gpt-4.1,2.66,905
CVL01,Note: A,gpt-4.1,0.59,854
BOD07,Note: A,gpt-4.1,3.04,955
ALS03,Note: B,gpt-4.1,1.54,999
GRE03,Note: B,gpt-4.1,1.03,801
PES06,Note: B,gpt-4.1,2.72,887
OCM10,Note: B,gpt-4.1,1.76,915
LOR02,Note: B,gpt-4.1,1.08,907
UPL02,Note: A,gpt-4.1,2.24,992
NOR10,Note: B,gpt-4.1,1.21,807
BRE14,Note: B,gpt-4.1,2.85,923
LYO05,Note: B,gpt-4.1,1.32,1025
GRE07,Note: A,gpt-4.1,2.45,919
POF03,Note: B,gpt-4.1,0.89,1068
BFC09,Note: B,gpt-4.1,2.14,875
BFC10,Note: B,gpt-4.1,1.56,815
GRE01,Note: A,gpt-4.1,1.59,881
OCM08,Note: B,gpt-4.1,2.03,841
LYO01,Note: B,gpt-4.1,1.62,947
BOD11,Note: A,gpt-4.1,1.32,825
LRE02,Note: B,gpt-4.1,2.66,986
OCM07,Note: B,gpt-4.1,2.86,993
SPC05,Note: B,gpt-4.1,1.83,1017
BOD04,Note: B,gpt-4.1,0.6,884
POF05,Note: B,gpt-4.1,2.24,912
SPC03,Note: B,gpt-4.1,1.42,795
SOU01,Note: B,gpt-4.1,1.83,1039
OCM11,Note: B,gpt-4.1,0.51,838
NOR04,Note: B,gpt-4.1,2.95,808
SPC04,Note: A,gpt-4.1,2.07,1014
LDV05,Note: B,gpt-4.1,2.82,1040
ALS05,Note: B,gpt-4.1,0.9,937
LYO10,Note: B,gpt-4.1,2.24,1009
OCM14,Note: A,gpt-4.1,2.8,938
SOU07,Note: B,gpt-4.1,0.55,1016
BRE04,Note: B,gpt-4.1,0.9,1008
HES06,Note: A,gpt-4.1,2.75,797
UCA02,Note: A,gpt-4.1,1.83,865
PES07,Note: B,gpt-4.1,2.05,861
UCA14,Note: B,gpt-4.1,2.32,1058
CFE05,Note: B,gpt-4.1,2.54,939
PES03,Note: B,gpt-4.1,0.81,932
ALS04,Note: B,gpt-4.1,2.23,1057
SOU14,Note: B,gpt-4.1,0.57,822
CVL03,Note: B,gpt-4.1,2.48,894
NOR12,Note: B,gpt-4.1,2.24,1044
OCM18,Note: B,gpt-4.1,2.05,960
BFC02,Note: B,gpt-4.1,2.23,1077
CFE09,Note: B,gpt-4.1,1.73,981
LDV08,Note: B,gpt-4.1,3.46,891
SOU10,Note: B,gpt-4.1,0.5,966
SOU09,Note: B,gpt-4.1,1.42,763
ALS09,Note: A,gpt-4.1,1.73,901
ALS11,Note: B,gpt-4.1,3.06,1057
GRE13,Note: B,gpt-4.1,2.14,971
HES08,Note: B,gpt-4.1,0.62,1005
LDV09,Note: B,gpt-4.1,2.22,846
LDV07,Note: B,gpt-4.1,1.69,948
ALS10,Note: A,gpt-4.1,1.35,1020
OCM13,Note: A,gpt-4.1,2.66,753
HES02,Note: A,gpt-4.1,2.11,1043
HES03,Note: B,gpt-4.1,1.65,722
NOR05,Note: A,gpt-4.1,1.83,923
LOR03,Note: B,gpt-4.1,1.54,983
CVL02,Note: A,gpt-4.1,2.02,1010
UPS04,Note: B,gpt-4.1,1.01,924
HES05,Note: B,gpt-4.1,0.6,865
SEN02,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4.1 in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 29308, Requested 1107. Please try again in 830ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4.1,0.0,0
BOD12,Note: B,gpt-4.1,0.69,1020
LYO11,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4.1 in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 29302, Requested 1041. Please try again in 686ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4.1,0.0,0
BOD01,Note: B,gpt-4.1,1.53,968
SOU13,Note: A,gpt-4.1,1.74,997
CFE02,Note: B,gpt-4.1,0.7,766
HES01,Note: A,gpt-4.1,1.84,824
LOR08,Note: B,gpt-4.1,2.65,903
LRE09,Note: A,gpt-4.1,0.74,812
BFC06,Note: B,gpt-4.1,1.71,953
