Lexical_Feature,Criterion,Spearman_Coefficient,p_value
perception,Présentation du Sujet,-0.13645806257856535,0.19967876172510035
perception,Structure,0.009509217309898923,0.9291190067056033
perception,Niveau de Langue,0.09080928589417496,0.39465227749111753
perception,Voix Passive,-0.0738642408815083,0.48900736860004346
perception,Concision,-0.03009276995296424,0.7782822910733789
perception,Redondance,0.0417862009809961,0.6957615638977493
perception,Langage Négatif,0.017416667089467347,0.8705722102969038
perception,Métaphore,0.16125702011310825,0.12891611354648017
perception,Discours,0.07827467124503666,0.4633603386651757
perception,L'introduction,-0.03689515319747321,0.7299116773978527
perception,La conclusion,-0.13172115518233146,0.2158832575157763
perception,Persuasivité,0.04057286397157558,0.7041800228280104
perception,Clarté du Langage,-0.13023128424826977,0.22116720739744966
perception,Créativité du discours,-0.05660634571742753,0.5961580267820377
perception,Global,-0.14588262593441703,0.17007263625522923
