ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 2,gpt-4o,3.13,1848
SEN01,Note: 4,gpt-4o,5.27,1942
UCA11,Note: 4,gpt-4o,1.03,2231
UPS10,Note: 3,gpt-4o,6.31,2427
SPC08,Note: 4,gpt-4o,7.6,2265
LRE11,Note: 5,gpt-4o,3.82,2356
SOU15,Note: 4,gpt-4o,5.73,2412
UCA07,Note: 3,gpt-4o,2.21,2066
BRE16,Note: 5,gpt-4o,0.59,2606
SPC09,Note: 2,gpt-4o,5.4,2088
ALS08,Note: 4,gpt-4o,6.61,2420
PES08,Note: 4,gpt-4o,0.88,2254
LYO02,Note: 4,gpt-4o,0.81,2395
UCA05,Note: 4,gpt-4o,6.38,2390
CVL01,Note: 4,gpt-4o,2.81,2258
BOD07,Note: 3,gpt-4o,1.09,2185
ALS03,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 30000, Requested 2621. Please try again in 5.242s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4o,0.0,0
GRE03,Note: 4,gpt-4o,0.76,2132
PES06,Note: 4,gpt-4o,5.97,2089
OCM10,Note: 4,gpt-4o,6.19,2145
LOR02,Note: 5,gpt-4o,0.65,2359
UPL02,Note: 4,gpt-4o,9.82,2434
NOR10,Note: 3,gpt-4o,6.94,2249
BRE14,Note: 4,gpt-4o,3.79,2272
LYO05,Note: 3,gpt-4o,5.19,2241
GRE07,Note: 3,gpt-4o,0.85,1839
POF03,Note: 5,gpt-4o,4.89,2459
BFC09,Note: 4,gpt-4o,0.72,2428
BFC10,Note: 4,gpt-4o,8.48,2227
GRE01,Note: 5,gpt-4o,0.62,2286
OCM08,Note: 4,gpt-4o,6.47,2206
LYO01,Note: 4,gpt-4o,6.5,2346
BOD11,Note: 3,gpt-4o,4.9,2386
LRE02,Note: 4,gpt-4o,4.83,2386
OCM07,Note: 5,gpt-4o,3.88,2013
SPC05,Note: 4,gpt-4o,0.53,2247
BOD04,Note: 3,gpt-4o,0.68,2154
POF05,Note: 4,gpt-4o,4.98,1832
SPC03,Note: 4,gpt-4o,1.57,2142
SOU01,Note: 4,gpt-4o,6.25,2259
OCM11,Note: 5,gpt-4o,11.29,2369
NOR04,Note: 4,gpt-4o,4.0,1827
SPC04,Note: 4,gpt-4o,0.77,2352
LDV05,Note: 4,gpt-4o,0.84,2350
ALS05,Note: 4,gpt-4o,6.74,2297
LYO10,Note: 3,gpt-4o,10.45,2282
OCM14,Note: 4,gpt-4o,5.34,1957
SOU07,Note: 3,gpt-4o,1.86,2608
BRE04,Note: 4,gpt-4o,6.73,2600
HES06,Note: 4,gpt-4o,4.75,2204
UCA02,Note: 3,gpt-4o,4.09,1845
PES07,Note: 4,gpt-4o,0.69,2364
UCA14,Note: 4,gpt-4o,6.07,2268
CFE05,Note: 4,gpt-4o,0.43,1859
PES03,Note: 5,gpt-4o,8.92,1872
ALS04,Note: 5,gpt-4o,0.5,2076
SOU14,Note: 4,gpt-4o,6.15,2182
CVL03,Note: 4,gpt-4o,5.95,2016
NOR12,Note: 5,gpt-4o,5.01,2451
OCM18,Note: 4,gpt-4o,6.13,2269
BFC02,Note: 4,gpt-4o,3.16,2519
CFE09,Note: 4,gpt-4o,9.42,1983
LDV08,Note: 3,gpt-4o,0.84,2295
SOU10,Note: 4,gpt-4o,5.53,2275
SOU09,Note: 4,gpt-4o,3.37,2012
ALS09,Note: 3,gpt-4o,3.6,2441
ALS11,Note: 4,gpt-4o,4.72,2179
GRE13,Note: 4,gpt-4o,3.87,2529
HES08,Note: 5,gpt-4o,4.63,2254
LDV09,Note: 3,gpt-4o,6.38,2258
LDV07,Note: 3,gpt-4o,0.72,2312
ALS10,Note: 3,gpt-4o,0.62,2343
OCM13,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 27769, Requested 2525. Please try again in 588ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4o,0.0,0
HES02,Note: 5,gpt-4o,0.61,1983
HES03,Note: 3,gpt-4o,4.11,2010
NOR05,Note: 3,gpt-4o,2.01,1925
LOR03,Note: 4,gpt-4o,0.83,2575
CVL02,Note: 4,gpt-4o,0.84,1990
UPS04,Note: 5,gpt-4o,0.59,2382
HES05,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 29803, Requested 2463. Please try again in 4.532s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4o,0.0,0
SEN02,Note: 3,gpt-4o,6.42,2422
BOD12,Note: 4,gpt-4o,3.86,2250
LYO11,Note: 3,gpt-4o,5.05,2151
BOD01,Note: 4,gpt-4o,6.14,2217
SOU13,Note: 4,gpt-4o,3.97,2448
CFE02,Note: 4,gpt-4o,1.39,2143
HES01,Note: 4,gpt-4o,0.67,2266
LOR08,Note: 4,gpt-4o,9.71,2259
LRE09,Note: 3,gpt-4o,3.32,1934
BFC06,Note: 4,gpt-4o,4.88,2202
