,gpt-4o,gpt-4o-mini,gpt-4.1
Présentation du Sujet,0.08198614318706698,0.06430496726992685,0.06789413118527043
Structure,0.0823529411764704,0.158699808795411,0.06925207756232699
Niveau de Langue,0.017605633802816878,0.031100478468899517,0.05654383735705204
Voix Passive,0.2505064145847401,0.08163265306122447,0.04081632653061229
Concision,0.05660377358490565,0.10130718954248374,0.14782608695652177
Redondance,0.22472764124651634,0.072775098640947,0.24745231251633137
Langage Négatif,0.2821728820866566,0.06458797327394206,0.11255411255411263
Métaphore,0.2100744132799084,0.23958961979480986,0.169070975187536
Discours,0.1518492176386912,0.16666666666666663,0.18250950570342206
L'introduction,0.12138064438130942,0.13170731707317093,0.06364663942265888
La conclusion,0.14162978391043987,0.1948939591918785,0.1270818108388784
Persuasivité,0.1108239095315026,0.12288718823982822,0.11541768408020067
Clarté du Langage,0.14285714285714252,0.33177503895735905,0.14650745529913992
Créativité du discours,0.17916666666666695,0.1491823899371069,0.11093585699263923
Global,0.10718581920539154,0.1536831302278287,0.14561375652403588
