ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 2,gpt-4o,5.33,1740
SEN01,Note: 4,gpt-4o,2.43,2242
UCA11,Note: 3,gpt-4o,0.73,2160
UPS10,Note: 5,gpt-4o,10.22,2493
SPC08,Note: 5,gpt-4o,4.53,2175
LRE11,Note: 5,gpt-4o,3.45,2364
SOU15,Note: 5,gpt-4o,6.04,2374
UCA07,Note: 2,gpt-4o,4.57,2191
BRE16,Note: 5,gpt-4o,0.57,2305
SPC09,Note: 2,gpt-4o,6.4,2150
ALS08,Note: 5,gpt-4o,4.9,2393
PES08,Note: 5,gpt-4o,4.4,2267
LYO02,Note: 4,gpt-4o,5.25,2396
UCA05,Note: 3,gpt-4o,4.07,2193
CVL01,Note: 3,gpt-4o,3.67,2056
BOD07,Note: 5,gpt-4o,4.69,2258
ALS03,Note: 5,gpt-4o,5.6,2400
GRE03,Note: 5,gpt-4o,5.27,2251
PES06,Note: 5,gpt-4o,3.34,2403
OCM10,Note: 4,gpt-4o,0.63,2290
LOR02,Note: 5,gpt-4o,10.11,2254
UPL02,Note: 4,gpt-4o,2.8,2383
NOR10,Note: 5,gpt-4o,4.04,2002
BRE14,Note: 3,gpt-4o,0.67,2287
LYO05,Note: 3,gpt-4o,0.78,2615
GRE07,Note: 3,gpt-4o,0.96,2478
POF03,Note: 4,gpt-4o,3.57,2430
BFC09,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 30000, Requested 2659. Please try again in 5.318s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4o,0.0,0
BFC10,Note: 5,gpt-4o,0.74,2084
GRE01,Note: 5,gpt-4o,0.43,2257
OCM08,Note: 3,gpt-4o,0.63,2260
LYO01,Note: 4,gpt-4o,12.63,2507
BOD11,Note: 3,gpt-4o,1.46,2229
LRE02,Note: 4,gpt-4o,12.28,2446
OCM07,Note: 4,gpt-4o,0.84,2288
SPC05,Note: 5,gpt-4o,6.41,2432
BOD04,Note: 4,gpt-4o,0.8,2320
POF05,Note: 4,gpt-4o,10.85,2150
SPC03,Note: 4,gpt-4o,0.66,2155
SOU01,Note: 4,gpt-4o,6.13,2366
OCM11,Note: 3,gpt-4o,0.75,2284
NOR04,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 28370, Requested 2485. Please try again in 1.71s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4o,0.0,0
SPC04,Note: 5,gpt-4o,3.12,2573
LDV05,Note: 4,gpt-4o,2.3,2349
ALS05,Note: 5,gpt-4o,7.83,2479
LYO10,Note: 4,gpt-4o,4.1,2357
OCM14,Note: 4,gpt-4o,2.98,2291
SOU07,Note: 4,gpt-4o,4.29,2420
BRE04,Note: 4,gpt-4o,4.65,2349
HES06,Note: 5,gpt-4o,0.74,2009
UCA02,Note: 3,gpt-4o,0.69,2153
PES07,Note: 4,gpt-4o,3.64,2468
UCA14,Note: 3,gpt-4o,4.51,2409
CFE05,Note: 4,gpt-4o,6.3,2325
PES03,Note: 4,gpt-4o,7.98,2308
ALS04,Note: 4,gpt-4o,10.43,2473
SOU14,Note: 4,gpt-4o,1.34,2171
CVL03,Note: 5,gpt-4o,1.36,2296
NOR12,Note: 4,gpt-4o,8.89,2393
OCM18,Note: 4,gpt-4o,0.74,2491
BFC02,Note: 5,gpt-4o,11.79,2584
CFE09,Note: 5,gpt-4o,0.72,2462
LDV08,Note: 5,gpt-4o,6.01,2232
SOU10,Note: 5,gpt-4o,6.83,2560
SOU09,Note: 4,gpt-4o,5.04,2216
ALS09,Note: 4,gpt-4o,4.65,2308
ALS11,Note: 5,gpt-4o,0.85,2407
GRE13,Note: 5,gpt-4o,6.12,2242
HES08,Note: 5,gpt-4o,5.72,2465
LDV09,Note: 4,gpt-4o,3.84,2260
LDV07,Note: 4,gpt-4o,4.9,2298
ALS10,Note: 5,gpt-4o,6.25,2458
OCM13,Note: 4,gpt-4o,3.18,2086
HES02,Note: 3,gpt-4o,0.6,2418
HES03,Note: 4,gpt-4o,0.58,2073
NOR05,Note: 4,gpt-4o,6.25,2261
LOR03,Note: 5,gpt-4o,6.5,2347
CVL02,Note: 5,gpt-4o,6.16,2298
UPS04,Note: 5,gpt-4o,8.81,2360
HES05,Note: 5,gpt-4o,0.79,2213
SEN02,Note: 5,gpt-4o,6.67,2445
BOD12,Note: 4,gpt-4o,4.41,2310
LYO11,Note: 4,gpt-4o,0.59,2365
BOD01,Note: 5,gpt-4o,0.72,2523
SOU13,Note: 5,gpt-4o,4.28,2301
CFE02,Note: 3,gpt-4o,0.68,2104
HES01,Note: 4,gpt-4o,11.94,2340
LOR08,Note: 4,gpt-4o,1.34,2370
LRE09,Note: 4,gpt-4o,6.12,2089
BFC06,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 29208, Requested 2437. Please try again in 3.29s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4o,0.0,0
