ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: A,gpt-4o-mini,0.44,486
SEN01,Note: C,gpt-4o-mini,0.86,805
UCA11,Note: A,gpt-4o-mini,0.45,867
UPS10,Note: C,gpt-4o-mini,0.46,970
SPC08,Note: C,gpt-4o-mini,0.38,777
LRE11,Note: C,gpt-4o-mini,0.46,844
SOU15,Note: A,gpt-4o-mini,0.69,919
UCA07,Note: A,gpt-4o-mini,0.62,814
BRE16,Note: C,gpt-4o-mini,0.69,925
SPC09,Note: A,gpt-4o-mini,0.74,636
ALS08,Note: C,gpt-4o-mini,1.2,961
PES08,Note: C,gpt-4o-mini,0.5,801
PES08,Note: C,gpt-4o-mini,0.49,801
LYO02,Note: A,gpt-4o-mini,0.4,803
UCA05,Note: A,gpt-4o-mini,0.7,816
CVL01,Note: C,gpt-4o-mini,0.59,765
BOD07,Note: C,gpt-4o-mini,0.68,866
ALS03,Note: C,gpt-4o-mini,0.5,910
GRE03,Note: A,gpt-4o-mini,0.8,712
PES06,Note: A,gpt-4o-mini,0.46,798
OCM10,Note: A,gpt-4o-mini,0.73,826
LOR02,Note: C,gpt-4o-mini,1.73,818
UPL02,Note: C,gpt-4o-mini,0.7,903
NOR10,Note: C,gpt-4o-mini,0.8,718
BRE14,Note: C,gpt-4o-mini,0.7,834
LYO05,Note: A,gpt-4o-mini,0.5,936
GRE07,Note: A,gpt-4o-mini,0.69,830
POF03,Note: C,gpt-4o-mini,0.5,979
BFC09,Note: A,gpt-4o-mini,0.5,786
BFC10,Note: C,gpt-4o-mini,0.5,726
GRE01,Note: C,gpt-4o-mini,0.81,792
OCM08,Note: A,gpt-4o-mini,0.67,752
OCM08,Note: A,gpt-4o-mini,0.74,752
LYO01,Note: C,gpt-4o-mini,0.7,858
BOD11,Note: C,gpt-4o-mini,0.8,736
LRE02,Note: C,gpt-4o-mini,0.6,897
OCM07,Note: A,gpt-4o-mini,0.8,904
SPC05,Note: C,gpt-4o-mini,0.5,928
BOD04,Note: C,gpt-4o-mini,0.6,795
POF05,Note: C,gpt-4o-mini,0.7,823
SPC03,Note: C,gpt-4o-mini,0.47,706
SOU01,Note: C,gpt-4o-mini,1.52,950
OCM11,Note: C,gpt-4o-mini,0.5,749
NOR04,Note: A,gpt-4o-mini,0.6,719
SPC04,Note: C,gpt-4o-mini,0.9,925
LDV05,Note: C,gpt-4o-mini,0.49,951
ALS05,Note: C,gpt-4o-mini,0.61,848
LYO10,Note: C,gpt-4o-mini,0.49,920
LYO10,Note: C,gpt-4o-mini,0.5,920
OCM14,Note: A,gpt-4o-mini,0.5,849
SOU07,Note: C,gpt-4o-mini,0.46,927
BRE04,Note: A,gpt-4o-mini,0.44,919
HES06,Note: C,gpt-4o-mini,0.65,708
UCA02,Note: A,gpt-4o-mini,0.42,776
PES07,Note: B,gpt-4o-mini,0.8,772
UCA14,Note: A,gpt-4o-mini,0.49,969
CFE05,Note: C,gpt-4o-mini,0.48,850
PES03,Note: C,gpt-4o-mini,0.9,843
ALS04,Note: C,gpt-4o-mini,0.52,968
SOU14,Note: A,gpt-4o-mini,0.63,733
CVL03,Note: C,gpt-4o-mini,0.61,805
NOR12,Note: A,gpt-4o-mini,0.51,955
OCM18,Note: C,gpt-4o-mini,0.69,871
BFC02,Note: C,gpt-4o-mini,0.42,988
CFE09,Note: C,gpt-4o-mini,0.49,892
LDV08,Note: C,gpt-4o-mini,0.62,802
SOU10,Note: A,gpt-4o-mini,0.42,877
SOU09,Note: A,gpt-4o-mini,0.52,674
ALS09,Note: C,gpt-4o-mini,0.5,812
ALS11,Note: C,gpt-4o-mini,0.53,968
GRE13,Note: C,gpt-4o-mini,0.96,882
HES08,Note: A,gpt-4o-mini,0.7,916
LDV09,Note: C,gpt-4o-mini,0.91,757
LDV07,Note: C,gpt-4o-mini,0.5,859
ALS10,Note: C,gpt-4o-mini,0.39,931
OCM13,Note: A,gpt-4o-mini,0.49,664
HES02,Note: C,gpt-4o-mini,0.82,954
HES03,Note: C,gpt-4o-mini,0.51,633
NOR05,Note: C,gpt-4o-mini,1.63,834
LOR03,Note: C,gpt-4o-mini,0.86,894
CVL02,Note: C,gpt-4o-mini,0.75,921
UPS04,Note: C,gpt-4o-mini,0.63,835
HES05,Note: C,gpt-4o-mini,0.73,776
SEN02,Note: C,gpt-4o-mini,0.57,910
BOD12,Note: C,gpt-4o-mini,1.16,931
LYO11,Note: C,gpt-4o-mini,0.81,885
BOD01,Note: A,gpt-4o-mini,0.54,879
SOU13,Note: C,gpt-4o-mini,0.45,908
CFE02,Note: C,gpt-4o-mini,0.65,677
HES01,Note: C,gpt-4o-mini,0.5,735
LOR08,Note: B,gpt-4o-mini,0.6,814
LRE09,Note: C,gpt-4o-mini,0.69,723
BFC06,Note: C,gpt-4o-mini,0.5,864
