ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: A,gpt-4o-mini,1.01,2857
SEN01,Note: C,gpt-4o-mini,0.8,3623
UCA11,Note: A,gpt-4o-mini,0.71,3785
UPS10,Note: C,gpt-4o-mini,2.34,3988
SPC08,Note: A,gpt-4o-mini,0.6,3570
LRE11,Note: C,gpt-4o-mini,0.8,3567
SOU15,Note: A,gpt-4o-mini,0.6,3789
UCA07,Note: A,gpt-4o-mini,0.71,3628
BRE16,Note: C,gpt-4o-mini,2.43,3939
SPC09,Note: A,gpt-4o-mini,0.64,3081
ALS08,Note: C,gpt-4o-mini,1.42,3692
PES08,Note: A,gpt-4o-mini,1.01,3734
LYO02,Note: A,gpt-4o-mini,0.75,3439
UCA05,Note: A,gpt-4o-mini,0.49,3300
CVL01,Note: A,gpt-4o-mini,0.8,3380
BOD07,Note: A,gpt-4o-mini,1.31,3858
ALS03,Note: C,gpt-4o-mini,1.11,3976
GRE03,Note: A,gpt-4o-mini,0.6,3614
PES06,Note: A,gpt-4o-mini,1.24,3348
OCM10,Note: A,gpt-4o-mini,0.57,3822
LOR02,Note: A,gpt-4o-mini,0.6,3728
UPL02,Note: C,gpt-4o-mini,0.7,4070
NOR10,Note: B,gpt-4o-mini,0.61,3447
BRE14,Note: A,gpt-4o-mini,2.1,3645
LYO05,Note: A,gpt-4o-mini,1.24,4133
GRE07,Note: A,gpt-4o-mini,1.93,3315
POF03,Note: A,gpt-4o-mini,2.35,4210
BFC09,Note: A,gpt-4o-mini,0.8,3645
BFC10,Note: C,gpt-4o-mini,0.57,3360
GRE01,Note: C,gpt-4o-mini,0.83,3672
OCM08,Note: A,gpt-4o-mini,2.97,3493
LYO01,Note: A,gpt-4o-mini,3.41,3550
BOD11,Note: C,gpt-4o-mini,0.55,3495
LRE02,Note: A,gpt-4o-mini,0.58,3793
OCM07,Note: A,gpt-4o-mini,0.91,3872
SPC05,Note: C,gpt-4o-mini,0.85,3688
BOD04,Note: C,gpt-4o-mini,0.9,3727
POF05,Note: A,gpt-4o-mini,1.12,3791
SPC03,Note: A,gpt-4o-mini,0.6,3492
SOU01,Note: A,gpt-4o-mini,0.69,3966
OCM11,Note: C,gpt-4o-mini,0.71,3347
NOR04,Note: A,gpt-4o-mini,0.71,3533
SPC04,Note: C,gpt-4o-mini,0.67,3941
LDV05,Note: C,gpt-4o-mini,0.71,3994
ALS05,Note: A,gpt-4o-mini,1.12,3938
LYO10,Note: A,gpt-4o-mini,2.35,3850
OCM14,Note: A,gpt-4o-mini,0.79,3932
SOU07,Note: A,gpt-4o-mini,1.51,3810
BRE04,Note: A,gpt-4o-mini,0.6,3958
HES06,Note: C,gpt-4o-mini,0.7,3610
UCA02,Note: A,gpt-4o-mini,1.93,3829
PES07,Note: B,gpt-4o-mini,0.6,3445
UCA14,Note: A,gpt-4o-mini,0.8,4047
CFE05,Note: A,gpt-4o-mini,1.97,3687
PES03,Note: C,gpt-4o-mini,0.63,3858
ALS04,Note: C,gpt-4o-mini,0.48,3658
SOU14,Note: A,gpt-4o-mini,1.16,3460
CVL03,Note: A,gpt-4o-mini,2.44,3672
NOR12,Note: A,gpt-4o-mini,0.91,4101
OCM18,Note: C,gpt-4o-mini,0.49,3979
BFC02,Note: A,gpt-4o-mini,0.6,4119
CFE09,Note: C,gpt-4o-mini,1.12,3858
LDV08,Note: A,gpt-4o-mini,1.36,3397
SOU10,Note: A,gpt-4o-mini,1.98,3848
SOU09,Note: A,gpt-4o-mini,0.81,3394
ALS09,Note: C,gpt-4o-mini,0.6,3782
ALS11,Note: A,gpt-4o-mini,1.6,4219
GRE13,Note: B,gpt-4o-mini,1.64,3983
HES08,Note: A,gpt-4o-mini,0.6,3902
LDV09,Note: A,gpt-4o-mini,0.7,3610
LDV07,Note: A,gpt-4o-mini,1.83,3549
ALS10,Note: C,gpt-4o-mini,1.11,3728
OCM13,Note: A,gpt-4o-mini,1.0,3470
HES02,Note: A,gpt-4o-mini,0.56,3534
HES03,Note: C,gpt-4o-mini,0.95,3109
NOR05,Note: B,gpt-4o-mini,0.5,3705
LOR03,Note: C,gpt-4o-mini,1.21,3747
CVL02,Note: C,gpt-4o-mini,1.11,3943
UPS04,Note: C,gpt-4o-mini,0.9,3368
HES05,Note: A,gpt-4o-mini,2.03,3459
SEN02,Note: A,gpt-4o-mini,0.61,3831
BOD12,Note: C,gpt-4o-mini,0.9,3964
LYO11,Note: A,gpt-4o-mini,1.88,4036
BOD01,Note: A,gpt-4o-mini,0.74,3771
SOU13,Note: C,gpt-4o-mini,0.7,3567
CFE02,Note: B,gpt-4o-mini,2.34,3220
HES01,Note: B,gpt-4o-mini,0.7,3510
LOR08,Note: A,gpt-4o-mini,0.49,3780
LRE09,Note: C,gpt-4o-mini,0.85,3409
BFC06,Note: C,gpt-4o-mini,0.97,3929
