ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: C,gpt-4.1,0.73,480
SEN01,Note: B,gpt-4.1,1.9,799
UCA11,Note: B,gpt-4.1,1.4,861
UPS10,Note: B,gpt-4.1,1.7,964
SPC08,Note: B,gpt-4.1,1.87,771
LRE11,Note: B,gpt-4.1,1.73,838
SOU15,Note: C,gpt-4.1,1.93,913
UCA07,Note: C,gpt-4.1,2.84,808
BRE16,Note: B,gpt-4.1,0.71,919
SPC09,Note: B,gpt-4.1,0.79,630
ALS08,Note: B,gpt-4.1,1.93,955
PES08,Note: B,gpt-4.1,2.35,795
LYO02,Note: C,gpt-4.1,0.63,797
UCA05,Note: C,gpt-4.1,2.64,810
CVL01,Note: B,gpt-4.1,1.55,759
BOD07,Note: B,gpt-4.1,0.71,860
ALS03,Note: B,gpt-4.1,3.19,904
GRE03,Note: B,gpt-4.1,1.01,706
PES06,Note: B,gpt-4.1,1.11,792
OCM10,Note: B,gpt-4.1,2.15,820
LOR02,Note: B,gpt-4.1,0.69,812
UPL02,Note: B,gpt-4.1,1.73,897
NOR10,Note: B,gpt-4.1,1.32,712
BRE14,Note: B,gpt-4.1,1.12,828
LYO05,Note: C,gpt-4.1,1.11,930
GRE07,Note: C,gpt-4.1,1.73,824
POF03,Note: B,gpt-4.1,4.49,973
BFC09,Note: B,gpt-4.1,1.94,780
BFC10,Note: B,gpt-4.1,0.69,720
GRE01,Note: B,gpt-4.1,1.33,786
OCM08,Note: C,gpt-4.1,2.53,746
LYO01,Note: B,gpt-4.1,0.81,852
BOD11,Note: B,gpt-4.1,0.5,730
LRE02,Note: B,gpt-4.1,1.73,891
OCM07,Note: B,gpt-4.1,0.6,898
SPC05,Note: B,gpt-4.1,2.85,922
BOD04,Note: B,gpt-4.1,1.55,789
POF05,Note: C,gpt-4.1,2.62,817
SPC03,Note: B,gpt-4.1,0.6,700
SOU01,Note: C,gpt-4.1,0.52,944
OCM11,Note: B,gpt-4.1,0.79,743
NOR04,Note: B,gpt-4.1,1.52,713
SPC04,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4.1 in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 29323, Requested 1024. Please try again in 694ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4.1,0.0,0
LDV05,Note: B,gpt-4.1,3.33,945
ALS05,Note: B,gpt-4.1,0.56,842
LYO10,Note: B,gpt-4.1,1.62,914
OCM14,Note: B,gpt-4.1,3.56,843
SOU07,Note: B,gpt-4.1,0.58,921
BRE04,Note: B,gpt-4.1,1.65,913
HES06,Note: C,gpt-4.1,2.03,702
UCA02,Note: C,gpt-4.1,0.8,770
PES07,Note: C,gpt-4.1,2.24,766
UCA14,Note: C,gpt-4.1,1.11,963
CFE05,Note: B,gpt-4.1,1.24,844
PES03,Note: B,gpt-4.1,1.8,837
ALS04,Note: B,gpt-4.1,1.94,962
SOU14,Note: C,gpt-4.1,1.31,727
CVL03,Note: B,gpt-4.1,2.75,799
NOR12,Note: B,gpt-4.1,0.42,949
OCM18,Note: B,gpt-4.1,2.12,865
BFC02,Note: B,gpt-4.1,2.14,982
CFE09,Note: B,gpt-4.1,1.73,886
LDV08,Note: B,gpt-4.1,1.73,796
SOU10,Note: B,gpt-4.1,2.85,871
SOU09,Note: B,gpt-4.1,0.46,668
ALS09,Note: B,gpt-4.1,1.36,806
ALS11,Note: B,gpt-4.1,2.85,962
GRE13,Note: B,gpt-4.1,0.63,876
HES08,Note: B,gpt-4.1,1.89,910
LDV09,Note: C,gpt-4.1,1.32,751
LDV07,Note: B,gpt-4.1,3.16,853
ALS10,Note: B,gpt-4.1,5.69,925
OCM13,Note: B,gpt-4.1,0.68,658
HES02,Note: B,gpt-4.1,0.71,948
HES03,Note: B,gpt-4.1,0.56,627
NOR05,Note: C,gpt-4.1,0.59,828
LOR03,Note: B,gpt-4.1,0.53,888
CVL02,Note: B,gpt-4.1,0.89,915
UPS04,Note: B,gpt-4.1,1.69,829
HES05,Note: B,gpt-4.1,1.62,770
SEN02,Note: B,gpt-4.1,3.16,904
BOD12,Note: B,gpt-4.1,0.7,925
LYO11,Note: B,gpt-4.1,1.34,879
BOD01,Note: C,gpt-4.1,2.11,873
SOU13,Note: B,gpt-4.1,1.54,902
CFE02,Note: B,gpt-4.1,1.28,671
HES01,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4.1 in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 29540, Requested 783. Please try again in 646ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4.1,0.0,0
LOR08,Note: C,gpt-4.1,0.64,808
LRE09,Note: C,gpt-4.1,0.6,717
BFC06,Note: B,gpt-4.1,2.34,858
