ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 2,gpt-4o,0.58,492
SEN01,Note: 5,gpt-4o,1.74,811
UCA11,Note: 4,gpt-4o,1.63,873
UPS10,Note: 5,gpt-4o,1.9,976
SPC08,Note: 4,gpt-4o,1.76,783
LRE11,Note: 5,gpt-4o,1.42,850
SOU15,Note: 5,gpt-4o,14.12,925
UCA07,Note: 2,gpt-4o,0.81,820
BRE16,Note: 5,gpt-4o,0.5,931
SPC09,Note: 3,gpt-4o,0.76,642
ALS08,Note: 5,gpt-4o,0.66,967
PES08,Note: 5,gpt-4o,1.05,807
LYO02,Note: 4,gpt-4o,0.56,809
UCA05,Note: 5,gpt-4o,0.7,822
CVL01,Note: 5,gpt-4o,1.09,771
BOD07,Note: 5,gpt-4o,0.63,872
ALS03,Note: 4,gpt-4o,1.62,916
GRE03,Note: 5,gpt-4o,0.5,718
PES06,Note: 4,gpt-4o,0.6,804
OCM10,Note: 5,gpt-4o,1.01,832
LOR02,Note: 5,gpt-4o,0.6,824
UPL02,Note: 5,gpt-4o,1.73,909
NOR10,Note: 4,gpt-4o,1.11,724
BRE14,Note: 4,gpt-4o,1.63,840
LYO05,Note: 4,gpt-4o,2.24,942
GRE07,Note: 3,gpt-4o,1.52,836
POF03,Note: 4,gpt-4o,1.73,985
BFC09,Note: 5,gpt-4o,1.93,792
BFC10,Note: 5,gpt-4o,1.21,732
GRE01,Note: 5,gpt-4o,1.52,798
OCM08,Note: 4,gpt-4o,1.42,758
LYO01,Note: 3,gpt-4o,1.63,864
BOD11,Note: 4,gpt-4o,1.51,742
LRE02,Note: 5,gpt-4o,1.73,903
OCM07,Note: 5,gpt-4o,1.87,910
SPC05,Note: 5,gpt-4o,1.7,934
BOD04,Note: 4,gpt-4o,2.02,801
POF05,Note: 4,gpt-4o,1.52,829
SPC03,Note: 4,gpt-4o,2.59,712
SOU01,Note: 4,gpt-4o,0.86,956
OCM11,Note: 5,gpt-4o,1.02,755
NOR04,Note: 5,gpt-4o,2.04,725
SPC04,Note: 5,gpt-4o,1.63,931
LDV05,Note: 5,gpt-4o,1.83,957
ALS05,Note: 5,gpt-4o,1.83,854
LYO10,Note: 4,gpt-4o,3.68,926
OCM14,Note: 4,gpt-4o,0.7,855
SOU07,Note: 4,gpt-4o,1.02,933
BRE04,Note: 4,gpt-4o,1.51,925
HES06,Note: 4,gpt-4o,2.14,714
UCA02,Note: 4,gpt-4o,1.0,782
PES07,Note: 4,gpt-4o,1.84,778
UCA14,Note: 3,gpt-4o,1.73,975
CFE05,Note: 4,gpt-4o,1.59,856
PES03,Note: 5,gpt-4o,1.64,849
ALS04,Note: 4,gpt-4o,1.85,974
SOU14,Note: 4,gpt-4o,1.73,739
CVL03,Note: 5,gpt-4o,1.62,811
NOR12,Note: 5,gpt-4o,1.93,961
OCM18,Note: 4,gpt-4o,1.52,877
BFC02,Note: 4,gpt-4o,4.18,994
CFE09,Note: 5,gpt-4o,0.6,898
LDV08,Note: 5,gpt-4o,0.81,808
SOU10,Note: 5,gpt-4o,1.52,883
SOU09,Note: 4,gpt-4o,1.4,680
ALS09,Note: 5,gpt-4o,1.63,818
ALS11,Note: 5,gpt-4o,1.83,974
GRE13,Note: 4,gpt-4o,1.93,888
HES08,Note: 4,gpt-4o,1.73,922
LDV09,Note: 4,gpt-4o,1.5,763
LDV07,Note: 4,gpt-4o,1.96,865
ALS10,Note: 4,gpt-4o,2.34,937
OCM13,Note: 5,gpt-4o,0.81,670
HES02,Note: 5,gpt-4o,1.63,960
HES03,Note: 4,gpt-4o,1.21,639
NOR05,Note: 4,gpt-4o,1.9,840
LOR03,Note: 4,gpt-4o,1.55,900
CVL02,Note: 5,gpt-4o,3.06,927
UPS04,Note: 4,gpt-4o,0.8,841
HES05,Note: 5,gpt-4o,1.42,782
SEN02,Note: 3,gpt-4o,1.48,916
BOD12,Note: 5,gpt-4o,2.07,937
LYO11,Note: 5,gpt-4o,1.75,891
BOD01,Note: 5,gpt-4o,1.81,885
SOU13,Note: 4,gpt-4o,1.92,914
CFE02,Note: 3,gpt-4o,1.34,683
HES01,Note: 4,gpt-4o,1.26,741
LOR08,Note: 4,gpt-4o,1.77,820
LRE09,Note: 5,gpt-4o,1.62,729
BFC06,Note: 5,gpt-4o,1.73,870
