ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: C,gpt-4o-mini,0.63,566
SEN01,Note: B,gpt-4o-mini,0.76,885
UCA11,Note: B,gpt-4o-mini,0.45,947
UPS10,Note: B,gpt-4o-mini,0.47,1050
SPC08,Note: B,gpt-4o-mini,0.59,857
LRE11,Note: B,gpt-4o-mini,0.68,924
SOU15,Note: B,gpt-4o-mini,0.67,999
UCA07,Note: C,gpt-4o-mini,0.47,894
BRE16,Note: B,gpt-4o-mini,0.65,1005
SPC09,Note: B,gpt-4o-mini,0.78,716
ALS08,Note: B,gpt-4o-mini,0.7,1041
PES08,Note: B,gpt-4o-mini,0.49,881
PES08,Note: B,gpt-4o-mini,0.49,881
LYO02,Note: B,gpt-4o-mini,0.4,883
UCA05,Note: B,gpt-4o-mini,0.6,896
CVL01,Note: B,gpt-4o-mini,0.5,845
BOD07,Note: B,gpt-4o-mini,0.71,946
ALS03,Note: B,gpt-4o-mini,2.43,990
GRE03,Note: B,gpt-4o-mini,7.66,792
PES06,Note: B,gpt-4o-mini,1.0,878
OCM10,Note: B,gpt-4o-mini,0.69,906
LOR02,Note: B,gpt-4o-mini,0.73,898
UPL02,Note: B,gpt-4o-mini,0.53,983
NOR10,Note: B,gpt-4o-mini,0.8,798
BRE14,Note: B,gpt-4o-mini,0.66,914
LYO05,Note: B,gpt-4o-mini,0.51,1016
GRE07,Note: B,gpt-4o-mini,0.87,910
POF03,Note: B,gpt-4o-mini,0.51,1059
BFC09,Note: B,gpt-4o-mini,0.59,866
BFC10,Note: B,gpt-4o-mini,0.44,806
GRE01,Note: B,gpt-4o-mini,0.67,872
OCM08,Note: B,gpt-4o-mini,0.68,832
OCM08,Note: B,gpt-4o-mini,0.79,832
LYO01,Note: B,gpt-4o-mini,0.56,938
BOD11,Note: B,gpt-4o-mini,0.67,816
LRE02,Note: B,gpt-4o-mini,0.66,977
OCM07,Note: B,gpt-4o-mini,0.81,984
SPC05,Note: B,gpt-4o-mini,0.49,1008
BOD04,Note: B,gpt-4o-mini,0.5,875
POF05,Note: B,gpt-4o-mini,0.64,903
SPC03,Note: B,gpt-4o-mini,0.48,786
SOU01,Note: B,gpt-4o-mini,0.51,1030
OCM11,Note: B,gpt-4o-mini,0.55,829
NOR04,Note: B,gpt-4o-mini,1.01,799
SPC04,Note: B,gpt-4o-mini,0.7,1005
LDV05,Note: B,gpt-4o-mini,0.6,1031
ALS05,Note: B,gpt-4o-mini,0.7,928
LYO10,Note: B,gpt-4o-mini,0.45,1000
LYO10,Note: B,gpt-4o-mini,0.52,1000
OCM14,Note: B,gpt-4o-mini,0.5,929
SOU07,Note: B,gpt-4o-mini,0.49,1007
BRE04,Note: B,gpt-4o-mini,0.49,999
HES06,Note: B,gpt-4o-mini,0.69,788
UCA02,Note: B,gpt-4o-mini,0.41,856
PES07,Note: B,gpt-4o-mini,0.58,852
UCA14,Note: A,gpt-4o-mini,0.45,1049
CFE05,Note: B,gpt-4o-mini,0.64,930
PES03,Note: B,gpt-4o-mini,0.89,923
ALS04,Note: B,gpt-4o-mini,0.44,1048
SOU14,Note: B,gpt-4o-mini,0.63,813
CVL03,Note: B,gpt-4o-mini,0.71,885
NOR12,Note: B,gpt-4o-mini,0.44,1035
OCM18,Note: B,gpt-4o-mini,0.65,951
BFC02,Note: B,gpt-4o-mini,0.68,1068
CFE09,Note: B,gpt-4o-mini,0.71,972
LDV08,Note: B,gpt-4o-mini,0.5,882
SOU10,Note: B,gpt-4o-mini,0.49,957
SOU09,Note: B,gpt-4o-mini,0.59,754
ALS09,Note: B,gpt-4o-mini,0.79,892
ALS11,Note: B,gpt-4o-mini,0.6,1048
GRE13,Note: B,gpt-4o-mini,0.91,962
HES08,Note: B,gpt-4o-mini,0.68,996
LDV09,Note: B,gpt-4o-mini,3.06,837
LDV07,Note: B,gpt-4o-mini,0.5,939
ALS10,Note: B,gpt-4o-mini,0.5,1011
OCM13,Note: B,gpt-4o-mini,0.6,744
HES02,Note: B,gpt-4o-mini,0.78,1034
HES03,Note: B,gpt-4o-mini,0.6,713
NOR05,Note: B,gpt-4o-mini,0.7,914
LOR03,Note: B,gpt-4o-mini,1.01,974
CVL02,Note: B,gpt-4o-mini,0.69,1001
UPS04,Note: B,gpt-4o-mini,0.7,915
HES05,Note: B,gpt-4o-mini,0.83,856
SEN02,Note: B,gpt-4o-mini,0.77,990
BOD12,Note: B,gpt-4o-mini,0.91,1011
LYO11,Note: B,gpt-4o-mini,0.81,965
BOD01,Note: B,gpt-4o-mini,0.48,959
SOU13,Note: B,gpt-4o-mini,0.61,988
CFE02,Note: B,gpt-4o-mini,0.59,757
HES01,Note: B,gpt-4o-mini,0.5,815
LOR08,Note: B,gpt-4o-mini,0.48,894
LRE09,Note: B,gpt-4o-mini,0.69,803
BFC06,Note: B,gpt-4o-mini,0.59,944
