ID,Cluster
PES04,1
SEN01,0
UCA11,1
UPS10,0
SPC08,0
LRE11,0
SOU15,0
UCA07,1
BRE16,0
SPC09,1
ALS08,0
PES08,0
PES08,0
LYO02,0
UCA05,1
CVL01,0
BOD07,0
ALS03,0
GRE03,0
PES06,0
OCM10,0
LOR02,0
UPL02,0
NOR10,0
BRE14,1
LYO05,1
GRE07,1
POF03,0
BFC09,0
BFC10,0
GRE01,0
OCM08,1
OCM08,1
LYO01,0
BOD11,0
LRE02,0
OCM07,0
SPC05,0
BOD04,0
POF05,0
SPC03,0
SOU01,0
OCM11,0
NOR04,0
SPC04,0
LDV05,0
ALS05,0
LYO10,0
LYO10,0
OCM14,1
SOU07,0
BRE04,0
HES06,1
UCA02,0
PES07,0
UCA14,1
CFE05,0
PES03,0
ALS04,0
SOU14,1
CVL03,0
NOR12,0
OCM18,0
BFC02,0
CFE09,0
LDV08,0
SOU10,0
SOU09,1
ALS09,0
ALS11,0
GRE13,0
HES08,0
LDV09,0
LDV07,0
ALS10,0
OCM13,1
HES02,0
HES03,1
NOR05,1
LOR03,0
CVL02,0
UPS04,0
HES05,0
SEN02,0
BOD12,0
LYO11,0
BOD01,0
SOU13,0
CFE02,0
HES01,1
LOR08,1
LRE09,1
BFC06,0
