ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: C,gpt-4o-mini,0.8,3057
SEN01,Note: B,gpt-4o-mini,0.71,3868
UCA11,Note: C,gpt-4o-mini,1.11,3812
UPS10,Note: C,gpt-4o-mini,1.42,3882
SPC08,Note: B,gpt-4o-mini,1.83,3528
LRE11,Note: B,gpt-4o-mini,0.7,3459
SOU15,Note: B,gpt-4o-mini,0.7,3664
UCA07,Note: C,gpt-4o-mini,1.76,3519
BRE16,Note: B,gpt-4o-mini,0.67,3532
SPC09,Note: C,gpt-4o-mini,0.7,3125
ALS08,Note: B,gpt-4o-mini,0.7,3629
PES08,Note: B,gpt-4o-mini,0.9,3728
LYO02,Note: C,gpt-4o-mini,1.17,3845
UCA05,Note: C,gpt-4o-mini,1.39,3897
CVL01,Note: B,gpt-4o-mini,1.7,3272
BOD07,Note: B,gpt-4o-mini,0.7,3899
ALS03,Note: B,gpt-4o-mini,0.49,3864
GRE03,Note: B,gpt-4o-mini,1.94,2971
PES06,Note: B,gpt-4o-mini,0.58,3505
OCM10,Note: B,gpt-4o-mini,0.7,3428
LOR02,Note: B,gpt-4o-mini,1.82,3522
UPL02,Note: B,gpt-4o-mini,0.5,3828
NOR10,Note: B,gpt-4o-mini,0.5,3703
BRE14,Note: B,gpt-4o-mini,1.62,3815
LYO05,Note: C,gpt-4o-mini,1.82,3720
GRE07,Note: C,gpt-4o-mini,0.55,3777
POF03,Note: B,gpt-4o-mini,0.86,3913
BFC09,Note: B,gpt-4o-mini,1.21,3858
BFC10,Note: B,gpt-4o-mini,1.01,3443
GRE01,Note: B,gpt-4o-mini,1.93,3458
OCM08,Note: C,gpt-4o-mini,0.49,3524
LYO01,Note: B,gpt-4o-mini,1.62,3589
BOD11,Note: B,gpt-4o-mini,0.66,3641
LRE02,Note: B,gpt-4o-mini,0.94,3917
OCM07,Note: C,gpt-4o-mini,0.51,3837
SPC05,Note: B,gpt-4o-mini,2.41,3989
BOD04,Note: B,gpt-4o-mini,2.06,3760
POF05,Note: B,gpt-4o-mini,0.61,3842
SPC03,Note: B,gpt-4o-mini,0.59,3370
SOU01,Note: B,gpt-4o-mini,0.71,3839
OCM11,Note: B,gpt-4o-mini,1.43,3879
NOR04,Note: B,gpt-4o-mini,0.59,3649
SPC04,Note: B,gpt-4o-mini,1.0,3820
LDV05,Note: B,gpt-4o-mini,1.12,3832
ALS05,Note: B,gpt-4o-mini,0.8,3466
LYO10,Note: B,gpt-4o-mini,1.21,3874
OCM14,Note: C,gpt-4o-mini,1.11,3935
SOU07,Note: B,gpt-4o-mini,1.63,3978
BRE04,Note: B,gpt-4o-mini,0.9,3850
HES06,Note: C,gpt-4o-mini,0.8,3420
UCA02,Note: C,gpt-4o-mini,2.14,3673
PES07,Note: B,gpt-4o-mini,1.11,3622
UCA14,Note: C,gpt-4o-mini,0.65,4282
CFE05,Note: B,gpt-4o-mini,0.54,3710
PES03,Note: B,gpt-4o-mini,2.75,3632
ALS04,Note: B,gpt-4o-mini,0.69,3733
SOU14,Note: C,gpt-4o-mini,1.02,3772
CVL03,Note: B,gpt-4o-mini,0.7,3372
NOR12,Note: B,gpt-4o-mini,1.01,3970
OCM18,Note: B,gpt-4o-mini,0.7,3790
BFC02,Note: C,gpt-4o-mini,1.31,3950
CFE09,Note: B,gpt-4o-mini,0.8,3576
LDV08,Note: B,gpt-4o-mini,2.06,3584
SOU10,Note: B,gpt-4o-mini,0.47,3598
SOU09,Note: B,gpt-4o-mini,0.79,3493
ALS09,Note: B,gpt-4o-mini,0.78,3769
ALS11,Note: B,gpt-4o-mini,1.13,4284
GRE13,Note: B,gpt-4o-mini,1.3,3712
HES08,Note: B,gpt-4o-mini,1.02,3498
LDV09,Note: B,gpt-4o-mini,1.82,3339
LDV07,Note: B,gpt-4o-mini,0.46,3573
ALS10,Note: B,gpt-4o-mini,1.0,4038
OCM13,Note: B,gpt-4o-mini,0.75,3482
HES02,Note: B,gpt-4o-mini,2.24,3531
HES03,Note: B,gpt-4o-mini,0.7,3343
NOR05,Note: B,gpt-4o-mini,1.42,3807
LOR03,Note: B,gpt-4o-mini,0.7,3818
CVL02,Note: B,gpt-4o-mini,1.62,3656
UPS04,Note: C,gpt-4o-mini,0.6,3646
HES05,Note: B,gpt-4o-mini,0.56,3409
SEN02,Note: B,gpt-4o-mini,0.94,3719
BOD12,Note: B,gpt-4o-mini,1.31,3931
LYO11,Note: B,gpt-4o-mini,3.38,3625
BOD01,Note: B,gpt-4o-mini,0.8,3850
SOU13,Note: B,gpt-4o-mini,0.6,3675
CFE02,Note: C,gpt-4o-mini,0.91,3571
HES01,Note: C,gpt-4o-mini,0.7,3701
LOR08,Note: B,gpt-4o-mini,1.23,3656
LRE09,Note: C,gpt-4o-mini,1.3,3335
BFC06,Note: B,gpt-4o-mini,0.74,3612
