ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 3,gpt-4o,1.02,478
SEN01,Note: 5,gpt-4o,1.52,797
UCA11,Note: 4,gpt-4o,1.71,859
UPS10,Note: 5,gpt-4o,1.64,962
SPC08,Note: 4,gpt-4o,1.52,769
LRE11,Note: 5,gpt-4o,1.62,836
SOU15,Note: 5,gpt-4o,1.93,911
UCA07,Note: 5,gpt-4o,1.73,806
BRE16,Note: 5,gpt-4o,1.73,917
SPC09,Note: 4,gpt-4o,1.42,628
ALS08,Note: 5,gpt-4o,1.73,953
PES08,Note: 5,gpt-4o,1.63,793
LYO02,Note: 5,gpt-4o,8.54,795
UCA05,Note: 4,gpt-4o,1.42,808
CVL01,Note: 4,gpt-4o,0.81,757
BOD07,Note: 5,gpt-4o,0.69,858
ALS03,Note: 5,gpt-4o,0.64,902
GRE03,Note: 5,gpt-4o,0.7,704
PES06,Note: 4,gpt-4o,0.6,790
OCM10,Note: 4,gpt-4o,0.65,818
LOR02,Note: 5,gpt-4o,0.52,810
UPL02,Note: 5,gpt-4o,1.44,895
NOR10,Note: 5,gpt-4o,1.28,710
BRE14,Note: 5,gpt-4o,1.64,826
LYO05,Note: 4,gpt-4o,1.9,928
GRE07,Note: 4,gpt-4o,1.63,822
POF03,Note: 4,gpt-4o,2.14,971
BFC09,Note: 5,gpt-4o,1.62,778
BFC10,Note: 5,gpt-4o,1.42,718
GRE01,Note: 5,gpt-4o,1.23,784
OCM08,Note: 4,gpt-4o,1.72,744
LYO01,Note: 5,gpt-4o,1.62,850
BOD11,Note: 5,gpt-4o,1.63,728
LRE02,Note: 5,gpt-4o,1.42,889
OCM07,Note: 4,gpt-4o,2.55,896
SPC05,Note: 5,gpt-4o,1.13,920
BOD04,Note: 5,gpt-4o,2.12,787
POF05,Note: 4,gpt-4o,2.01,815
SPC03,Note: 4,gpt-4o,0.73,698
SOU01,Note: 5,gpt-4o,1.63,942
OCM11,Note: 5,gpt-4o,1.42,741
NOR04,Note: 4,gpt-4o,1.53,711
SPC04,Note: 5,gpt-4o,1.83,917
LDV05,Note: 5,gpt-4o,2.12,943
ALS05,Note: 4,gpt-4o,1.93,840
LYO10,Note: 5,gpt-4o,1.52,912
OCM14,Note: 4,gpt-4o,1.42,841
SOU07,Note: 4,gpt-4o,1.93,919
BRE04,Note: 5,gpt-4o,1.63,911
HES06,Note: 4,gpt-4o,1.43,700
UCA02,Note: 4,gpt-4o,1.62,768
PES07,Note: 4,gpt-4o,1.32,764
UCA14,Note: 4,gpt-4o,2.03,961
CFE05,Note: 4,gpt-4o,1.63,842
PES03,Note: 5,gpt-4o,2.04,835
ALS04,Note: 5,gpt-4o,1.67,960
SOU14,Note: 5,gpt-4o,1.28,725
CVL03,Note: 5,gpt-4o,1.62,797
NOR12,Note: 4,gpt-4o,1.83,947
OCM18,Note: 5,gpt-4o,1.61,863
BFC02,Note: 4,gpt-4o,2.24,980
CFE09,Note: 5,gpt-4o,1.74,884
LDV08,Note: 4,gpt-4o,1.52,794
SOU10,Note: 5,gpt-4o,1.72,869
SOU09,Note: 5,gpt-4o,1.63,666
ALS09,Note: 5,gpt-4o,1.21,804
ALS11,Note: 5,gpt-4o,2.36,960
GRE13,Note: 5,gpt-4o,1.4,874
HES08,Note: 5,gpt-4o,2.65,908
LDV09,Note: 4,gpt-4o,1.52,749
LDV07,Note: 5,gpt-4o,0.7,851
ALS10,Note: 4,gpt-4o,1.93,923
OCM13,Note: 4,gpt-4o,1.42,656
HES02,Note: 5,gpt-4o,1.62,946
HES03,Note: 4,gpt-4o,1.11,625
NOR05,Note: 5,gpt-4o,1.61,826
LOR03,Note: 5,gpt-4o,2.13,886
CVL02,Note: 4,gpt-4o,1.52,913
UPS04,Note: 5,gpt-4o,1.72,827
HES05,Note: 4,gpt-4o,1.52,768
SEN02,Note: 5,gpt-4o,1.73,902
BOD12,Note: 5,gpt-4o,1.83,923
LYO11,Note: 5,gpt-4o,1.73,877
BOD01,Note: 4,gpt-4o,1.52,871
SOU13,Note: 4,gpt-4o,2.35,900
CFE02,Note: 5,gpt-4o,1.42,669
HES01,Note: 4,gpt-4o,0.8,727
LOR08,Note: 4,gpt-4o,2.04,806
LRE09,Note: 4,gpt-4o,1.32,715
BFC06,Note: 4,gpt-4o,1.93,856
