ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: C,gpt-4o,8.08,3248
SEN01,Note: B,gpt-4o,6.47,3257
UCA11,Note: B,gpt-4o,5.54,3629
UPS10,Note: C,gpt-4o,9.44,4039
SPC08,Note: B,gpt-4o,6.45,3958
LRE11,Note: B,gpt-4o,7.11,3703
SOU15,Note: B,gpt-4o,8.42,4061
UCA07,Note: C,gpt-4o,7.05,3299
BRE16,Note: B,gpt-4o,8.14,3948
SPC09,Note: C,gpt-4o,0.97,3454
ALS08,Note: B,gpt-4o,12.64,3723
PES08,Note: B,gpt-4o,7.91,3827
LYO02,Note: A,gpt-4o,8.46,3668
UCA05,Note: C,gpt-4o,8.45,3888
CVL01,Note: B,gpt-4o,5.1,3564
BOD07,Note: B,gpt-4o,8.34,4136
ALS03,Note: C,gpt-4o,8.58,3769
GRE03,Note: B,gpt-4o,6.5,3648
PES06,Note: B,gpt-4o,6.81,3665
OCM10,Note: B,gpt-4o,7.54,3844
LOR02,Note: B,gpt-4o,7.58,3744
UPL02,Note: B,gpt-4o,8.22,4028
NOR10,Note: B,gpt-4o,0.59,3537
BRE14,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 26732, Requested 4128. Please try again in 1.72s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4o,0.0,0
LYO05,Note: B,gpt-4o,1.08,3940
GRE07,Note: C,gpt-4o,7.36,3732
POF03,Note: B,gpt-4o,8.23,4039
BFC09,Note: B,gpt-4o,7.34,3606
BFC10,Note: B,gpt-4o,6.75,3476
GRE01,Note: B,gpt-4o,8.35,3536
OCM08,Note: A,gpt-4o,7.48,3731
LYO01,Note: B,gpt-4o,6.5,3846
BOD11,Note: B,gpt-4o,6.55,3555
LRE02,Note: B,gpt-4o,10.45,3961
OCM07,Note: B,gpt-4o,1.13,3780
SPC05,Note: B,gpt-4o,11.66,3954
BOD04,Note: B,gpt-4o,0.84,3607
POF05,Note: B,gpt-4o,14.22,3681
SPC03,Note: B,gpt-4o,8.43,3465
SOU01,Note: A,gpt-4o,6.37,4045
OCM11,Note: B,gpt-4o,9.69,3622
NOR04,Note: B,gpt-4o,6.53,3391
SPC04,Note: B,gpt-4o,7.23,3979
LDV05,Note: B,gpt-4o,8.09,3926
ALS05,Note: B,gpt-4o,8.09,3742
LYO10,Note: B,gpt-4o,6.12,4003
OCM14,Note: B,gpt-4o,7.35,3979
SOU07,Note: B,gpt-4o,8.0,3862
BRE04,Note: B,gpt-4o,8.03,4189
HES06,Note: C,gpt-4o,7.37,3499
UCA02,Note: C,gpt-4o,7.11,3563
PES07,Note: B,gpt-4o,7.12,3645
UCA14,Note: C,gpt-4o,0.73,4238
CFE05,Note: B,gpt-4o,14.64,3587
PES03,Note: B,gpt-4o,0.82,3529
ALS04,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 26023, Requested 4148. Please try again in 342ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4o,0.0,0
SOU14,Note: C,gpt-4o,2.4,3397
CVL03,Note: B,gpt-4o,4.69,3429
NOR12,Note: B,gpt-4o,10.31,3995
OCM18,Note: B,gpt-4o,7.1,3723
BFC02,Note: B,gpt-4o,0.85,4182
CFE09,Note: B,gpt-4o,13.63,4029
LDV08,Note: B,gpt-4o,9.55,3678
SOU10,Note: C,gpt-4o,5.89,3947
SOU09,Note: B,gpt-4o,7.23,3439
ALS09,Note: B,gpt-4o,6.99,3599
ALS11,Note: C,gpt-4o,8.2,4061
GRE13,Note: B,gpt-4o,0.74,3954
HES08,Note: B,gpt-4o,10.18,3925
LDV09,Note: B,gpt-4o,11.9,3583
LDV07,Note: B,gpt-4o,8.1,3884
ALS10,Note: B,gpt-4o,7.35,3800
OCM13,Note: B,gpt-4o,8.61,3480
HES02,Note: B,gpt-4o,6.02,4054
HES03,Note: B,gpt-4o,7.28,3448
NOR05,Note: C,gpt-4o,0.77,3568
LOR03,Note: C,gpt-4o,13.83,4051
CVL02,Note: B,gpt-4o,10.22,3661
UPS04,Note: C,gpt-4o,8.09,4039
HES05,Note: B,gpt-4o,3.91,3327
SEN02,Note: B,gpt-4o,7.81,3996
BOD12,Note: B,gpt-4o,9.73,4136
LYO11,Note: B,gpt-4o,5.81,3746
BOD01,Note: B,gpt-4o,8.74,3929
SOU13,Note: B,gpt-4o,7.14,3870
CFE02,Note: C,gpt-4o,9.56,3647
HES01,Note: C,gpt-4o,5.87,3347
LOR08,Note: B,gpt-4o,5.88,3621
LRE09,Note: C,gpt-4o,7.11,3498
BFC06,Note: B,gpt-4o,7.85,3956
