ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: A,gpt-4o-mini,0.39,516
SEN01,Note: C,gpt-4o-mini,0.7,835
UCA11,Note: C,gpt-4o-mini,0.57,897
UPS10,Note: C,gpt-4o-mini,0.51,1000
SPC08,Note: C,gpt-4o-mini,0.48,807
LRE11,Note: C,gpt-4o-mini,0.5,874
SOU15,Note: C,gpt-4o-mini,3.56,949
UCA07,Note: B,gpt-4o-mini,0.59,844
BRE16,Note: C,gpt-4o-mini,0.69,955
SPC09,Note: B,gpt-4o-mini,1.01,666
ALS08,Note: C,gpt-4o-mini,0.69,991
PES08,Note: C,gpt-4o-mini,0.5,831
PES08,Note: C,gpt-4o-mini,0.51,831
LYO02,Note: B,gpt-4o-mini,0.46,833
UCA05,Note: C,gpt-4o-mini,0.45,846
CVL01,Note: C,gpt-4o-mini,0.61,795
BOD07,Note: C,gpt-4o-mini,0.69,896
ALS03,Note: C,gpt-4o-mini,0.54,940
GRE03,Note: C,gpt-4o-mini,0.73,742
PES06,Note: C,gpt-4o-mini,0.46,828
OCM10,Note: C,gpt-4o-mini,0.82,856
LOR02,Note: C,gpt-4o-mini,0.6,848
UPL02,Note: C,gpt-4o-mini,0.58,933
NOR10,Note: C,gpt-4o-mini,0.69,748
BRE14,Note: C,gpt-4o-mini,1.1,864
LYO05,Note: B,gpt-4o-mini,0.79,966
GRE07,Note: B,gpt-4o-mini,0.8,860
POF03,Note: C,gpt-4o-mini,0.49,1009
BFC09,Note: C,gpt-4o-mini,0.38,816
BFC10,Note: C,gpt-4o-mini,0.66,756
GRE01,Note: C,gpt-4o-mini,0.53,822
OCM08,Note: B,gpt-4o-mini,0.65,782
OCM08,Note: B,gpt-4o-mini,0.65,782
LYO01,Note: C,gpt-4o-mini,0.59,888
BOD11,Note: C,gpt-4o-mini,0.6,766
LRE02,Note: C,gpt-4o-mini,0.5,927
OCM07,Note: C,gpt-4o-mini,0.7,934
SPC05,Note: C,gpt-4o-mini,0.7,958
BOD04,Note: C,gpt-4o-mini,0.5,825
POF05,Note: C,gpt-4o-mini,0.6,853
SPC03,Note: C,gpt-4o-mini,0.6,736
SOU01,Note: C,gpt-4o-mini,1.11,980
OCM11,Note: C,gpt-4o-mini,0.5,779
NOR04,Note: C,gpt-4o-mini,0.78,749
SPC04,Note: C,gpt-4o-mini,0.51,955
LDV05,Note: C,gpt-4o-mini,1.62,981
ALS05,Note: C,gpt-4o-mini,1.0,878
LYO10,Note: C,gpt-4o-mini,0.46,950
LYO10,Note: C,gpt-4o-mini,0.52,950
OCM14,Note: B,gpt-4o-mini,0.5,879
SOU07,Note: C,gpt-4o-mini,0.55,957
BRE04,Note: C,gpt-4o-mini,0.53,949
HES06,Note: B,gpt-4o-mini,0.69,738
UCA02,Note: C,gpt-4o-mini,0.51,806
PES07,Note: C,gpt-4o-mini,0.56,802
UCA14,Note: A,gpt-4o-mini,0.5,999
CFE05,Note: C,gpt-4o-mini,0.56,880
PES03,Note: C,gpt-4o-mini,0.87,873
ALS04,Note: C,gpt-4o-mini,0.54,998
SOU14,Note: C,gpt-4o-mini,0.67,763
CVL03,Note: C,gpt-4o-mini,0.69,835
NOR12,Note: C,gpt-4o-mini,0.8,985
OCM18,Note: C,gpt-4o-mini,0.59,901
BFC02,Note: C,gpt-4o-mini,0.5,1018
CFE09,Note: C,gpt-4o-mini,0.6,922
LDV08,Note: C,gpt-4o-mini,0.48,832
SOU10,Note: C,gpt-4o-mini,0.39,907
SOU09,Note: B,gpt-4o-mini,0.57,704
ALS09,Note: C,gpt-4o-mini,0.55,842
ALS11,Note: C,gpt-4o-mini,0.56,998
GRE13,Note: C,gpt-4o-mini,0.91,912
HES08,Note: C,gpt-4o-mini,0.7,946
LDV09,Note: C,gpt-4o-mini,0.91,787
LDV07,Note: C,gpt-4o-mini,0.49,889
ALS10,Note: C,gpt-4o-mini,5.3,961
OCM13,Note: B,gpt-4o-mini,0.5,694
HES02,Note: C,gpt-4o-mini,0.7,984
HES03,Note: C,gpt-4o-mini,0.53,663
NOR05,Note: B,gpt-4o-mini,0.66,864
LOR03,Note: C,gpt-4o-mini,0.91,924
CVL02,Note: C,gpt-4o-mini,0.79,951
UPS04,Note: C,gpt-4o-mini,0.6,865
HES05,Note: C,gpt-4o-mini,2.96,806
SEN02,Note: C,gpt-4o-mini,0.56,940
BOD12,Note: C,gpt-4o-mini,0.79,961
LYO11,Note: C,gpt-4o-mini,1.2,915
BOD01,Note: C,gpt-4o-mini,0.5,909
SOU13,Note: C,gpt-4o-mini,0.86,938
CFE02,Note: B,gpt-4o-mini,0.52,707
HES01,Note: B,gpt-4o-mini,0.4,765
LOR08,Note: B,gpt-4o-mini,0.47,844
LRE09,Note: B,gpt-4o-mini,0.79,753
BFC06,Note: C,gpt-4o-mini,0.46,894
