ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 35,gpt-4o-mini,0.6,2042
SEN01,Note: 85,gpt-4o-mini,2.03,2361
UCA11,Note: 75,gpt-4o-mini,0.69,2423
UPS10,Note: 75,gpt-4o-mini,0.59,2526
SPC08,Note: 75,gpt-4o-mini,0.62,2333
LRE11,Note: 75,gpt-4o-mini,0.49,2400
SOU15,Note: 85,gpt-4o-mini,0.6,2475
UCA07,Note: 40,gpt-4o-mini,0.5,2370
BRE16,Note: 86,gpt-4o-mini,0.61,2481
SPC09,Note: 55,gpt-4o-mini,0.53,2192
ALS08,Note: 85,gpt-4o-mini,0.57,2517
PES08,Note: 75,gpt-4o-mini,0.59,2357
LYO02,Note: 75,gpt-4o-mini,0.8,2359
UCA05,Note: 75,gpt-4o-mini,0.7,2372
CVL01,Note: 85,gpt-4o-mini,0.69,2321
BOD07,Note: 75,gpt-4o-mini,0.59,2422
ALS03,Note: 75,gpt-4o-mini,0.71,2466
GRE03,Note: 75,gpt-4o-mini,0.52,2268
PES06,Note: 85,gpt-4o-mini,0.47,2354
OCM10,Note: 85,gpt-4o-mini,0.6,2382
LOR02,Note: 85,gpt-4o-mini,0.54,2374
UPL02,Note: 75,gpt-4o-mini,0.7,2459
NOR10,Note: 75,gpt-4o-mini,0.66,2274
BRE14,Note: 75,gpt-4o-mini,1.31,2390
LYO05,Note: 75,gpt-4o-mini,0.57,2492
GRE07,Note: 75,gpt-4o-mini,0.64,2386
POF03,Note: 75,gpt-4o-mini,0.89,2535
BFC09,Note: 75,gpt-4o-mini,0.7,2342
BFC10,Note: 82,gpt-4o-mini,0.54,2282
GRE01,Note: 75,gpt-4o-mini,0.6,2348
OCM08,Note: 70,gpt-4o-mini,0.68,2308
LYO01,Note: 75,gpt-4o-mini,0.64,2414
BOD11,Note: 65,gpt-4o-mini,0.65,2292
LRE02,Note: 85,gpt-4o-mini,0.7,2453
OCM07,Note: 77,gpt-4o-mini,0.8,2460
SPC05,Note: 85,gpt-4o-mini,0.82,2484
BOD04,Note: 75,gpt-4o-mini,0.85,2351
POF05,Note: 85,gpt-4o-mini,0.88,2379
SPC03,Note: 75,gpt-4o-mini,1.01,2262
SOU01,Note: 85,gpt-4o-mini,0.85,2506
OCM11,Note: 85,gpt-4o-mini,0.67,2305
NOR04,Note: 72,gpt-4o-mini,0.7,2275
SPC04,Note: 85,gpt-4o-mini,0.6,2481
LDV05,Note: 75,gpt-4o-mini,0.71,2507
ALS05,Note: 76,gpt-4o-mini,0.91,2404
LYO10,Note: 75,gpt-4o-mini,0.6,2476
OCM14,Note: 75,gpt-4o-mini,0.5,2405
SOU07,Note: 75,gpt-4o-mini,0.46,2483
BRE04,Note: 85,gpt-4o-mini,0.56,2475
HES06,Note: 75,gpt-4o-mini,0.46,2264
UCA02,Note: 75,gpt-4o-mini,0.63,2332
PES07,Note: 75,gpt-4o-mini,0.57,2328
UCA14,Note: 58,gpt-4o-mini,0.96,1714
CFE05,Note: 75,gpt-4o-mini,0.67,2406
PES03,Note: 85,gpt-4o-mini,1.21,2399
ALS04,Note: 75,gpt-4o-mini,1.72,2524
SOU14,Note: 87,gpt-4o-mini,0.49,2289
CVL03,Note: 85,gpt-4o-mini,0.54,2361
NOR12,Note: 85,gpt-4o-mini,0.53,2511
OCM18,Note: 75,gpt-4o-mini,0.49,2427
BFC02,Note: 85,gpt-4o-mini,1.14,2544
CFE09,Note: 85,gpt-4o-mini,0.83,2448
LDV08,Note: 75,gpt-4o-mini,0.59,2358
SOU10,Note: 75,gpt-4o-mini,0.77,2433
SOU09,Note: 78,gpt-4o-mini,0.88,2230
ALS09,Note: 75,gpt-4o-mini,0.93,2368
ALS11,Note: 85,gpt-4o-mini,1.2,2524
GRE13,Note: 75,gpt-4o-mini,1.35,2438
HES08,Note: 75,gpt-4o-mini,0.99,2472
LDV09,Note: 75,gpt-4o-mini,0.87,2313
LDV07,Note: 75,gpt-4o-mini,0.76,2415
ALS10,Note: 85,gpt-4o-mini,0.8,2487
OCM13,Note: 62,gpt-4o-mini,0.8,2220
HES02,Note: 75,gpt-4o-mini,0.6,2510
HES03,Note: 65,gpt-4o-mini,0.59,2189
NOR05,Note: 70,gpt-4o-mini,0.7,2390
LOR03,Note: 75,gpt-4o-mini,0.49,2450
CVL02,Note: 75,gpt-4o-mini,0.55,2477
UPS04,Note: 75,gpt-4o-mini,0.72,2391
HES05,Note: 75,gpt-4o-mini,0.82,2332
SEN02,Note: 75,gpt-4o-mini,0.68,2466
BOD12,Note: 75,gpt-4o-mini,0.56,2487
LYO11,Note: 75,gpt-4o-mini,0.49,2441
BOD01,Note: 75,gpt-4o-mini,0.48,2435
SOU13,Note: 75,gpt-4o-mini,0.6,2464
CFE02,Note: 85,gpt-4o-mini,0.52,2233
HES01,Note: 75,gpt-4o-mini,0.77,2291
LOR08,Note: 72,gpt-4o-mini,0.6,2370
LRE09,Note: 65,gpt-4o-mini,0.52,2279
BFC06,Note: 85,gpt-4o-mini,0.54,1714
