ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: C,gpt-4o-mini,0.46,503
SEN01,Note: B,gpt-4o-mini,0.72,822
UCA11,Note: B,gpt-4o-mini,0.39,884
UPS10,Note: B,gpt-4o-mini,0.5,987
SPC08,Note: B,gpt-4o-mini,0.53,794
LRE11,Note: B,gpt-4o-mini,0.56,861
SOU15,Note: B,gpt-4o-mini,0.7,936
UCA07,Note: C,gpt-4o-mini,0.6,831
BRE16,Note: B,gpt-4o-mini,0.7,942
SPC09,Note: C,gpt-4o-mini,0.74,653
ALS08,Note: B,gpt-4o-mini,0.64,978
PES08,Note: B,gpt-4o-mini,0.59,818
PES08,Note: B,gpt-4o-mini,0.5,818
LYO02,Note: B,gpt-4o-mini,0.49,820
UCA05,Note: B,gpt-4o-mini,0.5,833
CVL01,Note: B,gpt-4o-mini,0.69,782
BOD07,Note: B,gpt-4o-mini,0.59,883
ALS03,Note: B,gpt-4o-mini,0.5,927
GRE03,Note: B,gpt-4o-mini,0.59,729
PES06,Note: B,gpt-4o-mini,0.5,815
OCM10,Note: B,gpt-4o-mini,0.8,843
LOR02,Note: B,gpt-4o-mini,0.7,835
UPL02,Note: B,gpt-4o-mini,0.7,920
NOR10,Note: B,gpt-4o-mini,0.8,735
BRE14,Note: B,gpt-4o-mini,0.69,851
LYO05,Note: B,gpt-4o-mini,0.6,953
GRE07,Note: C,gpt-4o-mini,0.64,847
POF03,Note: B,gpt-4o-mini,0.76,996
BFC09,Note: B,gpt-4o-mini,0.39,803
BFC10,Note: B,gpt-4o-mini,0.4,743
GRE01,Note: B,gpt-4o-mini,0.77,809
OCM08,Note: B,gpt-4o-mini,0.68,769
OCM08,Note: B,gpt-4o-mini,0.7,769
LYO01,Note: B,gpt-4o-mini,0.52,875
BOD11,Note: B,gpt-4o-mini,0.69,753
LRE02,Note: B,gpt-4o-mini,0.5,914
OCM07,Note: B,gpt-4o-mini,0.72,921
SPC05,Note: B,gpt-4o-mini,0.48,945
BOD04,Note: B,gpt-4o-mini,0.53,812
POF05,Note: B,gpt-4o-mini,0.66,840
SPC03,Note: B,gpt-4o-mini,0.5,723
SOU01,Note: B,gpt-4o-mini,0.49,967
OCM11,Note: B,gpt-4o-mini,0.5,766
NOR04,Note: B,gpt-4o-mini,0.7,736
SPC04,Note: B,gpt-4o-mini,0.7,942
LDV05,Note: B,gpt-4o-mini,0.49,968
ALS05,Note: B,gpt-4o-mini,0.7,865
LYO10,Note: B,gpt-4o-mini,0.5,937
LYO10,Note: B,gpt-4o-mini,0.48,937
OCM14,Note: C,gpt-4o-mini,0.59,866
SOU07,Note: B,gpt-4o-mini,0.56,944
BRE04,Note: B,gpt-4o-mini,0.42,936
HES06,Note: C,gpt-4o-mini,0.83,725
UCA02,Note: B,gpt-4o-mini,0.54,793
PES07,Note: B,gpt-4o-mini,0.72,789
UCA14,Note: C,gpt-4o-mini,0.49,986
CFE05,Note: B,gpt-4o-mini,0.45,867
PES03,Note: B,gpt-4o-mini,0.82,860
ALS04,Note: B,gpt-4o-mini,0.52,985
SOU14,Note: C,gpt-4o-mini,0.62,750
CVL03,Note: B,gpt-4o-mini,0.62,822
NOR12,Note: B,gpt-4o-mini,0.65,972
OCM18,Note: B,gpt-4o-mini,0.55,888
BFC02,Note: B,gpt-4o-mini,0.57,1005
CFE09,Note: B,gpt-4o-mini,0.55,909
LDV08,Note: B,gpt-4o-mini,0.58,819
SOU10,Note: B,gpt-4o-mini,0.4,894
SOU09,Note: C,gpt-4o-mini,0.5,691
ALS09,Note: B,gpt-4o-mini,0.75,829
ALS11,Note: B,gpt-4o-mini,0.49,985
GRE13,Note: B,gpt-4o-mini,0.87,899
HES08,Note: B,gpt-4o-mini,3.33,933
LDV09,Note: B,gpt-4o-mini,0.9,774
LDV07,Note: B,gpt-4o-mini,0.5,876
ALS10,Note: B,gpt-4o-mini,0.8,948
OCM13,Note: B,gpt-4o-mini,0.51,681
HES02,Note: B,gpt-4o-mini,0.76,971
HES03,Note: B,gpt-4o-mini,0.59,650
NOR05,Note: B,gpt-4o-mini,2.14,851
LOR03,Note: B,gpt-4o-mini,0.82,911
CVL02,Note: B,gpt-4o-mini,0.76,938
UPS04,Note: C,gpt-4o-mini,0.8,852
HES05,Note: B,gpt-4o-mini,0.69,793
SEN02,Note: B,gpt-4o-mini,0.72,927
BOD12,Note: B,gpt-4o-mini,0.78,948
LYO11,Note: B,gpt-4o-mini,0.91,902
BOD01,Note: B,gpt-4o-mini,0.49,896
SOU13,Note: B,gpt-4o-mini,0.46,925
CFE02,Note: B,gpt-4o-mini,0.61,694
HES01,Note: C,gpt-4o-mini,0.7,752
LOR08,Note: B,gpt-4o-mini,0.66,831
LRE09,Note: B,gpt-4o-mini,0.63,740
BFC06,Note: B,gpt-4o-mini,0.49,881
