ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: A,gpt-4o,5.76,2860
SEN01,Note: B,gpt-4o,7.2,3767
UCA11,Note: B,gpt-4o,8.44,4118
UPS10,Note: B,gpt-4o,7.91,3771
SPC08,Note: A,gpt-4o,0.6,3639
LRE11,Note: B,gpt-4o,13.48,3844
SOU15,Note: B,gpt-4o,8.79,4309
UCA07,Note: C,gpt-4o,0.66,4046
BRE16,Note: B,gpt-4o,16.0,4188
SPC09,Note: A,gpt-4o,7.06,3579
ALS08,Note: B,gpt-4o,9.08,4314
PES08,Note: B,gpt-4o,7.0,3762
LYO02,Note: B,gpt-4o,7.19,3307
UCA05,Note: B,gpt-4o,7.01,3856
CVL01,Note: B,gpt-4o,7.72,3964
BOD07,Note: A,gpt-4o,7.95,3883
ALS03,Note: B,gpt-4o,8.35,4137
GRE03,Note: B,gpt-4o,7.8,3714
PES06,Note: B,gpt-4o,0.79,3929
OCM10,Note: B,gpt-4o,13.46,3546
LOR02,Note: B,gpt-4o,8.38,4079
UPL02,Note: A,gpt-4o,7.82,3779
NOR10,Note: A,gpt-4o,0.84,3519
BRE14,Note: A,gpt-4o,13.94,3970
LYO05,Note: B,gpt-4o,8.69,3924
GRE07,Note: B,gpt-4o,6.06,3706
POF03,Note: B,gpt-4o,8.34,4142
BFC09,Note: B,gpt-4o,7.98,3653
BFC10,Note: B,gpt-4o,6.74,3721
GRE01,Note: A,gpt-4o,8.57,4016
OCM08,Note: A,gpt-4o,7.33,3755
LYO01,Note: B,gpt-4o,7.76,3608
BOD11,Note: B,gpt-4o,7.48,3665
LRE02,Note: B,gpt-4o,7.35,4063
OCM07,Note: B,gpt-4o,7.35,3727
SPC05,Note: B,gpt-4o,8.35,4166
BOD04,Note: A,gpt-4o,8.84,3918
POF05,Note: B,gpt-4o,6.36,3717
SPC03,Note: A,gpt-4o,7.1,3465
SOU01,Note: A,gpt-4o,8.76,4453
OCM11,Note: A,gpt-4o,6.57,3410
NOR04,Note: B,gpt-4o,8.22,3836
SPC04,Note: B,gpt-4o,8.22,4135
LDV05,Note: B,gpt-4o,9.21,4218
ALS05,Note: B,gpt-4o,6.56,3889
LYO10,Note: A,gpt-4o,8.16,3869
OCM14,Note: B,gpt-4o,9.32,3901
SOU07,Note: B,gpt-4o,6.0,4001
BRE04,Note: B,gpt-4o,7.5,3845
HES06,Note: B,gpt-4o,7.86,3789
UCA02,Note: A,gpt-4o,9.17,3688
PES07,Note: B,gpt-4o,6.41,4091
UCA14,Note: A,gpt-4o,9.42,3990
CFE05,Note: B,gpt-4o,7.82,4177
PES03,Note: B,gpt-4o,7.48,3897
ALS04,Note: B,gpt-4o,8.52,3865
SOU14,Note: B,gpt-4o,7.96,3841
CVL03,Note: A,gpt-4o,0.56,4052
NOR12,Note: B,gpt-4o,13.67,3977
OCM18,Note: B,gpt-4o,7.24,3754
BFC02,Note: B,gpt-4o,12.39,4357
CFE09,Note: B,gpt-4o,4.04,3844
LDV08,Note: B,gpt-4o,8.46,4042
SOU10,Note: B,gpt-4o,0.54,3706
SOU09,Note: B,gpt-4o,13.32,3429
ALS09,Note: A,gpt-4o,9.16,3577
ALS11,Note: B,gpt-4o,6.19,4028
GRE13,Note: B,gpt-4o,1.63,4095
HES08,Note: B,gpt-4o,14.77,4071
LDV09,Note: B,gpt-4o,6.89,3560
LDV07,Note: A,gpt-4o,8.46,4035
ALS10,Note: A,gpt-4o,8.7,3630
OCM13,Note: A,gpt-4o,4.87,3438
HES02,Note: A,gpt-4o,7.51,3828
HES03,Note: A,gpt-4o,7.11,3446
NOR05,Note: A,gpt-4o,0.71,3883
LOR03,Note: B,gpt-4o,15.48,3953
CVL02,Note: B,gpt-4o,7.49,3926
UPS04,Note: B,gpt-4o,1.02,4082
HES05,Note: B,gpt-4o,5.56,3772
SEN02,Note: A,gpt-4o,17.07,3978
BOD12,Note: B,gpt-4o,7.83,4086
LYO11,Note: B,gpt-4o,7.98,3936
BOD01,Note: B,gpt-4o,8.95,4224
SOU13,Note: B,gpt-4o,8.09,4065
CFE02,Note: A,gpt-4o,6.49,3501
HES01,Note: A,gpt-4o,7.74,3500
LOR08,Note: B,gpt-4o,9.68,3967
LRE09,Note: A,gpt-4o,6.02,3838
BFC06,Note: B,gpt-4o,8.62,4017
