ID,Model Output,Model,Time Spent (s),Tokens
PES04,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 28435, Requested 2399. Please try again in 1.668s. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4o,0.0,0
SEN01,Note: 3,gpt-4o,0.72,2097
UCA11,Note: 5,gpt-4o,0.56,2061
UPS10,Note: 3,gpt-4o,10.11,2475
SPC08,Note: 4,gpt-4o,0.97,2001
LRE11,Note: 3,gpt-4o,5.58,2296
SOU15,Note: 5,gpt-4o,4.59,2453
UCA07,Note: 2,gpt-4o,0.96,2160
BRE16,Note: 4,gpt-4o,6.74,2572
SPC09,Note: 1,gpt-4o,5.87,2189
ALS08,Note: 4,gpt-4o,7.38,2490
PES08,Note: 4,gpt-4o,1.69,1876
LYO02,Note: 4,gpt-4o,6.06,2308
UCA05,Note: 3,gpt-4o,0.67,2006
CVL01,Note: 3,gpt-4o,0.99,2301
BOD07,Note: 3,gpt-4o,6.36,2340
ALS03,Note: 4,gpt-4o,10.55,2336
GRE03,Note: 4,gpt-4o,1.4,1874
PES06,Note: 4,gpt-4o,5.2,2327
OCM10,Note: 4,gpt-4o,6.49,2306
LOR02,Note: 5,gpt-4o,4.17,2131
UPL02,Note: 3,gpt-4o,0.78,2195
NOR10,Note: 3,gpt-4o,1.3,2116
BRE14,Note: 3,gpt-4o,0.81,2174
LYO05,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4o in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 27376, Requested 2790. Please try again in 332ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4o,0.0,0
GRE07,Note: 4,gpt-4o,0.72,2257
POF03,Note: 4,gpt-4o,6.69,2344
BFC09,Note: 4,gpt-4o,2.86,2459
BFC10,Note: 3,gpt-4o,0.7,2145
GRE01,Note: 5,gpt-4o,0.62,2328
OCM08,Note: 3,gpt-4o,2.69,2177
LYO01,Note: 4,gpt-4o,6.13,2357
BOD11,Note: 3,gpt-4o,11.66,2252
LRE02,Note: 4,gpt-4o,0.91,2208
OCM07,Note: 4,gpt-4o,7.04,2461
SPC05,Note: 5,gpt-4o,5.91,2407
BOD04,Note: 3,gpt-4o,5.48,1870
POF05,Note: 3,gpt-4o,3.43,2249
SPC03,Note: 4,gpt-4o,5.0,1781
SOU01,Note: 3,gpt-4o,5.41,2508
OCM11,Note: 4,gpt-4o,0.66,1922
NOR04,Note: 4,gpt-4o,4.84,1794
SPC04,Note: 4,gpt-4o,3.91,2087
LDV05,Note: 4,gpt-4o,0.59,2505
ALS05,Note: 4,gpt-4o,8.98,2132
LYO10,Note: 3,gpt-4o,6.83,2478
OCM14,Note: 3,gpt-4o,0.6,2011
SOU07,Note: 3,gpt-4o,0.72,2132
BRE04,Note: 3,gpt-4o,6.25,2328
HES06,Note: 4,gpt-4o,9.44,2235
UCA02,Note: 3,gpt-4o,0.72,2453
PES07,Note: 4,gpt-4o,6.61,1977
UCA14,Note: 4,gpt-4o,4.65,2518
CFE05,Note: 3,gpt-4o,4.64,2324
PES03,Note: 5,gpt-4o,4.79,2400
ALS04,Note: 5,gpt-4o,0.85,2173
