ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 60,gpt-4o-mini,0.48,436
SEN01,Note: 85,gpt-4o-mini,0.7,755
UCA11,Note: 85,gpt-4o-mini,0.41,817
UPS10,Note: 85,gpt-4o-mini,0.49,920
SPC08,Note: 85,gpt-4o-mini,0.46,727
LRE11,Note: 85,gpt-4o-mini,0.9,794
SOU15,Note: 85,gpt-4o-mini,0.8,869
UCA07,Note: 65,gpt-4o-mini,0.53,764
BRE16,Note: 90,gpt-4o-mini,0.75,875
SPC09,Note: 75,gpt-4o-mini,0.6,586
ALS08,Note: 85,gpt-4o-mini,0.7,911
PES08,Note: 85,gpt-4o-mini,0.51,751
PES08,Note: 85,gpt-4o-mini,0.58,751
LYO02,Note: 85,gpt-4o-mini,0.5,753
UCA05,Note: 85,gpt-4o-mini,0.5,766
CVL01,Note: 85,gpt-4o-mini,0.91,715
BOD07,Note: 85,gpt-4o-mini,0.69,816
ALS03,Note: 85,gpt-4o-mini,0.8,860
GRE03,Note: 85,gpt-4o-mini,0.8,662
PES06,Note: 85,gpt-4o-mini,0.49,748
OCM10,Note: 90,gpt-4o-mini,0.7,776
LOR02,Note: 85,gpt-4o-mini,0.74,768
UPL02,Note: 85,gpt-4o-mini,0.68,853
NOR10,Note: 85,gpt-4o-mini,0.57,668
BRE14,Note: 75,gpt-4o-mini,0.62,784
LYO05,Note: 75,gpt-4o-mini,0.48,886
GRE07,Note: 85,gpt-4o-mini,0.9,780
POF03,Note: 85,gpt-4o-mini,0.6,929
BFC09,Note: 85,gpt-4o-mini,0.5,736
BFC10,Note: 85,gpt-4o-mini,1.21,676
GRE01,Note: 90,gpt-4o-mini,0.7,742
OCM08,Note: 85,gpt-4o-mini,0.69,702
OCM08,Note: 80,gpt-4o-mini,0.7,702
LYO01,Note: 85,gpt-4o-mini,0.7,808
BOD11,Note: 85,gpt-4o-mini,0.8,686
LRE02,Note: 85,gpt-4o-mini,0.6,847
OCM07,Note: 85,gpt-4o-mini,0.68,854
SPC05,Note: 90,gpt-4o-mini,0.46,878
BOD04,Note: 85,gpt-4o-mini,0.45,745
POF05,Note: 85,gpt-4o-mini,0.88,773
SPC03,Note: 85,gpt-4o-mini,0.6,656
SOU01,Note: 85,gpt-4o-mini,0.6,900
OCM11,Note: 90,gpt-4o-mini,1.32,699
NOR04,Note: 85,gpt-4o-mini,0.85,669
SPC04,Note: 85,gpt-4o-mini,0.51,875
LDV05,Note: 85,gpt-4o-mini,0.62,901
ALS05,Note: 85,gpt-4o-mini,0.69,798
LYO10,Note: 85,gpt-4o-mini,0.6,870
LYO10,Note: 85,gpt-4o-mini,2.55,870
OCM14,Note: 75,gpt-4o-mini,2.03,799
SOU07,Note: 85,gpt-4o-mini,0.6,877
BRE04,Note: 85,gpt-4o-mini,0.41,869
HES06,Note: 85,gpt-4o-mini,0.77,658
UCA02,Note: 85,gpt-4o-mini,0.5,726
PES07,Note: 85,gpt-4o-mini,0.6,722
UCA14,Note: 75,gpt-4o-mini,0.5,919
CFE05,Note: 85,gpt-4o-mini,0.49,800
PES03,Note: 85,gpt-4o-mini,1.01,793
ALS04,Note: 85,gpt-4o-mini,0.5,918
SOU14,Note: 85,gpt-4o-mini,0.66,683
CVL03,Note: 90,gpt-4o-mini,1.77,755
NOR12,Note: 90,gpt-4o-mini,0.6,905
OCM18,Note: 85,gpt-4o-mini,0.45,821
BFC02,Note: 85,gpt-4o-mini,0.54,938
CFE09,Note: 85,gpt-4o-mini,0.5,842
LDV08,Note: 85,gpt-4o-mini,0.6,752
SOU10,Note: 85,gpt-4o-mini,2.34,827
SOU09,Note: 85,gpt-4o-mini,0.59,624
ALS09,Note: 85,gpt-4o-mini,0.5,762
ALS11,Note: 90,gpt-4o-mini,0.59,918
GRE13,Note: 85,gpt-4o-mini,0.88,832
HES08,Note: 85,gpt-4o-mini,0.51,866
LDV09,Note: 85,gpt-4o-mini,0.93,707
LDV07,Note: 85,gpt-4o-mini,0.49,809
ALS10,Note: 85,gpt-4o-mini,0.6,881
OCM13,Note: 85,gpt-4o-mini,0.5,614
HES02,Note: 85,gpt-4o-mini,0.69,904
HES03,Note: 85,gpt-4o-mini,0.52,583
NOR05,Note: 85,gpt-4o-mini,0.67,784
LOR03,Note: 85,gpt-4o-mini,0.91,844
CVL02,Note: 85,gpt-4o-mini,0.68,871
UPS04,Note: 85,gpt-4o-mini,0.56,785
HES05,Note: 85,gpt-4o-mini,0.86,726
SEN02,Note: 85,gpt-4o-mini,0.53,860
BOD12,Note: 85,gpt-4o-mini,0.76,881
LYO11,Note: 85,gpt-4o-mini,0.7,835
BOD01,Note: 85,gpt-4o-mini,0.58,829
SOU13,Note: 85,gpt-4o-mini,0.58,858
CFE02,Note: 85,gpt-4o-mini,0.51,627
HES01,Note: 85,gpt-4o-mini,0.48,685
LOR08,Note: 85,gpt-4o-mini,0.59,764
LRE09,Note: 85,gpt-4o-mini,0.8,673
BFC06,Note: 85,gpt-4o-mini,0.57,814
