ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: B,gpt-4o,0.7,511
SEN01,Note: A,gpt-4o,1.93,830
UCA11,Note: B,gpt-4o,1.63,892
UPS10,Note: A,gpt-4o,1.88,995
SPC08,Note: B,gpt-4o,1.89,802
LRE11,Note: A,gpt-4o,1.37,869
SOU15,Note: A,gpt-4o,1.88,944
UCA07,Note: A,gpt-4o,1.91,839
BRE16,Note: A,gpt-4o,1.71,950
SPC09,Note: A,gpt-4o,1.59,661
ALS08,Note: A,gpt-4o,1.89,986
PES08,Note: B,gpt-4o,1.67,826
LYO02,Note: A,gpt-4o,1.3,828
UCA05,Note: A,gpt-4o,2.09,841
CVL01,Note: A,gpt-4o,1.31,790
BOD07,Note: B,gpt-4o,1.6,891
ALS03,Note: A,gpt-4o,2.15,935
GRE03,Note: B,gpt-4o,1.42,737
PES06,Note: A,gpt-4o,1.62,823
OCM10,Note: B,gpt-4o,2.09,851
LOR02,Note: A,gpt-4o,1.16,843
UPL02,Note: A,gpt-4o,2.14,928
NOR10,Note: B,gpt-4o,1.32,743
BRE14,Note: B,gpt-4o,1.62,859
LYO05,Note: B,gpt-4o,2.14,961
GRE07,Note: A,gpt-4o,1.43,855
POF03,Note: A,gpt-4o,1.88,1004
BFC09,Note: B,gpt-4o,1.81,811
BFC10,Note: B,gpt-4o,1.67,751
GRE01,Note: B,gpt-4o,1.32,817
OCM08,Note: B,gpt-4o,1.71,777
LYO01,Note: A,gpt-4o,1.73,883
BOD11,Note: A,gpt-4o,1.25,761
LRE02,Note: B,gpt-4o,2.73,922
OCM07,Note: B,gpt-4o,1.08,929
SPC05,Note: A,gpt-4o,1.85,953
BOD04,Note: A,gpt-4o,0.6,820
POF05,Note: A,gpt-4o,2.69,848
SPC03,Note: B,gpt-4o,1.54,731
SOU01,Note: A,gpt-4o,1.76,975
OCM11,Note: B,gpt-4o,1.5,774
NOR04,Note: A,gpt-4o,1.81,744
SPC04,Note: B,gpt-4o,2.04,950
LDV05,Note: B,gpt-4o,1.56,976
ALS05,Note: A,gpt-4o,2.01,873
LYO10,Note: B,gpt-4o,1.93,945
OCM14,Note: B,gpt-4o,1.52,874
SOU07,Note: B,gpt-4o,1.91,952
BRE04,Note: B,gpt-4o,1.75,944
HES06,Note: B,gpt-4o,1.69,733
UCA02,Note: A,gpt-4o,1.53,801
PES07,Note: A,gpt-4o,1.84,797
UCA14,Note: B,gpt-4o,1.93,994
CFE05,Note: B,gpt-4o,1.53,875
PES03,Note: B,gpt-4o,1.58,868
ALS04,Note: B,gpt-4o,2.28,993
SOU14,Note: A,gpt-4o,1.21,758
CVL03,Note: B,gpt-4o,1.74,830
NOR12,Note: B,gpt-4o,4.82,980
OCM18,Note: A,gpt-4o,0.53,896
BFC02,Note: B,gpt-4o,0.65,1013
CFE09,Note: B,gpt-4o,1.46,917
LDV08,Note: B,gpt-4o,1.9,827
SOU10,Note: A,gpt-4o,1.6,902
SOU09,Note: B,gpt-4o,1.43,699
ALS09,Note: A,gpt-4o,1.8,837
ALS11,Note: A,gpt-4o,2.09,993
GRE13,Note: B,gpt-4o,1.42,907
HES08,Note: A,gpt-4o,2.13,941
LDV09,Note: B,gpt-4o,1.83,782
LDV07,Note: A,gpt-4o,1.56,884
ALS10,Note: A,gpt-4o,1.82,956
OCM13,Note: A,gpt-4o,1.34,689
HES02,Note: B,gpt-4o,1.79,979
HES03,Note: B,gpt-4o,1.26,658
NOR05,Note: A,gpt-4o,1.79,859
LOR03,Note: B,gpt-4o,2.23,919
CVL02,Note: B,gpt-4o,1.52,946
UPS04,Note: B,gpt-4o,0.6,860
HES05,Note: A,gpt-4o,0.59,801
SEN02,Note: B,gpt-4o,3.98,935
BOD12,Note: B,gpt-4o,1.93,956
LYO11,Note: B,gpt-4o,1.52,910
BOD01,Note: B,gpt-4o,2.09,904
SOU13,Note: B,gpt-4o,1.87,933
CFE02,Note: A,gpt-4o,1.48,702
HES01,Note: B,gpt-4o,1.11,760
LOR08,Note: A,gpt-4o,1.71,839
LRE09,Note: A,gpt-4o,1.71,748
BFC06,Note: A,gpt-4o,1.73,889
