Lexical_Feature,Criterion,Spearman_Coefficient,p_value
Cleft,La conclusion,-0.0004677399135494219,0.9965089931407474
Imperative,Langage Négatif,-0.0005229496909122775,0.9960969344845236
Relative,Présentation du Sujet,-0.0013058832835844266,0.9902536639829445
Imperative,La conclusion,-0.003756071653531135,0.9719718981419734
Imperative,Global,-0.004789434119236348,0.964265388590896
Nominal,Structure,-0.005766715823931616,0.956980118264712
Imperative,Créativité du discours,-0.006737472605925511,0.9497469824083271
Imperative,Niveau de Langue,-0.007236535421393585,0.9460299977108558
Nominal,Redondance,-0.010447668392665792,0.9221447424727168
Relative,La conclusion,-0.011564818263353711,0.913850154590464
Passive,Niveau de Langue,-0.012481976071338984,0.907047309775222
Relative,Voix Passive,-0.014297010874715261,0.8936048336657669
Exclamatory,Structure,-0.017939760917243124,0.866720179859871
Imperative,Métaphore,-0.018658906095357797,0.8614295317864347
Passive,L'introduction,-0.019992877544367824,0.851632029359844
Relative,Métaphore,-0.020233562312426418,0.8498666422730081
Imperative,Discours,-0.020493000623028453,0.8479645291689563
Cleft,Clarté du Langage,-0.02272773483447387,0.8316173513588097
Conditional,Discours,-0.02291614686833365,0.8302422739274086
Nominal,Persuasivité,-0.02302792305861812,0.8294267448914233
Nominal,Niveau de Langue,-0.024534044186818423,0.8184559018068384
Interrogative,L'introduction,-0.0264860376037156,0.804289366367746
Passive,Structure,-0.031195352072989166,0.7703789268825179
Cleft,Présentation du Sujet,-0.031995984452538984,0.7646545542378194
Interrogative,Discours,-0.03440130400269765,0.7475339689992901
Passive,Voix Passive,-0.03574385146093951,0.7380303463032709
Cleft,Langage Négatif,-0.04279981972627357,0.6887568943712286
Nominal,La conclusion,-0.04401186407598191,0.6804153452298392
Passive,Redondance,-0.047013540013944526,0.659923696268909
Cleft,Global,-0.049369125715612035,0.6440155704148568
Cleft,L'introduction,-0.05135752602136415,0.6307104500536737
Nominal,Présentation du Sujet,-0.053544300512412185,0.6162127447930826
Passive,Global,-0.053722812222495565,0.615035631843936
Nominal,Discours,-0.05410487162151741,0.6125195913902963
Relative,Concision,-0.05664801210663194,0.5958871608356362
Nominal,Créativité du discours,-0.06101035594927982,0.5678390414795829
Relative,Global,-0.06202365003599187,0.5614139889234289
Imperative,Redondance,-0.062439182957695405,0.5587892253022064
Declarative,Persuasivité,-0.06450958130656102,0.5457993500420868
Imperative,Structure,-0.06486078614531464,0.5436105501899908
Conditional,La conclusion,-0.06623440688972927,0.5350912429694662
Interrogative,Concision,-0.06731552920577002,0.5284328910833177
Cleft,Discours,-0.06957931021285677,0.5146265088867363
Imperative,L'introduction,-0.07208659618554208,0.49955303079217317
Exclamatory,Clarté du Langage,-0.07258519492452806,0.4965832306869211
Cleft,Créativité du discours,-0.07394616698449857,0.4885242099885544
Exclamatory,L'introduction,-0.07650962394341265,0.473534825922896
Conditional,Langage Négatif,-0.07682138963307104,0.47172894196530346
Declarative,Redondance,-0.08227606604866332,0.4407443200390778
Cleft,Métaphore,-0.08414724609836181,0.4303856388074815
Relative,Langage Négatif,-0.08459941886091887,0.427903453777401
Imperative,Présentation du Sujet,-0.08714039819370677,0.41410804697730663
Passive,Concision,-0.08969600898343572,0.4004976487168469
Relative,Discours,-0.09253261924396605,0.3857044263832463
Cleft,Redondance,-0.09533497408307534,0.3714168221554053
Passive,Créativité du discours,-0.09696610007299462,0.36325127362499265
Exclamatory,Discours,-0.09716978198477004,0.36223943847417617
Exclamatory,Langage Négatif,-0.10131879800059385,0.3420073036535014
Passive,La conclusion,-0.10407245026813207,0.32897985816795383
Declarative,Langage Négatif,-0.10799578319158055,0.31097254778396355
Cleft,Concision,-0.11684325892497639,0.2727553331011295
Interrogative,Langage Négatif,-0.11702625103665551,0.27199977877805204
Interrogative,Clarté du Langage,-0.11960802043308377,0.2614899790834291
Nominal,Concision,-0.1215641986795209,0.25371291985098493
Exclamatory,Métaphore,-0.12189730612242286,0.252404542473258
Passive,Persuasivité,-0.13314914172297276,0.21090324083164888
Relative,Niveau de Langue,-0.1368662528703151,0.19832440159023113
Interrogative,Créativité du discours,-0.13815635075274074,0.19408734116198778
Declarative,L'introduction,-0.14786119159048647,0.16429091453183403
Interrogative,Niveau de Langue,-0.1524647658812984,0.1514036498449485
Nominal,Métaphore,-0.15927304338889625,0.1337530217936043
Nominal,Clarté du Langage,-0.15993297295740247,0.13212904275400644
Nominal,Voix Passive,-0.16919104623339282,0.11089876602445276
Interrogative,Métaphore,-0.1742484493468507,0.10047596888270871
Interrogative,La conclusion,-0.17928122998832205,0.0908817474518898
Cleft,Voix Passive,-0.19302077105499746,0.0683426611602978
Cleft,Structure,-0.20777137895047737,0.04940959413059733
Imperative,Voix Passive,-0.21409255452030215,0.04274144627115869
Imperative,Persuasivité,-0.21591293444031312,0.040966119267140465
Relative,Créativité du discours,-0.2189593592043444,0.0381326200930023
Passive,Présentation du Sujet,-0.22853804173445255,0.030268769583209128
Passive,Discours,-0.28649893059140297,0.006188685837305582
Passive,Clarté du Langage,-9.068236210942531e-05,0.9993231843287691
Exclamatory,Niveau de Langue,0.004960051810154981,0.9629932691950069
Cleft,Niveau de Langue,0.006025905589744877,0.9550485230783821
Declarative,Clarté du Langage,0.010598806506990317,0.9210220689558588
Exclamatory,Présentation du Sujet,0.01128710542729223,0.9159112841076362
Exclamatory,Créativité du discours,0.011581998363018781,0.9137226658621829
Declarative,Structure,0.011806115215964062,0.9120597582613732
Interrogative,Global,0.014317565902360507,0.8934527639862183
Declarative,Global,0.01576244676687966,0.882773243219165
Conditional,Global,0.019012616143065954,0.8588295628555118
Exclamatory,La conclusion,0.02462421989424803,0.8178001314576839
Interrogative,Présentation du Sujet,0.025482142840427484,0.8115675239755747
Conditional,Métaphore,0.0304392390177682,0.7757963117403326
Interrogative,Persuasivité,0.03171218165080497,0.7666822636695179
Conditional,L'introduction,0.033022939366684316,0.7573305181243856
Passive,Métaphore,0.03554504725026241,0.7394352010141578
Interrogative,Structure,0.03848905685180092,0.7187210005906639
Imperative,Concision,0.0403058653837594,0.70603736550862
Relative,Clarté du Langage,0.04365060478900697,0.6828976473638608
Interrogative,Voix Passive,0.04530483676546334,0.6715590217270007
Declarative,Présentation du Sujet,0.05746264930382835,0.5906024634491588
Conditional,Présentation du Sujet,0.058906043810385514,0.5812913513449474
Nominal,Langage Négatif,0.060218351010222125,0.5728849098473918
Imperative,Clarté du Langage,0.060235310394383915,0.5727766427495585
Exclamatory,Voix Passive,0.061786482401059786,0.5629147092981908
Nominal,L'introduction,0.06265316957445011,0.5574398424283238
Nominal,Global,0.06539171454243535,0.5403098383900409
Declarative,La conclusion,0.0765671925089038,0.47320108244882586
Conditional,Voix Passive,0.0883768872155707,0.4074896019118309
Exclamatory,Global,0.08929607050635201,0.4026099848508763
Declarative,Concision,0.08969859390943542,0.40048401735997874
Relative,L'introduction,0.09329663853130417,0.3817767924858605
Exclamatory,Persuasivité,0.09438371533432083,0.3762301476014319
Declarative,Voix Passive,0.09531968414324377,0.3714938903848717
Relative,Structure,0.09653240906632016,0.3654115140066344
Cleft,Persuasivité,0.09736986327274957,0.36124718158185987
Interrogative,Redondance,0.09800824169395185,0.3580925055410926
Relative,Redondance,0.10251183776137748,0.33632376015917365
Conditional,Clarté du Langage,0.10564507804065673,0.3216835786823647
Declarative,Métaphore,0.11060895563814635,0.2993402344987825
