ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: B,gpt-4o,0.71,540
SEN01,Note: C,gpt-4o,1.3,859
UCA11,Note: C,gpt-4o,1.74,921
UPS10,Note: C,gpt-4o,2.24,1024
SPC08,Note: C,gpt-4o,1.22,831
LRE11,Note: C,gpt-4o,1.89,898
SOU15,Note: C,gpt-4o,1.87,973
UCA07,Note: B,gpt-4o,1.93,868
BRE16,Note: C,gpt-4o,2.03,979
SPC09,Note: B,gpt-4o,1.42,690
ALS08,Note: C,gpt-4o,2.04,1015
PES08,Note: C,gpt-4o,1.83,855
LYO02,Note: C,gpt-4o,1.52,857
UCA05,Note: B,gpt-4o,1.73,870
CVL01,Note: C,gpt-4o,1.36,819
BOD07,Note: C,gpt-4o,1.78,920
ALS03,Note: C,gpt-4o,2.04,964
GRE03,Note: C,gpt-4o,1.62,766
PES06,Note: B,gpt-4o,1.93,852
OCM10,Note: C,gpt-4o,1.42,880
LOR02,Note: C,gpt-4o,1.73,872
UPL02,Note: B,gpt-4o,2.85,957
NOR10,Note: B,gpt-4o,1.22,772
BRE14,Note: C,gpt-4o,1.63,888
LYO05,Note: C,gpt-4o,1.52,990
GRE07,Note: C,gpt-4o,1.63,884
POF03,Note: C,gpt-4o,2.09,1033
BFC09,Note: C,gpt-4o,1.98,840
BFC10,Note: C,gpt-4o,1.32,780
GRE01,Note: C,gpt-4o,1.53,846
OCM08,Note: C,gpt-4o,1.62,806
LYO01,Note: C,gpt-4o,1.88,912
BOD11,Note: C,gpt-4o,1.57,790
LRE02,Note: C,gpt-4o,2.04,951
OCM07,Note: C,gpt-4o,1.63,958
SPC05,Note: C,gpt-4o,2.24,982
BOD04,Note: B,gpt-4o,1.32,849
POF05,Note: C,gpt-4o,1.83,877
SPC03,Note: B,gpt-4o,1.94,760
SOU01,Note: C,gpt-4o,1.83,1004
OCM11,Note: C,gpt-4o,1.62,803
NOR04,Note: C,gpt-4o,1.42,773
SPC04,Note: C,gpt-4o,1.94,979
LDV05,Note: C,gpt-4o,2.24,1005
ALS05,Note: C,gpt-4o,1.52,902
LYO10,Note: C,gpt-4o,2.03,974
OCM14,Note: B,gpt-4o,1.73,903
SOU07,Note: B,gpt-4o,2.04,981
BRE04,Note: C,gpt-4o,1.83,973
HES06,Note: B,gpt-4o,1.73,762
UCA02,Note: C,gpt-4o,1.63,830
PES07,Note: C,gpt-4o,1.52,826
UCA14,Note: B,gpt-4o,2.34,1023
CFE05,Note: C,gpt-4o,1.87,904
PES03,Note: C,gpt-4o,1.38,897
ALS04,Note: C,gpt-4o,1.94,1022
SOU14,Note: B,gpt-4o,1.55,787
CVL03,Note: B,gpt-4o,1.9,859
NOR12,Note: C,gpt-4o,1.83,1009
OCM18,Note: B,gpt-4o,1.73,925
BFC02,Note: B,gpt-4o,2.65,1042
CFE09,Note: C,gpt-4o,1.32,946
LDV08,Note: C,gpt-4o,1.83,856
SOU10,Note: C,gpt-4o,1.93,931
SOU09,Note: B,gpt-4o,1.43,728
ALS09,Note: B,gpt-4o,1.43,866
ALS11,Note: C,gpt-4o,2.24,1022
GRE13,Note: C,gpt-4o,2.03,936
HES08,Note: C,gpt-4o,1.63,970
LDV09,Note: C,gpt-4o,1.73,811
LDV07,Note: C,gpt-4o,1.94,913
ALS10,Note: C,gpt-4o,1.83,985
OCM13,Note: C,gpt-4o,1.52,718
HES02,Note: C,gpt-4o,1.73,1008
HES03,Note: C,gpt-4o,1.64,687
NOR05,Note: B,gpt-4o,1.71,888
LOR03,Note: C,gpt-4o,1.93,948
CVL02,Note: B,gpt-4o,1.83,975
UPS04,Note: B,gpt-4o,1.93,889
HES05,Note: B,gpt-4o,1.52,830
SEN02,Note: C,gpt-4o,1.73,964
BOD12,Note: C,gpt-4o,2.25,985
LYO11,Note: C,gpt-4o,1.83,939
BOD01,Note: C,gpt-4o,1.93,933
SOU13,Note: C,gpt-4o,1.83,962
CFE02,Note: C,gpt-4o,1.16,731
HES01,Note: C,gpt-4o,1.68,789
LOR08,Note: C,gpt-4o,1.83,868
LRE09,Note: B,gpt-4o,1.62,777
BFC06,Note: C,gpt-4o,1.93,918
