ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: C,gpt-4o,1.01,512
SEN01,Note: B,gpt-4o,1.73,831
UCA11,Note: B,gpt-4o,1.73,893
UPS10,Note: B,gpt-4o,1.84,996
SPC08,Note: B,gpt-4o,2.59,803
LRE11,Note: B,gpt-4o,1.17,870
SOU15,Note: B,gpt-4o,1.53,945
UCA07,Note: C,gpt-4o,1.72,840
BRE16,Note: B,gpt-4o,1.83,951
SPC09,Note: C,gpt-4o,2.39,662
ALS08,Note: B,gpt-4o,0.85,987
PES08,Note: B,gpt-4o,1.81,827
LYO02,Note: B,gpt-4o,1.75,829
UCA05,Note: A,gpt-4o,1.62,842
CVL01,Note: B,gpt-4o,1.34,791
BOD07,Note: B,gpt-4o,2.0,892
ALS03,Note: C,gpt-4o,1.73,936
GRE03,Note: B,gpt-4o,1.49,738
PES06,Note: B,gpt-4o,1.65,824
OCM10,Note: B,gpt-4o,1.73,852
LOR02,Note: B,gpt-4o,1.42,844
UPL02,Note: B,gpt-4o,2.09,929
NOR10,Note: B,gpt-4o,1.63,744
BRE14,Note: B,gpt-4o,1.47,860
LYO05,Note: B,gpt-4o,1.93,962
GRE07,Note: C,gpt-4o,1.63,856
POF03,Note: B,gpt-4o,1.92,1005
BFC09,Note: B,gpt-4o,1.83,812
BFC10,Note: B,gpt-4o,1.83,752
GRE01,Note: B,gpt-4o,1.04,818
OCM08,Note: C,gpt-4o,1.6,778
LYO01,Note: B,gpt-4o,1.71,884
BOD11,Note: B,gpt-4o,1.65,762
LRE02,Note: B,gpt-4o,1.63,923
OCM07,Note: B,gpt-4o,3.57,930
SPC05,Note: B,gpt-4o,0.6,954
BOD04,Note: B,gpt-4o,1.73,821
POF05,Note: B,gpt-4o,1.22,849
SPC03,Note: B,gpt-4o,1.73,732
SOU01,Note: B,gpt-4o,0.81,976
OCM11,Note: B,gpt-4o,2.14,775
NOR04,Note: B,gpt-4o,0.7,745
SPC04,Note: B,gpt-4o,3.05,951
LDV05,Note: B,gpt-4o,1.88,977
ALS05,Note: B,gpt-4o,1.88,874
LYO10,Note: B,gpt-4o,1.83,946
OCM14,Note: B,gpt-4o,2.66,875
SOU07,Note: B,gpt-4o,1.83,953
BRE04,Note: B,gpt-4o,1.32,945
HES06,Note: B,gpt-4o,1.32,734
UCA02,Note: C,gpt-4o,1.49,802
PES07,Note: B,gpt-4o,1.35,798
UCA14,Note: C,gpt-4o,3.26,995
CFE05,Note: B,gpt-4o,0.5,876
PES03,Note: B,gpt-4o,1.93,869
ALS04,Note: B,gpt-4o,1.93,994
SOU14,Note: C,gpt-4o,1.41,759
CVL03,Note: B,gpt-4o,1.63,831
NOR12,Note: B,gpt-4o,2.04,981
OCM18,Note: B,gpt-4o,1.5,897
BFC02,Note: B,gpt-4o,2.36,1014
CFE09,Note: B,gpt-4o,1.53,918
LDV08,Note: B,gpt-4o,1.93,828
SOU10,Note: B,gpt-4o,2.65,903
SOU09,Note: C,gpt-4o,0.5,700
ALS09,Note: B,gpt-4o,1.98,838
ALS11,Note: B,gpt-4o,3.73,994
GRE13,Note: B,gpt-4o,0.6,908
HES08,Note: B,gpt-4o,0.91,942
LDV09,Note: B,gpt-4o,1.57,783
LDV07,Note: B,gpt-4o,1.89,885
ALS10,Note: B,gpt-4o,1.62,957
OCM13,Note: B,gpt-4o,1.42,690
HES02,Note: B,gpt-4o,2.04,980
HES03,Note: B,gpt-4o,1.04,659
NOR05,Note: C,gpt-4o,1.8,860
LOR03,Note: B,gpt-4o,1.93,920
CVL02,Note: B,gpt-4o,1.87,947
UPS04,Note: C,gpt-4o,1.79,861
HES05,Note: B,gpt-4o,1.52,802
SEN02,Note: B,gpt-4o,1.73,936
BOD12,Note: B,gpt-4o,2.14,957
LYO11,Note: B,gpt-4o,1.52,911
BOD01,Note: B,gpt-4o,2.03,905
SOU13,Note: B,gpt-4o,1.93,934
CFE02,Note: C,gpt-4o,1.22,703
HES01,Note: C,gpt-4o,1.38,761
LOR08,Note: B,gpt-4o,1.88,840
LRE09,Note: B,gpt-4o,1.93,749
BFC06,Note: B,gpt-4o,1.52,890
