ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: A,gpt-4o-mini,0.85,3010
SEN01,Note: C,gpt-4o-mini,1.31,3518
UCA11,Note: C,gpt-4o-mini,0.69,3263
UPS10,Note: C,gpt-4o-mini,1.06,3919
SPC08,Note: C,gpt-4o-mini,0.97,3303
LRE11,Note: C,gpt-4o-mini,0.89,3729
SOU15,Note: C,gpt-4o-mini,1.34,3834
UCA07,Note: A,gpt-4o-mini,0.7,3632
BRE16,Note: C,gpt-4o-mini,0.91,3920
SPC09,Note: B,gpt-4o-mini,0.86,3320
ALS08,Note: C,gpt-4o-mini,0.47,3838
PES08,Note: C,gpt-4o-mini,1.59,3717
LYO02,Note: C,gpt-4o-mini,1.04,3739
UCA05,Note: C,gpt-4o-mini,1.42,3630
CVL01,Note: C,gpt-4o-mini,0.71,3579
BOD07,Note: C,gpt-4o-mini,0.86,3678
ALS03,Note: C,gpt-4o-mini,0.67,3690
GRE03,Note: C,gpt-4o-mini,0.88,3612
PES06,Note: C,gpt-4o-mini,0.6,3732
OCM10,Note: C,gpt-4o-mini,0.76,3667
LOR02,Note: C,gpt-4o-mini,0.7,3609
UPL02,Note: C,gpt-4o-mini,0.58,3764
NOR10,Note: B,gpt-4o-mini,0.82,3277
BRE14,Note: B,gpt-4o-mini,0.67,3679
LYO05,Note: B,gpt-4o-mini,0.73,4046
GRE07,Note: B,gpt-4o-mini,0.6,3730
POF03,Note: C,gpt-4o-mini,1.01,3940
BFC09,Note: C,gpt-4o-mini,0.8,3596
BFC10,Note: C,gpt-4o-mini,0.6,3820
GRE01,Note: C,gpt-4o-mini,0.7,3398
OCM08,Note: B,gpt-4o-mini,0.56,3558
LYO01,Note: C,gpt-4o-mini,0.58,3896
BOD11,Note: B,gpt-4o-mini,0.65,3391
LRE02,Note: C,gpt-4o-mini,0.7,3660
OCM07,Note: C,gpt-4o-mini,0.55,3910
SPC05,Note: C,gpt-4o-mini,0.76,3689
BOD04,Note: C,gpt-4o-mini,0.68,3783
POF05,Note: C,gpt-4o-mini,0.5,3525
SPC03,Note: C,gpt-4o-mini,0.59,3330
SOU01,Note: C,gpt-4o-mini,0.61,3897
OCM11,Note: C,gpt-4o-mini,0.8,3660
NOR04,Note: C,gpt-4o-mini,0.61,3576
SPC04,Note: C,gpt-4o-mini,0.7,3813
LDV05,Note: C,gpt-4o-mini,0.6,3699
ALS05,Note: C,gpt-4o-mini,0.5,3672
LYO10,Note: C,gpt-4o-mini,0.65,3759
OCM14,Note: C,gpt-4o-mini,0.95,3987
SOU07,Note: C,gpt-4o-mini,0.91,4006
BRE04,Note: C,gpt-4o-mini,0.8,3844
HES06,Note: C,gpt-4o-mini,1.28,3060
UCA02,Note: B,gpt-4o-mini,0.53,3488
PES07,Note: C,gpt-4o-mini,0.65,3563
UCA14,Note: B,gpt-4o-mini,0.76,3883
CFE05,Note: C,gpt-4o-mini,1.72,3780
PES03,Note: C,gpt-4o-mini,0.7,3692
ALS04,Note: C,gpt-4o-mini,0.63,4008
SOU14,Note: C,gpt-4o-mini,1.39,3226
CVL03,Note: C,gpt-4o-mini,0.6,3572
NOR12,Note: C,gpt-4o-mini,0.8,4154
OCM18,Note: C,gpt-4o-mini,0.8,3917
BFC02,Note: C,gpt-4o-mini,0.61,4020
CFE09,Note: C,gpt-4o-mini,0.59,3750
LDV08,Note: C,gpt-4o-mini,0.8,3749
SOU10,Note: C,gpt-4o-mini,0.49,3738
SOU09,Note: C,gpt-4o-mini,0.8,3242
ALS09,Note: B,gpt-4o-mini,0.6,3601
ALS11,Note: C,gpt-4o-mini,0.6,4089
GRE13,Note: B,gpt-4o-mini,0.8,3835
HES08,Note: C,gpt-4o-mini,0.7,3986
LDV09,Note: C,gpt-4o-mini,0.5,3297
LDV07,Note: B,gpt-4o-mini,0.41,3632
ALS10,Note: C,gpt-4o-mini,0.58,3782
OCM13,Note: B,gpt-4o-mini,0.55,3319
HES02,Note: C,gpt-4o-mini,0.44,3954
HES03,Note: B,gpt-4o-mini,0.7,3329
NOR05,Note: B,gpt-4o-mini,0.59,3770
LOR03,Note: B,gpt-4o-mini,0.84,4010
CVL02,Note: C,gpt-4o-mini,0.56,3831
UPS04,Note: B,gpt-4o-mini,3.41,3869
HES05,Note: C,gpt-4o-mini,0.56,3546
SEN02,Note: B,gpt-4o-mini,0.67,3867
BOD12,Note: C,gpt-4o-mini,0.67,3690
LYO11,Note: C,gpt-4o-mini,0.65,3535
BOD01,Note: C,gpt-4o-mini,0.6,3696
SOU13,Note: C,gpt-4o-mini,0.69,3781
CFE02,Note: B,gpt-4o-mini,0.76,3385
HES01,Note: B,gpt-4o-mini,0.84,3640
LOR08,Note: C,gpt-4o-mini,0.5,3727
LRE09,Note: B,gpt-4o-mini,0.6,3500
BFC06,Note: C,gpt-4o-mini,0.9,3652
