ID,Présentation du Sujet,Structure,Niveau de Langue,Voix Passive,Concision,Redondance,Langage Négatif,Métaphore,Discours,L'introduction,La conclusion,Persuasivité,Clarté du Langage,Créativité du discours,Global,Comment,Time Elapsed (sec),,
BFC06,C,C,C,B,B,B,B,C,C,,,4,5,4,80,,530,,"452,0333333"
CFE02,A,B,A,A,A,C,C,B,B,,,1,1,1,15,,318,,"532,0333333"
HES01,A,A,A,A,A,C,C,B,A,,,1,1,1,1,,206,,"8,867222222"
LOR08,B,B,A,B,A,B,B,A,B,,,2,2,2,30,,313,,
LRE09,A,A,A,A,A,C,B,B,B,,,1,1,2,17,,229,,
PES04,A,A,A,A,A,C,C,A,A,2,1,1,2,2,15,,225,,
SEN01,C,C,C,B,B,B,A,C,C,5,4,4,4,5,80,,279,,
UCA11,B,B,B,C,C,B,B,C,C,3,2,3,4,3,55,,392,,
UPS10,B,B,A,A,A,C,A,A,B,2,1,2,2,2,24,,254,,
SPC08,B,B,A,A,A,C,B,A,B,2,1,1,1,2,12,,220,,
LRE11,B,B,B,C,C,A,A,B,B,2,2,2,3,3,29,,249,,
SOU15,A,B,B,C,C,C,A,B,A,2,2,2,3,3,29,,288,,
UCA07,A,A,A,B,B,A,A,A,A,2,2,2,1,2,23,"Il se peut que ce soit un souci de retranscription, le texte est incompréhensible, les phrases n'ont pas de sens et certains mots n'existent pas. ",314,,
BRE16,C,C,B,B,A,C,A,C,C,3,3,3,2,4,62,,333,,
SPC09,C,B,B,A,A,C,A,C,A,2,1,2,2,3,38,,220,,
ALS08,C,C,B,B,B,B,A,C,C,4,3,4,4,4,71,,280,,
PES08,A,B,B,A,A,C,B,B,B,3,2,2,2,4,45,,241,,
PES08,A,B,B,A,A,C,B,B,B,3,2,2,2,4,45,,255,,
LYO02,A,B,B,A,C,C,B,B,B,2,2,2,2,3,30,,244,,
UCA05,A,A,A,A,A,C,C,A,A,2,2,1,1,2,16,,207,,
CVL01,C,C,C,B,B,B,A,A,C,3,3,4,4,4,68,"il m'est difficile d'évaluer l'efficacité de l'introduction et conclusion, car tout l'effet repose sur la gestuelle qui n'est pas retranscrite ici. Je ne peux ainsi que supposer l'effet, car ce n'est malheureusement pas mesurable en se basant uniquement sur le texte.",316,,
BOD07,C,C,B,B,B,B,A,C,C,4,4,4,4,4,73,,241,,
ALS03,B,B,A,B,A,B,B,B,B,2,3,3,3,3,52,,215,,
GRE03,B,B,B,A,A,B,B,B,B,2,3,3,3,3,55,,190,,
PES06,C,C,A,B,B,B,A,C,A,4,3,3,3,3,63,,307,,
OCM10,C,C,B,A,B,B,B,A,C,4,3,4,4,3,75,,281,,
LOR02,B,B,B,B,B,C,A,C,A,3,2,2,4,3,57,,392,,
UPL02,C,C,C,C,C,B,A,A,C,4,4,4,4,3,74,,310,,
NOR10,B,B,A,A,A,C,C,C,C,2,3,3,2,3,51,,229,,
BRE14,A,B,A,A,A,C,B,B,B,2,3,3,2,5,49,,236,,
LYO05,A,B,A,A,A,C,C,A,C,2,3,3,2,3,48,,296,,
GRE07,A,A,A,A,A,C,A,B,A,2,1,1,1,1,13,,222,,
POF03,B,B,A,C,C,C,A,C,B,2,2,2,3,2,37,,242,,
BFC09,C,C,C,B,B,B,A,C,C,4,4,4,4,4,76,,214,,
BFC10,A,B,B,B,B,B,C,B,C,2,2,2,3,3,53,,206,,
GRE01,B,C,B,B,B,B,B,C,C,4,3,4,4,4,76,,302,,
OCM08,A,B,A,C,C,C,C,A,B,2,2,2,2,1,20,,196,,
OCM08,A,B,A,C,C,C,C,A,B,2,2,2,2,1,20,,197,,
LYO01,B,B,A,B,A,B,A,A,C,4,3,3,4,3,57,j'imagine qu'en introduction l'orateur casse un sucre dans le noir pour faire la démonstration de son propos. Difficile à analyser par la simple transcription textuelle. ,346,,
BOD11,A,B,A,A,A,C,A,B,B,2,2,2,2,2,26,,212,,
