ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 2,gpt-4o-mini,0.54,498
SEN01,Note: 5,gpt-4o-mini,0.68,817
UCA11,Note: 4,gpt-4o-mini,0.45,879
UPS10,Note: 5,gpt-4o-mini,0.6,982
SPC08,Note: 4,gpt-4o-mini,0.48,789
LRE11,Note: 4,gpt-4o-mini,0.52,856
SOU15,Note: 4,gpt-4o-mini,1.79,931
UCA07,Note: 3,gpt-4o-mini,0.5,826
BRE16,Note: 5,gpt-4o-mini,0.63,937
SPC09,Note: 2,gpt-4o-mini,0.67,648
ALS08,Note: 5,gpt-4o-mini,0.64,973
PES08,Note: 5,gpt-4o-mini,0.63,813
PES08,Note: 5,gpt-4o-mini,0.47,813
LYO02,Note: 4,gpt-4o-mini,0.43,815
UCA05,Note: 4,gpt-4o-mini,0.47,828
CVL01,Note: 4,gpt-4o-mini,0.49,777
BOD07,Note: 5,gpt-4o-mini,0.67,878
ALS03,Note: 4,gpt-4o-mini,0.79,922
GRE03,Note: 4,gpt-4o-mini,0.68,724
PES06,Note: 4,gpt-4o-mini,0.52,810
OCM10,Note: 5,gpt-4o-mini,0.78,838
LOR02,Note: 5,gpt-4o-mini,0.69,830
UPL02,Note: 4,gpt-4o-mini,0.6,915
NOR10,Note: 5,gpt-4o-mini,0.71,730
BRE14,Note: 4,gpt-4o-mini,0.68,846
LYO05,Note: 4,gpt-4o-mini,0.51,948
GRE07,Note: 4,gpt-4o-mini,0.79,842
POF03,Note: 4,gpt-4o-mini,0.59,991
BFC09,Note: 4,gpt-4o-mini,0.52,798
BFC10,Note: 4,gpt-4o-mini,0.43,738
GRE01,Note: 5,gpt-4o-mini,0.84,804
OCM08,Note: 4,gpt-4o-mini,0.73,764
OCM08,Note: 4,gpt-4o-mini,0.67,764
LYO01,Note: 4,gpt-4o-mini,0.71,870
BOD11,Note: 4,gpt-4o-mini,0.76,748
LRE02,Note: 4,gpt-4o-mini,0.55,909
OCM07,Note: 5,gpt-4o-mini,0.77,916
SPC05,Note: 5,gpt-4o-mini,0.44,940
BOD04,Note: 4,gpt-4o-mini,0.57,807
POF05,Note: 4,gpt-4o-mini,0.68,835
SPC03,Note: 5,gpt-4o-mini,0.47,718
SOU01,Note: 4,gpt-4o-mini,0.62,962
OCM11,Note: 5,gpt-4o-mini,0.49,761
NOR04,Note: 4,gpt-4o-mini,0.61,731
SPC04,Note: 5,gpt-4o-mini,0.59,937
LDV05,Note: 4,gpt-4o-mini,0.48,963
ALS05,Note: 5,gpt-4o-mini,0.81,860
LYO10,Note: 4,gpt-4o-mini,0.8,932
LYO10,Note: 4,gpt-4o-mini,0.8,932
OCM14,Note: 4,gpt-4o-mini,0.49,861
SOU07,Note: 4,gpt-4o-mini,0.5,939
BRE04,Note: 4,gpt-4o-mini,0.59,931
HES06,Note: 5,gpt-4o-mini,0.7,720
UCA02,Note: 4,gpt-4o-mini,0.39,788
PES07,Note: 4,gpt-4o-mini,0.65,784
UCA14,Note: 4,gpt-4o-mini,0.55,981
CFE05,Note: 5,gpt-4o-mini,0.4,862
PES03,Note: 5,gpt-4o-mini,1.01,855
ALS04,Note: 5,gpt-4o-mini,0.6,980
SOU14,Note: 4,gpt-4o-mini,0.69,745
CVL03,Note: 5,gpt-4o-mini,0.66,817
NOR12,Note: 5,gpt-4o-mini,0.54,967
OCM18,Note: 5,gpt-4o-mini,0.49,883
BFC02,Note: 4,gpt-4o-mini,0.56,1000
CFE09,Note: 5,gpt-4o-mini,0.45,904
LDV08,Note: 4,gpt-4o-mini,0.47,814
SOU10,Note: 5,gpt-4o-mini,0.42,889
SOU09,Note: 4,gpt-4o-mini,0.57,686
ALS09,Note: 4,gpt-4o-mini,0.5,824
ALS11,Note: 5,gpt-4o-mini,0.47,980
GRE13,Note: 4,gpt-4o-mini,0.91,894
HES08,Note: 4,gpt-4o-mini,0.69,928
LDV09,Note: 4,gpt-4o-mini,0.9,769
LDV07,Note: 4,gpt-4o-mini,0.5,871
ALS10,Note: 5,gpt-4o-mini,0.5,943
OCM13,Note: 4,gpt-4o-mini,0.51,676
HES02,Note: 4,gpt-4o-mini,0.68,966
HES03,Note: 4,gpt-4o-mini,0.6,645
NOR05,Note: 4,gpt-4o-mini,0.7,846
LOR03,Note: 4,gpt-4o-mini,0.91,906
CVL02,Note: 5,gpt-4o-mini,0.8,933
UPS04,Note: 4,gpt-4o-mini,0.8,847
HES05,Note: 4,gpt-4o-mini,0.8,788
SEN02,Note: 4,gpt-4o-mini,0.52,922
BOD12,Note: 4,gpt-4o-mini,0.76,943
LYO11,Note: 4,gpt-4o-mini,0.91,897
BOD01,Note: 4,gpt-4o-mini,0.6,891
SOU13,Note: 4,gpt-4o-mini,0.6,920
CFE02,Note: 4,gpt-4o-mini,0.49,689
HES01,Note: 4,gpt-4o-mini,0.58,747
LOR08,Note: 4,gpt-4o-mini,0.5,826
LRE09,Note: 4,gpt-4o-mini,0.72,735
BFC06,Note: 5,gpt-4o-mini,1.69,876
