ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 2,gpt-4o-mini,0.9,2079
SEN01,Note: 4,gpt-4o-mini,0.61,2308
UCA11,Note: 4,gpt-4o-mini,0.52,2268
UPS10,Note: 4,gpt-4o-mini,0.64,2307
SPC08,Note: 4,gpt-4o-mini,0.96,2170
LRE11,Note: 4,gpt-4o-mini,0.67,2274
SOU15,Note: 4,gpt-4o-mini,0.55,2384
UCA07,Note: 2,gpt-4o-mini,0.68,2368
BRE16,Note: 4,gpt-4o-mini,0.78,2458
SPC09,Note: 2,gpt-4o-mini,0.63,2165
ALS08,Note: 4,gpt-4o-mini,0.57,2399
PES08,Note: 4,gpt-4o-mini,0.7,2181
LYO02,Note: 4,gpt-4o-mini,0.61,2322
UCA05,Note: 2,gpt-4o-mini,0.61,2243
CVL01,Note: 4,gpt-4o-mini,0.59,2203
BOD07,Note: 4,gpt-4o-mini,0.53,2296
ALS03,Note: 4,gpt-4o-mini,0.88,2264
GRE03,Note: 4,gpt-4o-mini,1.27,2202
PES06,Note: 4,gpt-4o-mini,0.64,2175
OCM10,Note: 4,gpt-4o-mini,0.59,2119
LOR02,Note: 4,gpt-4o-mini,0.39,2232
UPL02,Note: 4,gpt-4o-mini,0.6,2395
NOR10,Note: 4,gpt-4o-mini,0.6,2210
BRE14,Note: 3,gpt-4o-mini,0.7,2300
LYO05,Note: 3,gpt-4o-mini,0.81,2541
GRE07,Note: 3,gpt-4o-mini,0.6,2357
POF03,Note: 4,gpt-4o-mini,0.5,2379
BFC09,Note: 4,gpt-4o-mini,0.55,2276
BFC10,Note: 4,gpt-4o-mini,0.75,2216
GRE01,Note: 4,gpt-4o-mini,0.5,2325
OCM08,Note: 3,gpt-4o-mini,0.5,2112
LYO01,Note: 4,gpt-4o-mini,1.01,2547
BOD11,Note: 3,gpt-4o-mini,0.5,2271
LRE02,Note: 4,gpt-4o-mini,0.55,2181
OCM07,Note: 4,gpt-4o-mini,0.54,2400
SPC05,Note: 4,gpt-4o-mini,0.71,2474
BOD04,Note: 4,gpt-4o-mini,0.6,2250
POF05,Note: 4,gpt-4o-mini,0.5,2343
SPC03,Note: 4,gpt-4o-mini,0.6,2155
SOU01,Note: 4,gpt-4o-mini,1.01,2544
OCM11,Note: 4,gpt-4o-mini,0.6,2191
NOR04,Note: 4,gpt-4o-mini,0.5,2157
SPC04,Note: 4,gpt-4o-mini,0.59,2521
LDV05,Note: 4,gpt-4o-mini,0.91,2309
ALS05,Note: 4,gpt-4o-mini,0.47,2186
LYO10,Note: 4,gpt-4o-mini,0.72,2356
OCM14,Note: 4,gpt-4o-mini,0.42,2324
SOU07,Note: 4,gpt-4o-mini,0.49,2430
BRE04,Note: 4,gpt-4o-mini,0.79,2361
HES06,Note: 4,gpt-4o-mini,0.6,2241
UCA02,Note: 3,gpt-4o-mini,0.69,2369
PES07,Note: 4,gpt-4o-mini,0.49,2199
UCA14,Note: 2,gpt-4o-mini,0.7,2415
CFE05,Note: 4,gpt-4o-mini,0.44,2266
PES03,Note: 5,gpt-4o-mini,0.45,2207
ALS04,Note: 5,gpt-4o-mini,0.79,2599
SOU14,Note: 3,gpt-4o-mini,0.51,2219
CVL03,Note: 4,gpt-4o-mini,0.68,2308
NOR12,Note: 4,gpt-4o-mini,0.52,2375
OCM18,Note: 4,gpt-4o-mini,0.5,2283
BFC02,Note: 4,gpt-4o-mini,0.7,2527
CFE09,Note: 4,gpt-4o-mini,0.6,2425
LDV08,Note: 4,gpt-4o-mini,0.6,2182
SOU10,Note: 4,gpt-4o-mini,0.81,2324
SOU09,Note: 3,gpt-4o-mini,0.7,2080
ALS09,Note: 4,gpt-4o-mini,0.6,2366
ALS11,Note: 5,gpt-4o-mini,0.51,2289
GRE13,Note: 4,gpt-4o-mini,0.58,2203
HES08,Note: 4,gpt-4o-mini,0.57,2299
LDV09,Note: 4,gpt-4o-mini,0.63,2195
LDV07,Note: 3,gpt-4o-mini,0.48,2199
ALS10,Note: 4,gpt-4o-mini,0.71,2297
OCM13,Note: 4,gpt-4o-mini,0.39,1918
HES02,Note: 4,gpt-4o-mini,0.49,2375
HES03,Note: 3,gpt-4o-mini,0.7,2099
NOR05,Note: 3,gpt-4o-mini,0.5,2264
LOR03,Note: 3,gpt-4o-mini,0.8,2419
CVL02,Note: 4,gpt-4o-mini,0.47,2259
UPS04,Note: 3,gpt-4o-mini,0.47,2235
HES05,Note: 4,gpt-4o-mini,0.64,2322
SEN02,Note: 4,gpt-4o-mini,0.81,2487
BOD12,Note: 5,gpt-4o-mini,0.91,2610
LYO11,Note: 4,gpt-4o-mini,0.6,2259
BOD01,Note: 4,gpt-4o-mini,0.6,2302
SOU13,Note: 4,gpt-4o-mini,0.6,2374
CFE02,Note: 3,gpt-4o-mini,0.69,2004
HES01,Note: 3,gpt-4o-mini,0.71,2225
LOR08,Note: 3,gpt-4o-mini,0.8,2270
LRE09,Note: 4,gpt-4o-mini,0.7,2214
BFC06,Note: 4,gpt-4o-mini,0.59,2397
