ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: A,gpt-4o-mini,1.63,3258
SEN01,Note: C,gpt-4o-mini,0.7,3483
UCA11,Note: A,gpt-4o-mini,0.49,3737
UPS10,Note: C,gpt-4o-mini,0.9,4208
SPC08,Note: A,gpt-4o-mini,0.82,3475
LRE11,Note: C,gpt-4o-mini,0.8,3919
SOU15,Note: C,gpt-4o-mini,0.7,4042
UCA07,Note: A,gpt-4o-mini,1.22,3814
BRE16,Note: C,gpt-4o-mini,0.64,4157
SPC09,Note: A,gpt-4o-mini,2.48,3393
ALS08,Note: C,gpt-4o-mini,0.72,4265
PES08,Note: C,gpt-4o-mini,0.56,3625
LYO02,Note: C,gpt-4o-mini,0.61,3848
UCA05,Note: A,gpt-4o-mini,1.28,3412
CVL01,Note: A,gpt-4o-mini,1.44,3633
BOD07,Note: C,gpt-4o-mini,0.42,3852
ALS03,Note: C,gpt-4o-mini,1.4,3986
GRE03,Note: A,gpt-4o-mini,0.91,3593
PES06,Note: A,gpt-4o-mini,2.36,3968
OCM10,Note: C,gpt-4o-mini,0.52,3738
LOR02,Note: C,gpt-4o-mini,0.58,3589
UPL02,Note: A,gpt-4o-mini,1.96,3696
NOR10,Note: C,gpt-4o-mini,0.66,3533
BRE14,Note: C,gpt-4o-mini,0.7,3482
LYO05,Note: B,gpt-4o-mini,1.46,4105
GRE07,Note: B,gpt-4o-mini,0.73,3871
POF03,Note: A,gpt-4o-mini,0.74,3992
BFC09,Note: A,gpt-4o-mini,0.77,3645
BFC10,Note: C,gpt-4o-mini,0.8,3320
GRE01,Note: A,gpt-4o-mini,2.22,3591
OCM08,Note: A,gpt-4o-mini,0.56,3756
LYO01,Note: A,gpt-4o-mini,1.66,3782
BOD11,Note: C,gpt-4o-mini,1.92,3502
LRE02,Note: C,gpt-4o-mini,0.79,4104
OCM07,Note: C,gpt-4o-mini,0.64,3728
SPC05,Note: C,gpt-4o-mini,1.29,4021
BOD04,Note: C,gpt-4o-mini,1.89,3672
POF05,Note: A,gpt-4o-mini,0.73,3506
SPC03,Note: A,gpt-4o-mini,0.97,3712
SOU01,Note: C,gpt-4o-mini,0.61,3857
OCM11,Note: C,gpt-4o-mini,0.63,3654
NOR04,Note: A,gpt-4o-mini,1.55,3232
SPC04,Note: C,gpt-4o-mini,1.35,4104
LDV05,Note: C,gpt-4o-mini,0.7,3914
ALS05,Note: A,gpt-4o-mini,1.52,3867
LYO10,Note: A,gpt-4o-mini,2.03,4188
OCM14,Note: A,gpt-4o-mini,1.32,3718
SOU07,Note: A,gpt-4o-mini,0.8,3996
BRE04,Note: A,gpt-4o-mini,0.59,3956
HES06,Note: A,gpt-4o-mini,1.04,3660
UCA02,Note: C,gpt-4o-mini,1.77,3555
PES07,Note: A,gpt-4o-mini,0.59,3251
UCA14,Note: B,gpt-4o-mini,1.41,3666
CFE05,Note: C,gpt-4o-mini,0.51,3565
PES03,Note: A,gpt-4o-mini,0.58,3914
ALS04,Note: A,gpt-4o-mini,1.69,4096
SOU14,Note: A,gpt-4o-mini,0.64,3343
CVL03,Note: A,gpt-4o-mini,2.48,3814
NOR12,Note: A,gpt-4o-mini,0.88,3902
OCM18,Note: C,gpt-4o-mini,0.6,3738
BFC02,Note: A,gpt-4o-mini,0.55,4084
CFE09,Note: C,gpt-4o-mini,2.2,3770
LDV08,Note: B,gpt-4o-mini,0.75,3760
SOU10,Note: A,gpt-4o-mini,0.56,4086
SOU09,Note: A,gpt-4o-mini,1.28,3558
ALS09,Note: C,gpt-4o-mini,1.24,3786
ALS11,Note: C,gpt-4o-mini,0.82,4019
GRE13,Note: C,gpt-4o-mini,1.21,3880
HES08,Note: A,gpt-4o-mini,2.14,3992
LDV09,Note: B,gpt-4o-mini,0.53,3767
LDV07,Note: B,gpt-4o-mini,0.85,3848
ALS10,Note: A,gpt-4o-mini,1.32,4046
OCM13,Note: A,gpt-4o-mini,0.9,3351
HES02,Note: C,gpt-4o-mini,1.92,4129
HES03,Note: A,gpt-4o-mini,0.69,3347
NOR05,Note: B,gpt-4o-mini,0.59,3721
LOR03,Note: C,gpt-4o-mini,0.62,3828
CVL02,Note: A,gpt-4o-mini,2.74,4053
UPS04,Note: A,gpt-4o-mini,0.72,3743
HES05,Note: A,gpt-4o-mini,0.58,3678
SEN02,Note: C,gpt-4o-mini,2.14,4210
BOD12,Note: C,gpt-4o-mini,0.69,3998
LYO11,Note: C,gpt-4o-mini,2.11,3891
BOD01,Note: C,gpt-4o-mini,0.74,3786
SOU13,Note: A,gpt-4o-mini,1.3,4128
CFE02,Note: C,gpt-4o-mini,0.71,3392
HES01,Note: C,gpt-4o-mini,0.9,3411
LOR08,Note: A,gpt-4o-mini,0.6,3805
LRE09,Note: C,gpt-4o-mini,1.61,3556
BFC06,Note: A,gpt-4o-mini,0.9,3669
