ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 2,gpt-4o,0.69,479
SEN01,Note: 4,gpt-4o,1.7,798
UCA11,Note: 4,gpt-4o,1.55,860
UPS10,Note: 5,gpt-4o,1.93,963
SPC08,Note: 4,gpt-4o,1.63,770
LRE11,Note: 5,gpt-4o,1.62,837
SOU15,Note: 5,gpt-4o,1.72,912
UCA07,Note: 2,gpt-4o,1.73,807
BRE16,Note: 5,gpt-4o,1.83,918
SPC09,Note: 3,gpt-4o,1.22,629
ALS08,Note: 5,gpt-4o,1.93,954
PES08,Note: 3,gpt-4o,1.52,794
LYO02,Note: 4,gpt-4o,1.83,796
UCA05,Note: 3,gpt-4o,1.52,809
CVL01,Note: 4,gpt-4o,1.21,758
BOD07,Note: 4,gpt-4o,1.73,859
ALS03,Note: 5,gpt-4o,2.03,903
GRE03,Note: 4,gpt-4o,1.42,705
PES06,Note: 4,gpt-4o,1.42,791
OCM10,Note: 4,gpt-4o,1.41,819
LOR02,Note: 4,gpt-4o,1.64,811
UPL02,Note: 4,gpt-4o,2.24,896
NOR10,Note: 4,gpt-4o,1.22,711
BRE14,Note: 4,gpt-4o,1.73,827
LYO05,Note: 4,gpt-4o,1.73,929
GRE07,Note: 3,gpt-4o,1.52,823
POF03,Note: 5,gpt-4o,1.73,972
BFC09,Note: 4,gpt-4o,1.93,779
BFC10,Note: 4,gpt-4o,1.42,719
GRE01,Note: 5,gpt-4o,1.42,785
OCM08,Note: 3,gpt-4o,1.52,745
LYO01,Note: 5,gpt-4o,1.46,851
BOD11,Note: 4,gpt-4o,1.48,729
LRE02,Note: 4,gpt-4o,1.83,890
OCM07,Note: 4,gpt-4o,2.08,897
SPC05,Note: 4,gpt-4o,1.42,921
BOD04,Note: 4,gpt-4o,1.69,788
POF05,Note: 5,gpt-4o,1.53,816
SPC03,Note: 4,gpt-4o,2.74,699
SOU01,Note: 4,gpt-4o,0.6,943
OCM11,Note: 3,gpt-4o,1.43,742
NOR04,Note: 5,gpt-4o,1.55,712
SPC04,Note: 4,gpt-4o,2.01,918
LDV05,Note: 5,gpt-4o,1.9,944
ALS05,Note: 5,gpt-4o,2.38,841
LYO10,Note: 5,gpt-4o,1.01,913
OCM14,Note: 4,gpt-4o,1.63,842
SOU07,Note: 4,gpt-4o,1.62,920
BRE04,Note: 4,gpt-4o,1.63,912
HES06,Note: 4,gpt-4o,1.65,701
UCA02,Note: 3,gpt-4o,1.7,769
PES07,Note: 4,gpt-4o,1.42,765
UCA14,Note: 2,gpt-4o,2.14,962
CFE05,Note: 5,gpt-4o,1.31,843
PES03,Note: 5,gpt-4o,2.24,836
ALS04,Note: 5,gpt-4o,1.49,961
SOU14,Note: 4,gpt-4o,1.35,726
CVL03,Note: 4,gpt-4o,2.14,798
NOR12,Note: 5,gpt-4o,0.4,948
OCM18,Note: 5,gpt-4o,2.25,864
BFC02,Note: 4,gpt-4o,2.54,981
CFE09,Note: 5,gpt-4o,1.55,885
LDV08,Note: 5,gpt-4o,1.7,795
SOU10,Note: 5,gpt-4o,1.73,870
SOU09,Note: 4,gpt-4o,1.19,667
ALS09,Note: 5,gpt-4o,1.56,805
ALS11,Note: 5,gpt-4o,2.04,961
GRE13,Note: 4,gpt-4o,1.82,875
HES08,Note: 4,gpt-4o,1.61,909
LDV09,Note: 4,gpt-4o,1.94,750
LDV07,Note: 3,gpt-4o,1.42,852
ALS10,Note: 5,gpt-4o,1.64,924
OCM13,Note: 5,gpt-4o,1.52,657
HES02,Note: 4,gpt-4o,1.62,947
HES03,Note: 4,gpt-4o,1.11,626
NOR05,Note: 4,gpt-4o,1.83,827
LOR03,Note: 4,gpt-4o,2.14,887
CVL02,Note: 4,gpt-4o,1.73,914
UPS04,Note: 4,gpt-4o,1.62,828
HES05,Note: 5,gpt-4o,1.32,769
SEN02,Note: 4,gpt-4o,1.63,903
BOD12,Note: 5,gpt-4o,2.23,924
LYO11,Note: 4,gpt-4o,1.52,878
BOD01,Note: 4,gpt-4o,1.73,872
SOU13,Note: 4,gpt-4o,1.72,901
CFE02,Note: 4,gpt-4o,1.62,670
HES01,Note: 3,gpt-4o,0.7,728
LOR08,Note: 4,gpt-4o,2.24,807
LRE09,Note: 4,gpt-4o,1.22,716
BFC06,Note: 5,gpt-4o,1.83,857
