ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: A,gpt-4o,0.8,525
SEN01,Note: C,gpt-4o,1.11,844
UCA11,Note: C,gpt-4o,1.9,906
UPS10,Note: C,gpt-4o,2.07,1009
SPC08,Note: C,gpt-4o,1.32,816
LRE11,Note: C,gpt-4o,1.52,883
SOU15,Note: C,gpt-4o,1.84,958
UCA07,Note: A,gpt-4o,2.04,853
BRE16,Note: C,gpt-4o,1.8,964
SPC09,Note: B,gpt-4o,1.45,675
ALS08,Note: C,gpt-4o,0.81,1000
PES08,Note: C,gpt-4o,1.21,840
LYO02,Note: B,gpt-4o,1.83,842
UCA05,Note: B,gpt-4o,3.27,855
CVL01,Note: C,gpt-4o,1.63,804
BOD07,Note: C,gpt-4o,1.42,905
ALS03,Note: C,gpt-4o,2.03,949
GRE03,Note: C,gpt-4o,1.63,751
PES06,Note: C,gpt-4o,2.24,837
OCM10,Note: C,gpt-4o,1.01,865
LOR02,Note: C,gpt-4o,1.62,857
UPL02,Note: C,gpt-4o,2.04,942
NOR10,Note: B,gpt-4o,1.32,757
BRE14,Note: C,gpt-4o,1.83,873
LYO05,Note: B,gpt-4o,2.04,975
GRE07,Note: B,gpt-4o,1.42,869
POF03,Note: C,gpt-4o,2.14,1018
BFC09,Note: C,gpt-4o,2.04,825
BFC10,Note: C,gpt-4o,1.11,765
GRE01,Note: C,gpt-4o,2.03,831
OCM08,Note: B,gpt-4o,1.33,791
LYO01,Note: C,gpt-4o,1.83,897
BOD11,Note: B,gpt-4o,1.62,775
LRE02,Note: C,gpt-4o,3.16,936
OCM07,Note: C,gpt-4o,0.7,943
SPC05,Note: C,gpt-4o,3.0,967
BOD04,Note: B,gpt-4o,0.54,834
POF05,Note: C,gpt-4o,1.39,862
SPC03,Note: C,gpt-4o,2.65,745
SOU01,Note: C,gpt-4o,0.65,989
OCM11,Note: C,gpt-4o,1.71,788
NOR04,Note: C,gpt-4o,1.55,758
SPC04,Note: C,gpt-4o,2.45,964
LDV05,Note: C,gpt-4o,1.42,990
ALS05,Note: C,gpt-4o,2.24,887
LYO10,Note: C,gpt-4o,1.63,959
OCM14,Note: B,gpt-4o,1.73,888
SOU07,Note: C,gpt-4o,1.93,966
BRE04,Note: C,gpt-4o,1.63,958
HES06,Note: B,gpt-4o,1.73,747
UCA02,Note: B,gpt-4o,2.24,815
PES07,Note: C,gpt-4o,0.81,811
UCA14,Note: A,gpt-4o,2.04,1008
CFE05,Note: C,gpt-4o,1.62,889
PES03,Note: C,gpt-4o,2.55,882
ALS04,Note: C,gpt-4o,1.52,1007
SOU14,Note: B,gpt-4o,1.42,772
CVL03,Note: C,gpt-4o,1.62,844
NOR12,Note: C,gpt-4o,2.24,994
OCM18,Note: C,gpt-4o,1.42,910
BFC02,Note: C,gpt-4o,2.44,1027
CFE09,Note: C,gpt-4o,1.52,931
LDV08,Note: C,gpt-4o,2.03,841
SOU10,Note: C,gpt-4o,1.42,916
SOU09,Note: B,gpt-4o,1.52,713
ALS09,Note: C,gpt-4o,1.73,851
ALS11,Note: C,gpt-4o,1.93,1007
GRE13,Note: C,gpt-4o,1.93,921
HES08,Note: C,gpt-4o,1.85,955
LDV09,Note: C,gpt-4o,1.41,796
LDV07,Note: C,gpt-4o,1.93,898
ALS10,Note: C,gpt-4o,1.72,970
OCM13,Note: B,gpt-4o,2.25,703
HES02,Note: C,gpt-4o,1.11,993
HES03,Note: C,gpt-4o,1.42,672
NOR05,Note: C,gpt-4o,1.62,873
LOR03,Note: C,gpt-4o,2.09,933
CVL02,Note: C,gpt-4o,2.49,960
UPS04,Note: C,gpt-4o,1.18,874
HES05,Note: C,gpt-4o,1.45,815
SEN02,Note: C,gpt-4o,1.83,949
BOD12,Note: C,gpt-4o,2.44,970
LYO11,Note: C,gpt-4o,1.63,924
BOD01,Note: C,gpt-4o,1.52,918
SOU13,Note: B,gpt-4o,2.65,947
CFE02,Note: B,gpt-4o,0.5,716
HES01,Note: B,gpt-4o,1.63,774
LOR08,Note: B,gpt-4o,1.83,853
LRE09,Note: C,gpt-4o,1.62,762
BFC06,Note: C,gpt-4o,2.55,903
