ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: A,gpt-4o,1.33,477
SEN01,Note: C,gpt-4o,0.91,796
UCA11,Note: C,gpt-4o,0.91,858
UPS10,Note: C,gpt-4o,0.69,961
SPC08,Note: C,gpt-4o,0.5,768
LRE11,Note: C,gpt-4o,1.23,835
SOU15,Note: C,gpt-4o,0.6,910
UCA07,Note: C,gpt-4o,1.26,805
BRE16,Note: C,gpt-4o,0.58,916
SPC09,Note: B,gpt-4o,1.62,627
ALS08,Note: C,gpt-4o,1.06,952
PES08,Note: C,gpt-4o,0.73,792
LYO02,Note: C,gpt-4o,0.7,794
UCA05,Note: C,gpt-4o,0.87,807
CVL01,Note: C,gpt-4o,0.65,756
BOD07,Note: C,gpt-4o,0.6,857
ALS03,Note: C,gpt-4o,0.53,901
GRE03,Note: C,gpt-4o,1.23,703
PES06,Note: C,gpt-4o,0.72,789
OCM10,Note: C,gpt-4o,0.79,817
LOR02,Note: C,gpt-4o,0.53,809
UPL02,Note: C,gpt-4o,0.8,894
NOR10,Note: C,gpt-4o,0.78,709
BRE14,Note: C,gpt-4o,0.81,825
LYO05,Note: C,gpt-4o,0.6,927
GRE07,Note: C,gpt-4o,1.38,821
POF03,Note: C,gpt-4o,0.74,970
BFC09,Note: C,gpt-4o,0.7,777
BFC10,Note: C,gpt-4o,0.61,717
GRE01,Note: C,gpt-4o,0.4,783
OCM08,Note: B,gpt-4o,0.8,743
LYO01,Note: C,gpt-4o,0.72,849
BOD11,Note: C,gpt-4o,0.7,727
LRE02,Note: C,gpt-4o,0.7,888
OCM07,Note: C,gpt-4o,0.81,895
SPC05,Note: C,gpt-4o,0.7,919
BOD04,Note: C,gpt-4o,0.7,786
POF05,Note: C,gpt-4o,0.5,814
SPC03,Note: C,gpt-4o,0.81,697
SOU01,Note: C,gpt-4o,0.81,941
OCM11,Note: C,gpt-4o,0.6,740
NOR04,Note: C,gpt-4o,0.7,710
SPC04,Note: C,gpt-4o,1.16,916
LDV05,Note: C,gpt-4o,0.65,942
ALS05,Note: C,gpt-4o,0.7,839
LYO10,Note: C,gpt-4o,0.69,911
OCM14,Note: C,gpt-4o,0.71,840
SOU07,Note: C,gpt-4o,0.81,918
BRE04,Note: C,gpt-4o,0.81,910
HES06,Note: C,gpt-4o,0.71,699
UCA02,Note: B,gpt-4o,0.7,767
PES07,Note: C,gpt-4o,0.6,763
UCA14,Note: C,gpt-4o,0.6,960
CFE05,Note: C,gpt-4o,0.6,841
PES03,Note: C,gpt-4o,0.7,834
ALS04,Note: C,gpt-4o,0.7,959
SOU14,Note: C,gpt-4o,0.81,724
CVL03,Note: C,gpt-4o,0.46,796
NOR12,Note: C,gpt-4o,0.53,946
OCM18,Note: C,gpt-4o,0.6,862
BFC02,Note: C,gpt-4o,0.7,979
CFE09,Note: C,gpt-4o,0.7,883
LDV08,Note: C,gpt-4o,0.7,793
SOU10,Note: C,gpt-4o,0.51,868
SOU09,Note: C,gpt-4o,0.6,665
ALS09,Note: C,gpt-4o,0.81,803
ALS11,Note: C,gpt-4o,1.94,959
GRE13,Note: C,gpt-4o,1.83,873
HES08,Note: C,gpt-4o,1.63,907
LDV09,Note: C,gpt-4o,1.42,748
LDV07,Note: C,gpt-4o,2.14,850
ALS10,Note: C,gpt-4o,1.52,922
OCM13,Note: C,gpt-4o,1.11,655
HES02,Note: C,gpt-4o,1.93,945
HES03,Note: C,gpt-4o,1.11,624
NOR05,Note: C,gpt-4o,1.98,825
LOR03,Note: C,gpt-4o,1.58,885
CVL02,Note: C,gpt-4o,1.93,912
UPS04,Note: C,gpt-4o,1.83,826
HES05,Note: C,gpt-4o,1.12,767
SEN02,Note: C,gpt-4o,2.03,901
BOD12,Note: C,gpt-4o,1.83,922
LYO11,Note: C,gpt-4o,1.52,876
BOD01,Note: C,gpt-4o,1.73,870
SOU13,Note: C,gpt-4o,2.16,899
CFE02,Note: C,gpt-4o,0.99,668
HES01,Note: C,gpt-4o,1.52,726
LOR08,Note: C,gpt-4o,1.52,805
LRE09,Note: C,gpt-4o,1.51,714
BFC06,Note: C,gpt-4o,2.66,855
