ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 2,gpt-4o-mini,0.53,473
SEN01,Note: 4,gpt-4o-mini,0.56,792
UCA11,Note: 4,gpt-4o-mini,0.49,854
UPS10,Note: 4,gpt-4o-mini,0.56,957
SPC08,Note: 4,gpt-4o-mini,0.41,764
LRE11,Note: 4,gpt-4o-mini,0.58,831
SOU15,Note: 4,gpt-4o-mini,0.73,906
UCA07,Note: 2,gpt-4o-mini,0.64,801
BRE16,Note: 5,gpt-4o-mini,0.59,912
SPC09,Note: 3,gpt-4o-mini,0.67,623
ALS08,Note: 5,gpt-4o-mini,0.7,948
PES08,Note: 4,gpt-4o-mini,0.5,788
PES08,Note: 4,gpt-4o-mini,0.42,788
LYO02,Note: 4,gpt-4o-mini,0.44,790
UCA05,Note: 3,gpt-4o-mini,0.49,803
CVL01,Note: 4,gpt-4o-mini,0.48,752
BOD07,Note: 4,gpt-4o-mini,0.64,853
ALS03,Note: 4,gpt-4o-mini,0.65,897
GRE03,Note: 4,gpt-4o-mini,0.7,699
PES06,Note: 4,gpt-4o-mini,0.49,785
OCM10,Note: 4,gpt-4o-mini,0.59,813
LOR02,Note: 5,gpt-4o-mini,0.84,805
UPL02,Note: 4,gpt-4o-mini,0.83,890
NOR10,Note: 4,gpt-4o-mini,0.66,705
BRE14,Note: 4,gpt-4o-mini,0.67,821
LYO05,Note: 4,gpt-4o-mini,1.23,923
GRE07,Note: 3,gpt-4o-mini,1.62,817
POF03,Note: 4,gpt-4o-mini,0.49,966
BFC09,Note: 4,gpt-4o-mini,0.49,773
BFC10,Note: 4,gpt-4o-mini,0.43,713
GRE01,Note: 4,gpt-4o-mini,3.1,779
OCM08,Note: 3,gpt-4o-mini,0.79,739
OCM08,Note: 3,gpt-4o-mini,0.69,739
LYO01,Note: 4,gpt-4o-mini,0.5,845
BOD11,Note: 4,gpt-4o-mini,0.89,723
LRE02,Note: 4,gpt-4o-mini,0.59,884
OCM07,Note: 4,gpt-4o-mini,0.79,891
SPC05,Note: 4,gpt-4o-mini,0.41,915
BOD04,Note: 4,gpt-4o-mini,0.36,782
POF05,Note: 4,gpt-4o-mini,0.5,810
SPC03,Note: 4,gpt-4o-mini,0.44,693
SOU01,Note: 4,gpt-4o-mini,0.52,937
OCM11,Note: 4,gpt-4o-mini,0.51,736
NOR04,Note: 4,gpt-4o-mini,0.68,706
SPC04,Note: 4,gpt-4o-mini,0.59,912
LDV05,Note: 4,gpt-4o-mini,0.49,938
ALS05,Note: 4,gpt-4o-mini,0.69,835
LYO10,Note: 4,gpt-4o-mini,0.49,907
LYO10,Note: 4,gpt-4o-mini,0.43,907
OCM14,Note: 3,gpt-4o-mini,0.45,836
SOU07,Note: 4,gpt-4o-mini,0.48,914
BRE04,Note: 4,gpt-4o-mini,0.49,906
HES06,Note: 4,gpt-4o-mini,0.68,695
UCA02,Note: 3,gpt-4o-mini,0.48,763
PES07,Note: 4,gpt-4o-mini,0.53,759
UCA14,Note: 3,gpt-4o-mini,0.42,956
CFE05,Note: 5,gpt-4o-mini,0.59,837
PES03,Note: 4,gpt-4o-mini,0.9,830
ALS04,Note: 5,gpt-4o-mini,0.7,955
SOU14,Note: 4,gpt-4o-mini,0.7,720
CVL03,Note: 5,gpt-4o-mini,0.8,792
NOR12,Note: 4,gpt-4o-mini,0.67,942
OCM18,Note: 4,gpt-4o-mini,0.62,858
BFC02,Note: 4,gpt-4o-mini,0.49,975
CFE09,Note: 5,gpt-4o-mini,0.71,879
LDV08,Note: 5,gpt-4o-mini,0.91,789
SOU10,Note: 4,gpt-4o-mini,3.33,864
SOU09,Note: 4,gpt-4o-mini,0.6,661
ALS09,Note: 4,gpt-4o-mini,0.49,799
ALS11,Note: 5,gpt-4o-mini,0.49,955
GRE13,Note: 4,gpt-4o-mini,0.82,869
HES08,Note: 4,gpt-4o-mini,0.58,903
LDV09,Note: 4,gpt-4o-mini,0.9,744
LDV07,Note: 4,gpt-4o-mini,0.79,846
ALS10,Note: 5,gpt-4o-mini,0.49,918
OCM13,Note: 4,gpt-4o-mini,0.55,651
HES02,Note: 4,gpt-4o-mini,0.64,941
HES03,Note: 4,gpt-4o-mini,0.59,620
NOR05,Note: 4,gpt-4o-mini,0.8,821
LOR03,Note: 4,gpt-4o-mini,0.91,881
CVL02,Note: 4,gpt-4o-mini,0.7,908
UPS04,Note: 4,gpt-4o-mini,0.51,822
HES05,Note: 4,gpt-4o-mini,0.79,763
SEN02,Note: 4,gpt-4o-mini,0.8,897
BOD12,Note: 4,gpt-4o-mini,0.8,918
LYO11,Note: 4,gpt-4o-mini,0.91,872
BOD01,Note: 4,gpt-4o-mini,0.64,866
SOU13,Note: 4,gpt-4o-mini,0.56,895
CFE02,Note: 4,gpt-4o-mini,0.59,664
HES01,Note: 3,gpt-4o-mini,0.49,722
LOR08,Note: 4,gpt-4o-mini,0.5,801
LRE09,Note: 4,gpt-4o-mini,0.8,710
BFC06,Note: 4,gpt-4o-mini,0.6,851
