ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: B,gpt-4o-mini,0.59,503
SEN01,Note: C,gpt-4o-mini,0.69,822
UCA11,Note: A,gpt-4o-mini,0.49,884
UPS10,Note: C,gpt-4o-mini,1.83,987
SPC08,Note: C,gpt-4o-mini,0.5,794
LRE11,Note: C,gpt-4o-mini,0.6,861
SOU15,Note: C,gpt-4o-mini,0.7,936
UCA07,Note: C,gpt-4o-mini,0.7,831
BRE16,Note: C,gpt-4o-mini,0.61,942
SPC09,Note: C,gpt-4o-mini,0.71,653
ALS08,Note: C,gpt-4o-mini,0.67,978
PES08,Note: C,gpt-4o-mini,0.5,818
PES08,Note: C,gpt-4o-mini,0.5,818
LYO02,Note: C,gpt-4o-mini,0.49,820
UCA05,Note: C,gpt-4o-mini,0.6,833
CVL01,Note: C,gpt-4o-mini,0.5,782
BOD07,Note: C,gpt-4o-mini,0.61,883
ALS03,Note: C,gpt-4o-mini,0.47,927
GRE03,Note: C,gpt-4o-mini,0.81,729
PES06,Note: C,gpt-4o-mini,0.6,815
OCM10,Note: C,gpt-4o-mini,0.6,843
LOR02,Note: C,gpt-4o-mini,0.7,835
UPL02,Note: C,gpt-4o-mini,0.6,920
NOR10,Note: C,gpt-4o-mini,0.67,735
BRE14,Note: C,gpt-4o-mini,0.63,851
LYO05,Note: C,gpt-4o-mini,0.48,953
GRE07,Note: C,gpt-4o-mini,0.71,847
POF03,Note: C,gpt-4o-mini,0.41,996
BFC09,Note: C,gpt-4o-mini,0.47,803
BFC10,Note: C,gpt-4o-mini,0.6,743
GRE01,Note: C,gpt-4o-mini,0.7,809
OCM08,Note: B,gpt-4o-mini,0.8,769
OCM08,Note: B,gpt-4o-mini,0.79,769
LYO01,Note: C,gpt-4o-mini,0.7,875
BOD11,Note: C,gpt-4o-mini,0.8,753
LRE02,Note: C,gpt-4o-mini,0.5,914
OCM07,Note: C,gpt-4o-mini,0.7,921
SPC05,Note: C,gpt-4o-mini,0.6,945
BOD04,Note: C,gpt-4o-mini,0.52,812
POF05,Note: A,gpt-4o-mini,0.58,840
SPC03,Note: A,gpt-4o-mini,0.46,723
SOU01,Note: C,gpt-4o-mini,0.63,967
OCM11,Note: C,gpt-4o-mini,0.5,766
NOR04,Note: C,gpt-4o-mini,0.6,736
SPC04,Note: C,gpt-4o-mini,0.51,942
LDV05,Note: C,gpt-4o-mini,0.57,968
ALS05,Note: B,gpt-4o-mini,0.6,865
LYO10,Note: C,gpt-4o-mini,0.56,937
LYO10,Note: C,gpt-4o-mini,0.54,937
OCM14,Note: A,gpt-4o-mini,0.44,866
SOU07,Note: C,gpt-4o-mini,0.75,944
BRE04,Note: C,gpt-4o-mini,0.43,936
HES06,Note: A,gpt-4o-mini,0.61,725
UCA02,Note: C,gpt-4o-mini,0.45,793
PES07,Note: C,gpt-4o-mini,0.63,789
UCA14,Note: C,gpt-4o-mini,0.44,986
CFE05,Note: C,gpt-4o-mini,0.42,867
PES03,Note: C,gpt-4o-mini,1.06,860
ALS04,Note: C,gpt-4o-mini,0.55,985
SOU14,Note: C,gpt-4o-mini,0.78,750
CVL03,Note: A,gpt-4o-mini,0.71,822
NOR12,Note: C,gpt-4o-mini,0.5,972
OCM18,Note: C,gpt-4o-mini,0.55,888
BFC02,Note: A,gpt-4o-mini,0.44,1005
CFE09,Note: C,gpt-4o-mini,0.52,909
LDV08,Note: C,gpt-4o-mini,0.43,819
SOU10,Note: C,gpt-4o-mini,0.63,894
SOU09,Note: C,gpt-4o-mini,0.5,691
ALS09,Note: C,gpt-4o-mini,0.49,829
ALS11,Note: C,gpt-4o-mini,0.85,985
GRE13,Note: C,gpt-4o-mini,0.86,899
HES08,Note: A,gpt-4o-mini,0.67,933
LDV09,Note: C,gpt-4o-mini,0.91,774
LDV07,Note: C,gpt-4o-mini,0.68,876
ALS10,Note: C,gpt-4o-mini,4.08,948
OCM13,Note: A,gpt-4o-mini,0.5,681
HES02,Note: C,gpt-4o-mini,0.64,971
HES03,Note: C,gpt-4o-mini,0.67,650
NOR05,Note: C,gpt-4o-mini,0.66,851
LOR03,Note: C,gpt-4o-mini,1.23,911
CVL02,Note: B,gpt-4o-mini,0.66,938
UPS04,Note: C,gpt-4o-mini,0.75,852
HES05,Note: A,gpt-4o-mini,0.67,793
SEN02,Note: C,gpt-4o-mini,0.92,927
BOD12,Note: C,gpt-4o-mini,0.79,948
LYO11,Note: C,gpt-4o-mini,1.04,902
BOD01,Note: C,gpt-4o-mini,0.76,896
SOU13,Note: C,gpt-4o-mini,3.45,925
CFE02,Note: C,gpt-4o-mini,0.5,694
HES01,Note: C,gpt-4o-mini,0.49,752
LOR08,Note: B,gpt-4o-mini,0.47,831
LRE09,Note: C,gpt-4o-mini,0.72,740
BFC06,Note: C,gpt-4o-mini,0.55,881
