ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 2,gpt-4o-mini,0.61,1904
SEN01,Note: 4,gpt-4o-mini,0.57,2228
UCA11,Note: 4,gpt-4o-mini,0.65,2220
UPS10,Note: 4,gpt-4o-mini,0.59,2438
SPC08,Note: 4,gpt-4o-mini,1.21,2228
LRE11,Note: 4,gpt-4o-mini,0.6,2390
SOU15,Note: 4,gpt-4o-mini,1.21,2291
UCA07,Note: 2,gpt-4o-mini,0.62,2242
BRE16,Note: 4,gpt-4o-mini,1.18,2545
SPC09,Note: 3,gpt-4o-mini,0.4,2086
ALS08,Note: 4,gpt-4o-mini,1.01,2623
PES08,Note: 4,gpt-4o-mini,0.9,2272
LYO02,Note: 4,gpt-4o-mini,0.6,2418
UCA05,Note: 4,gpt-4o-mini,0.7,2139
CVL01,Note: 4,gpt-4o-mini,0.81,2311
BOD07,Note: 4,gpt-4o-mini,0.7,2512
ALS03,Note: 4,gpt-4o-mini,0.6,2436
GRE03,Note: 4,gpt-4o-mini,0.6,2167
PES06,Note: 4,gpt-4o-mini,0.49,2132
OCM10,Note: 4,gpt-4o-mini,0.5,2372
LOR02,Note: 4,gpt-4o-mini,0.6,2389
UPL02,Note: 4,gpt-4o-mini,0.81,2409
NOR10,Note: 4,gpt-4o-mini,0.65,2239
BRE14,Note: 3,gpt-4o-mini,0.76,2500
LYO05,Note: 4,gpt-4o-mini,0.6,2480
GRE07,Note: 3,gpt-4o-mini,0.57,2250
POF03,Note: 4,gpt-4o-mini,0.51,2585
BFC09,Note: 4,gpt-4o-mini,0.82,2408
BFC10,Note: 4,gpt-4o-mini,0.5,2326
GRE01,Note: 4,gpt-4o-mini,0.7,2205
OCM08,Note: 3,gpt-4o-mini,0.6,2204
LYO01,Note: 4,gpt-4o-mini,0.6,2386
BOD11,Note: 3,gpt-4o-mini,0.6,2300
LRE02,Note: 4,gpt-4o-mini,0.5,2508
OCM07,Note: 4,gpt-4o-mini,0.49,2450
SPC05,Note: 4,gpt-4o-mini,1.93,2525
BOD04,Note: 4,gpt-4o-mini,0.5,2401
POF05,Note: 4,gpt-4o-mini,0.59,2236
SPC03,Note: 4,gpt-4o-mini,1.15,2192
SOU01,Note: 4,gpt-4o-mini,1.07,2516
OCM11,Note: 5,gpt-4o-mini,0.81,2148
NOR04,Note: 4,gpt-4o-mini,0.52,2053
SPC04,Note: 4,gpt-4o-mini,0.98,2218
LDV05,Note: 4,gpt-4o-mini,0.6,2613
ALS05,Note: 4,gpt-4o-mini,1.33,2334
LYO10,Note: 4,gpt-4o-mini,0.59,2491
OCM14,Note: 4,gpt-4o-mini,0.66,2364
SOU07,Note: 4,gpt-4o-mini,0.43,2473
BRE04,Note: 4,gpt-4o-mini,0.69,2483
HES06,Note: 4,gpt-4o-mini,0.59,2308
UCA02,Note: 4,gpt-4o-mini,0.6,2147
PES07,Note: 4,gpt-4o-mini,0.56,2434
UCA14,Note: 2,gpt-4o-mini,0.75,2373
CFE05,Note: 5,gpt-4o-mini,2.03,2394
PES03,Note: 4,gpt-4o-mini,0.53,2256
ALS04,Note: 4,gpt-4o-mini,0.57,2261
SOU14,Note: 3,gpt-4o-mini,0.7,2261
CVL03,Note: 4,gpt-4o-mini,0.6,2471
NOR12,Note: 4,gpt-4o-mini,0.61,2410
OCM18,Note: 4,gpt-4o-mini,0.79,2282
BFC02,Note: 4,gpt-4o-mini,0.6,2491
CFE09,Note: 4,gpt-4o-mini,0.42,2331
LDV08,Note: 4,gpt-4o-mini,0.47,2333
SOU10,Note: 4,gpt-4o-mini,1.39,2408
SOU09,Note: 4,gpt-4o-mini,0.49,2238
ALS09,Note: 4,gpt-4o-mini,0.73,2315
ALS11,Note: 4,gpt-4o-mini,0.68,2495
GRE13,Note: 4,gpt-4o-mini,0.52,2477
HES08,Note: 4,gpt-4o-mini,0.6,2400
LDV09,Note: 4,gpt-4o-mini,0.7,2279
LDV07,Note: 4,gpt-4o-mini,1.15,2354
ALS10,Note: 4,gpt-4o-mini,0.66,2593
OCM13,Note: 4,gpt-4o-mini,0.7,1876
HES02,Note: 4,gpt-4o-mini,0.8,2277
HES03,Note: 2,gpt-4o-mini,0.5,2137
NOR05,Note: 3,gpt-4o-mini,0.9,2490
LOR03,Note: 4,gpt-4o-mini,0.6,2460
CVL02,Note: 4,gpt-4o-mini,0.63,2313
UPS04,Note: 3,gpt-4o-mini,0.66,2338
HES05,Note: 4,gpt-4o-mini,0.58,2166
SEN02,Note: 4,gpt-4o-mini,0.57,2289
BOD12,Note: 4,gpt-4o-mini,0.66,2448
LYO11,Note: 4,gpt-4o-mini,0.7,2431
BOD01,Note: 3,gpt-4o-mini,0.4,2490
SOU13,Note: 4,gpt-4o-mini,0.48,2336
CFE02,Note: 3,gpt-4o-mini,0.72,2127
HES01,Note: 3,gpt-4o-mini,0.7,2279
LOR08,Note: 4,gpt-4o-mini,0.5,2214
LRE09,Note: 3,gpt-4o-mini,0.61,2320
BFC06,Note: 4,gpt-4o-mini,0.69,2385
