ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: A,gpt-4o-mini,0.59,502
SEN01,Note: A,gpt-4o-mini,0.7,821
UCA11,Note: B,gpt-4o-mini,0.48,883
UPS10,Note: A,gpt-4o-mini,0.52,986
SPC08,Note: A,gpt-4o-mini,0.46,793
LRE11,Note: A,gpt-4o-mini,0.5,860
SOU15,Note: A,gpt-4o-mini,0.72,935
UCA07,Note: A,gpt-4o-mini,0.48,830
BRE16,Note: A,gpt-4o-mini,0.63,941
SPC09,Note: A,gpt-4o-mini,0.74,652
ALS08,Note: A,gpt-4o-mini,0.71,977
PES08,Note: B,gpt-4o-mini,0.59,817
PES08,Note: A,gpt-4o-mini,0.5,817
LYO02,Note: A,gpt-4o-mini,0.49,819
UCA05,Note: B,gpt-4o-mini,0.5,832
CVL01,Note: A,gpt-4o-mini,0.49,781
BOD07,Note: A,gpt-4o-mini,0.7,882
ALS03,Note: A,gpt-4o-mini,0.6,926
GRE03,Note: B,gpt-4o-mini,0.7,728
PES06,Note: A,gpt-4o-mini,0.48,814
OCM10,Note: B,gpt-4o-mini,0.71,842
LOR02,Note: A,gpt-4o-mini,0.7,834
UPL02,Note: A,gpt-4o-mini,0.7,919
NOR10,Note: A,gpt-4o-mini,0.65,734
BRE14,Note: A,gpt-4o-mini,0.65,850
LYO05,Note: B,gpt-4o-mini,0.59,952
GRE07,Note: A,gpt-4o-mini,0.8,846
POF03,Note: A,gpt-4o-mini,0.7,995
BFC09,Note: A,gpt-4o-mini,0.4,802
BFC10,Note: B,gpt-4o-mini,0.49,742
GRE01,Note: A,gpt-4o-mini,0.7,808
OCM08,Note: A,gpt-4o-mini,0.69,768
OCM08,Note: B,gpt-4o-mini,0.7,768
LYO01,Note: A,gpt-4o-mini,0.74,874
BOD11,Note: A,gpt-4o-mini,0.56,752
LRE02,Note: B,gpt-4o-mini,0.6,913
OCM07,Note: B,gpt-4o-mini,0.79,920
SPC05,Note: A,gpt-4o-mini,0.48,944
BOD04,Note: A,gpt-4o-mini,0.6,811
POF05,Note: A,gpt-4o-mini,0.6,839
SPC03,Note: A,gpt-4o-mini,0.5,722
SOU01,Note: A,gpt-4o-mini,0.49,966
OCM11,Note: B,gpt-4o-mini,0.51,765
NOR04,Note: A,gpt-4o-mini,0.67,735
SPC04,Note: A,gpt-4o-mini,1.52,941
LDV05,Note: A,gpt-4o-mini,0.53,967
ALS05,Note: A,gpt-4o-mini,0.65,864
LYO10,Note: B,gpt-4o-mini,0.49,936
LYO10,Note: B,gpt-4o-mini,0.49,936
OCM14,Note: C,gpt-4o-mini,0.46,865
SOU07,Note: A,gpt-4o-mini,0.52,943
BRE04,Note: B,gpt-4o-mini,0.41,935
HES06,Note: B,gpt-4o-mini,0.82,724
UCA02,Note: A,gpt-4o-mini,0.55,792
PES07,Note: A,gpt-4o-mini,0.7,788
UCA14,Note: A,gpt-4o-mini,0.49,985
CFE05,Note: B,gpt-4o-mini,0.4,866
PES03,Note: A,gpt-4o-mini,0.83,859
ALS04,Note: A,gpt-4o-mini,0.55,984
SOU14,Note: A,gpt-4o-mini,0.7,749
CVL03,Note: A,gpt-4o-mini,0.7,821
NOR12,Note: A,gpt-4o-mini,0.68,971
OCM18,Note: A,gpt-4o-mini,0.49,887
BFC02,Note: A,gpt-4o-mini,0.49,1004
CFE09,Note: A,gpt-4o-mini,0.5,908
LDV08,Note: B,gpt-4o-mini,0.4,818
SOU10,Note: A,gpt-4o-mini,0.46,893
SOU09,Note: B,gpt-4o-mini,0.59,690
ALS09,Note: A,gpt-4o-mini,0.75,828
ALS11,Note: A,gpt-4o-mini,0.53,984
GRE13,Note: B,gpt-4o-mini,1.21,898
HES08,Note: A,gpt-4o-mini,0.67,932
LDV09,Note: A,gpt-4o-mini,3.06,773
LDV07,Note: A,gpt-4o-mini,0.61,875
ALS10,Note: A,gpt-4o-mini,0.5,947
OCM13,Note: A,gpt-4o-mini,0.59,680
HES02,Note: A,gpt-4o-mini,0.71,970
HES03,Note: B,gpt-4o-mini,0.57,649
NOR05,Note: A,gpt-4o-mini,0.72,850
LOR03,Note: A,gpt-4o-mini,0.91,910
CVL02,Note: B,gpt-4o-mini,0.8,937
UPS04,Note: A,gpt-4o-mini,0.69,851
HES05,Note: A,gpt-4o-mini,0.7,792
SEN02,Note: A,gpt-4o-mini,0.81,926
BOD12,Note: B,gpt-4o-mini,0.66,947
LYO11,Note: A,gpt-4o-mini,0.94,901
BOD01,Note: A,gpt-4o-mini,0.69,895
SOU13,Note: A,gpt-4o-mini,0.5,924
CFE02,Note: A,gpt-4o-mini,0.69,693
HES01,Note: A,gpt-4o-mini,0.39,751
LOR08,Note: A,gpt-4o-mini,0.69,830
LRE09,Note: B,gpt-4o-mini,0.7,739
BFC06,Note: B,gpt-4o-mini,0.5,880
