ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: C,gpt-4o-mini,0.56,3067
SEN01,Note: B,gpt-4o-mini,1.1,3546
UCA11,Note: A,gpt-4o-mini,1.52,4072
UPS10,Note: C,gpt-4o-mini,0.8,3974
SPC08,Note: B,gpt-4o-mini,0.6,3540
LRE11,Note: B,gpt-4o-mini,0.71,3735
SOU15,Note: B,gpt-4o-mini,1.42,3862
UCA07,Note: C,gpt-4o-mini,0.82,3858
BRE16,Note: B,gpt-4o-mini,1.08,3965
SPC09,Note: C,gpt-4o-mini,1.32,3310
ALS08,Note: B,gpt-4o-mini,2.13,4073
PES08,Note: B,gpt-4o-mini,0.61,3735
LYO02,Note: A,gpt-4o-mini,0.6,3560
UCA05,Note: C,gpt-4o-mini,0.8,3488
CVL01,Note: C,gpt-4o-mini,1.12,3692
BOD07,Note: B,gpt-4o-mini,1.22,3810
ALS03,Note: C,gpt-4o-mini,1.11,3843
GRE03,Note: A,gpt-4o-mini,1.11,3496
PES06,Note: A,gpt-4o-mini,1.93,3940
OCM10,Note: B,gpt-4o-mini,1.73,3637
LOR02,Note: B,gpt-4o-mini,0.6,3619
UPL02,Note: B,gpt-4o-mini,0.7,3908
NOR10,Note: B,gpt-4o-mini,0.6,3394
BRE14,Note: B,gpt-4o-mini,1.01,3866
LYO05,Note: A,gpt-4o-mini,1.93,3987
GRE07,Note: C,gpt-4o-mini,1.31,3866
POF03,Note: B,gpt-4o-mini,0.9,4218
BFC09,Note: B,gpt-4o-mini,0.7,3656
BFC10,Note: A,gpt-4o-mini,0.9,3654
GRE01,Note: A,gpt-4o-mini,1.84,3718
OCM08,Note: C,gpt-4o-mini,0.59,3485
LYO01,Note: C,gpt-4o-mini,0.6,4042
BOD11,Note: C,gpt-4o-mini,2.02,3436
LRE02,Note: B,gpt-4o-mini,0.81,3761
OCM07,Note: B,gpt-4o-mini,0.61,3811
SPC05,Note: B,gpt-4o-mini,1.21,3986
BOD04,Note: B,gpt-4o-mini,1.42,3815
POF05,Note: B,gpt-4o-mini,1.62,3821
SPC03,Note: B,gpt-4o-mini,1.01,3553
SOU01,Note: B,gpt-4o-mini,1.01,4115
OCM11,Note: B,gpt-4o-mini,0.91,3639
NOR04,Note: A,gpt-4o-mini,0.59,3256
SPC04,Note: B,gpt-4o-mini,1.33,4206
LDV05,Note: C,gpt-4o-mini,2.03,4037
ALS05,Note: B,gpt-4o-mini,0.6,3836
LYO10,Note: B,gpt-4o-mini,0.6,3867
OCM14,Note: A,gpt-4o-mini,2.44,3728
SOU07,Note: A,gpt-4o-mini,0.7,3642
BRE04,Note: B,gpt-4o-mini,1.62,3807
HES06,Note: C,gpt-4o-mini,0.6,3392
UCA02,Note: C,gpt-4o-mini,0.7,3868
PES07,Note: A,gpt-4o-mini,0.5,3889
UCA14,Note: C,gpt-4o-mini,0.6,4090
CFE05,Note: B,gpt-4o-mini,0.86,3872
PES03,Note: B,gpt-4o-mini,0.64,3727
ALS04,Note: B,gpt-4o-mini,2.59,3520
SOU14,Note: C,gpt-4o-mini,2.15,3470
CVL03,Note: B,gpt-4o-mini,0.64,3761
NOR12,Note: B,gpt-4o-mini,0.86,4195
OCM18,Note: B,gpt-4o-mini,0.7,3836
BFC02,Note: C,gpt-4o-mini,1.21,3683
CFE09,Note: B,gpt-4o-mini,1.41,4039
LDV08,Note: B,gpt-4o-mini,1.11,3572
SOU10,Note: C,gpt-4o-mini,1.2,3809
SOU09,Note: C,gpt-4o-mini,0.8,3581
ALS09,Note: B,gpt-4o-mini,1.06,3934
ALS11,Note: C,gpt-4o-mini,1.27,4102
GRE13,Note: B,gpt-4o-mini,1.07,3956
HES08,Note: A,gpt-4o-mini,1.17,3825
LDV09,Note: C,gpt-4o-mini,1.51,3853
LDV07,Note: B,gpt-4o-mini,0.47,3827
ALS10,Note: B,gpt-4o-mini,1.86,4144
OCM13,Note: C,gpt-4o-mini,0.73,3321
HES02,Note: B,gpt-4o-mini,1.08,3776
HES03,Note: A,gpt-4o-mini,1.62,3245
NOR05,Note: C,gpt-4o-mini,0.8,3650
LOR03,Note: C,gpt-4o-mini,0.6,4006
CVL02,Note: B,gpt-4o-mini,2.54,4083
UPS04,Note: C,gpt-4o-mini,0.8,3853
HES05,Note: B,gpt-4o-mini,0.7,3497
SEN02,Note: B,gpt-4o-mini,0.7,4110
BOD12,Note: B,gpt-4o-mini,1.39,3940
LYO11,Note: B,gpt-4o-mini,0.95,4059
BOD01,Note: A,gpt-4o-mini,1.43,3862
SOU13,Note: B,gpt-4o-mini,1.01,3937
CFE02,Note: C,gpt-4o-mini,1.83,3452
HES01,Note: C,gpt-4o-mini,0.5,3593
LOR08,Note: C,gpt-4o-mini,0.9,3901
LRE09,Note: B,gpt-4o-mini,1.11,3604
BFC06,Note: B,gpt-4o-mini,1.62,3636
