ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 2,gpt-4o-mini,0.72,2060
SEN01,Note: 4,gpt-4o-mini,0.58,2307
UCA11,Note: 4,gpt-4o-mini,0.63,2294
UPS10,Note: 4,gpt-4o-mini,0.67,2369
SPC08,Note: 4,gpt-4o-mini,0.49,2141
LRE11,Note: 5,gpt-4o-mini,0.7,1953
SOU15,Note: 5,gpt-4o-mini,0.45,2511
UCA07,Note: 2,gpt-4o-mini,0.74,2332
BRE16,Note: 5,gpt-4o-mini,0.6,2033
SPC09,Note: 3,gpt-4o-mini,0.7,2116
ALS08,Note: 4,gpt-4o-mini,0.61,2462
PES08,Note: 4,gpt-4o-mini,0.39,2289
LYO02,Note: 4,gpt-4o-mini,0.71,2334
UCA05,Note: 3,gpt-4o-mini,0.45,2243
CVL01,Note: 4,gpt-4o-mini,0.76,2177
BOD07,Note: 3,gpt-4o-mini,0.6,2204
ALS03,Note: 4,gpt-4o-mini,0.6,2114
GRE03,Note: 4,gpt-4o-mini,0.5,1916
PES06,Note: 4,gpt-4o-mini,0.68,2304
OCM10,Note: 4,gpt-4o-mini,0.6,2224
LOR02,Note: 4,gpt-4o-mini,0.6,2255
UPL02,Note: 4,gpt-4o-mini,0.49,2550
NOR10,Note: 4,gpt-4o-mini,0.6,2066
BRE14,Note: 3,gpt-4o-mini,0.6,2328
LYO05,Note: 3,gpt-4o-mini,0.61,2370
GRE07,Note: 3,gpt-4o-mini,0.57,2189
POF03,Note: 4,gpt-4o-mini,0.42,2048
BFC09,Note: 4,gpt-4o-mini,1.01,2433
BFC10,Note: 4,gpt-4o-mini,0.5,2090
GRE01,Note: 4,gpt-4o-mini,0.5,2325
OCM08,Note: 3,gpt-4o-mini,0.49,2258
LYO01,Note: 4,gpt-4o-mini,4.08,2004
BOD11,Note: 3,gpt-4o-mini,0.8,2088
LRE02,Note: 5,gpt-4o-mini,1.12,2389
OCM07,Note: 4,gpt-4o-mini,0.69,2416
SPC05,Note: 4,gpt-4o-mini,0.6,2180
BOD04,Note: 3,gpt-4o-mini,0.6,2291
POF05,Note: 4,gpt-4o-mini,0.7,2341
SPC03,Note: 4,gpt-4o-mini,1.01,2239
SOU01,Note: 4,gpt-4o-mini,0.6,2109
OCM11,Note: 5,gpt-4o-mini,1.93,2121
NOR04,Note: 4,gpt-4o-mini,0.45,2168
SPC04,Note: 4,gpt-4o-mini,0.54,2323
LDV05,Note: 4,gpt-4o-mini,0.59,2149
ALS05,Note: 4,gpt-4o-mini,0.8,2059
LYO10,Note: 4,gpt-4o-mini,0.91,2340
OCM14,Note: 4,gpt-4o-mini,1.37,2351
SOU07,Note: 4,gpt-4o-mini,0.64,2556
BRE04,Note: 4,gpt-4o-mini,0.53,2394
HES06,Note: 3,gpt-4o-mini,0.55,2135
UCA02,Note: 4,gpt-4o-mini,0.54,2264
PES07,Note: 4,gpt-4o-mini,0.47,2091
UCA14,Note: 2,gpt-4o-mini,0.62,2470
CFE05,Note: 4,gpt-4o-mini,0.91,2301
PES03,Note: 4,gpt-4o-mini,0.62,2221
ALS04,Note: 4,gpt-4o-mini,0.68,2475
SOU14,Note: 4,gpt-4o-mini,0.52,2227
CVL03,Note: 5,gpt-4o-mini,0.58,2225
NOR12,Note: 5,gpt-4o-mini,0.56,2575
OCM18,Note: 4,gpt-4o-mini,0.67,2123
BFC02,Note: 4,gpt-4o-mini,0.6,2151
CFE09,Note: 4,gpt-4o-mini,0.6,2446
LDV08,Note: 4,gpt-4o-mini,0.52,2013
SOU10,Note: 4,gpt-4o-mini,0.48,2176
SOU09,Note: 3,gpt-4o-mini,0.65,1993
ALS09,Note: 4,gpt-4o-mini,0.57,1774
ALS11,Note: 4,gpt-4o-mini,0.5,2172
GRE13,Note: 4,gpt-4o-mini,0.49,2375
HES08,Note: 4,gpt-4o-mini,0.39,2373
LDV09,Note: 4,gpt-4o-mini,0.6,2184
LDV07,Note: 3,gpt-4o-mini,0.6,2316
ALS10,Note: 4,gpt-4o-mini,0.48,2309
OCM13,Note: 4,gpt-4o-mini,0.57,1828
HES02,Note: 4,gpt-4o-mini,0.5,2460
HES03,Note: 3,gpt-4o-mini,0.41,1595
NOR05,Note: 3,gpt-4o-mini,0.7,1998
LOR03,Note: 2,gpt-4o-mini,1.0,2353
CVL02,Note: 4,gpt-4o-mini,1.15,2475
UPS04,Note: 4,gpt-4o-mini,1.26,2485
HES05,Note: 3,gpt-4o-mini,0.49,2225
SEN02,Note: 4,gpt-4o-mini,0.97,2176
BOD12,Note: 4,gpt-4o-mini,0.55,2090
LYO11,Note: 4,gpt-4o-mini,1.11,2257
BOD01,Note: 4,gpt-4o-mini,0.61,2170
SOU13,Note: 4,gpt-4o-mini,0.71,2418
CFE02,Note: 4,gpt-4o-mini,0.5,1881
HES01,Note: 3,gpt-4o-mini,0.42,2192
LOR08,Note: 4,gpt-4o-mini,1.19,2332
LRE09,Note: 3,gpt-4o-mini,1.02,2168
BFC06,Note: 4,gpt-4o-mini,0.58,1912
