Lexical_Feature,Criterion,Spearman_Coefficient,p_value
local_NOUN_overlap,Présentation du Sujet,0.11100007910467627,0.2976240595052958
local_NOUN_overlap,Structure,0.04215759346813003,0.693192034937014
local_NOUN_overlap,Niveau de Langue,-0.27889726999988734,0.007769961964212322
local_NOUN_overlap,Voix Passive,-0.03931677990546697,0.7129327487692987
local_NOUN_overlap,Concision,0.050157094052747035,0.6387292563967142
local_NOUN_overlap,Redondance,-0.09794124626883198,0.3584227745667822
local_NOUN_overlap,Langage Négatif,-0.0044787927632251165,0.9665817467605986
local_NOUN_overlap,Métaphore,0.025252248097926217,0.8132365214585248
local_NOUN_overlap,Discours,-0.24940341608332925,0.01776089234066307
local_NOUN_overlap,L'introduction,0.025413733256105856,0.8120640785580492
local_NOUN_overlap,La conclusion,0.10078968049696774,0.344547190635178
local_NOUN_overlap,Persuasivité,-0.02649877288400976,0.8041971421939978
local_NOUN_overlap,Clarté du Langage,-0.13056642860674406,0.21997072165123624
local_NOUN_overlap,Créativité du discours,-0.18620660658761157,0.07888012680151205
local_NOUN_overlap,Global,0.018782927075683138,0.8605177379278808
local_content_overlap,Présentation du Sujet,0.19521267625493058,0.06520575937379307
local_content_overlap,Structure,0.19839005352126227,0.06086673586202138
local_content_overlap,Niveau de Langue,-0.11662751129966227,0.2736479423571255
local_content_overlap,Voix Passive,0.05122652749338267,0.6315834588878457
local_content_overlap,Concision,0.0826045437919389,0.4389158001295569
local_content_overlap,Redondance,0.12731261494886775,0.231781098751188
local_content_overlap,Langage Négatif,-0.002985603759568547,0.9777195315853726
local_content_overlap,Métaphore,0.0762901347753028,0.47480844163156166
local_content_overlap,Discours,-0.1704371624492701,0.10825590289964647
local_content_overlap,L'introduction,0.19489707422097113,0.06565009901480878
local_content_overlap,La conclusion,0.17294530154828258,0.10308520982906665
local_content_overlap,Persuasivité,0.05316931423295498,0.618688577005233
local_content_overlap,Clarté du Langage,0.0277453763646197,0.7951828541563748
local_content_overlap,Créativité du discours,-0.0781982201507641,0.463798539854398
local_content_overlap,Global,0.09547427116843604,0.3707151507268235
global_NOUN_overlap,Présentation du Sujet,0.27747849615186027,0.008101621512699058
global_NOUN_overlap,Structure,0.1890523295097334,0.07433152780201076
global_NOUN_overlap,Niveau de Langue,-0.1751578886841572,0.09868589391686168
global_NOUN_overlap,Voix Passive,0.08934932995051476,0.4023283087114983
global_NOUN_overlap,Concision,0.1079768282040556,0.31105798074488095
global_NOUN_overlap,Redondance,0.010446249266893562,0.9221552846490433
global_NOUN_overlap,Langage Négatif,-0.08409519813006977,0.4306718803191468
global_NOUN_overlap,Métaphore,0.11856511965583301,0.26570168777247066
global_NOUN_overlap,Discours,-0.11071473872407743,0.2988754396564672
global_NOUN_overlap,L'introduction,0.15454106150662628,0.14584533802951832
global_NOUN_overlap,La conclusion,0.1087322967994602,0.3076647533633326
global_NOUN_overlap,Persuasivité,0.08350208134764846,0.43394142725602036
global_NOUN_overlap,Clarté du Langage,-0.02552414293594144,0.8112627009539779
global_NOUN_overlap,Créativité du discours,-0.10893547078605169,0.3067563110327814
global_NOUN_overlap,Global,-0.001294835237596935,0.9903361160463291
global_content_overlap,Présentation du Sujet,0.21218681827145638,0.04466804651749575
global_content_overlap,Structure,0.275513688822676,0.008581467943806253
global_content_overlap,Niveau de Langue,0.13427171130159452,0.20704608871124552
global_content_overlap,Voix Passive,0.005956548448623801,0.9555653777827346
global_content_overlap,Concision,0.15576792718998803,0.14263393993417411
global_content_overlap,Redondance,0.18476575252560667,0.08126660392836436
global_content_overlap,Langage Négatif,-0.05374064648863808,0.6149180854526144
global_content_overlap,Métaphore,0.2571367148514145,0.014420949006533913
global_content_overlap,Discours,0.093865024757601,0.3788705638681964
global_content_overlap,L'introduction,0.29063148936001887,0.0054546058713568196
global_content_overlap,La conclusion,0.22769158763233413,0.030903511763181558
global_content_overlap,Persuasivité,0.1972899684268034,0.062341595044625754
global_content_overlap,Clarté du Langage,0.17800943123775675,0.09323499197461818
global_content_overlap,Créativité du discours,0.26656385848071634,0.011097070981812658
global_content_overlap,Global,0.04731167984699115,0.657901687724886
alliteration,Présentation du Sujet,0.12339530371967183,0.24657788933223113
alliteration,Structure,0.15962780103206706,0.13287814503089584
alliteration,Niveau de Langue,0.15837241386817608,0.13599375578066064
alliteration,Voix Passive,0.0869659652794636,0.41504672295109235
alliteration,Concision,0.16048882793862418,0.13077285991864535
alliteration,Redondance,0.2448319518247457,0.02003307105979007
alliteration,Langage Négatif,-0.0696640877232661,0.5141130700428705
alliteration,Métaphore,-0.0026044092637697047,0.9805636530493481
alliteration,Discours,-0.07895987523550761,0.45944303749282
alliteration,L'introduction,0.16771614171420252,0.114091251022726
alliteration,La conclusion,0.05710527733227285,0.5929181895717973
alliteration,Persuasivité,-0.06037759190881579,0.5718687072382844
alliteration,Clarté du Langage,0.12242873998799919,0.2503267630727636
alliteration,Créativité du discours,0.11217086535612761,0.29252557068046015
alliteration,Global,0.09647712549928383,0.36568745005461023
anaphora,Présentation du Sujet,-0.08616058700206954,0.41939670303492715
anaphora,Structure,-0.08903130229106757,0.40401200262466497
anaphora,Niveau de Langue,-0.11437709061404074,0.28307554085510483
anaphora,Voix Passive,0.06550689913322559,0.5395950538117477
anaphora,Concision,0.048666234077943044,0.6487461153841458
anaphora,Redondance,-0.09334063591890866,0.38155134964646564
anaphora,Langage Négatif,-0.04560266763299167,0.669525285399283
anaphora,Métaphore,0.15718042864018364,0.13900302640059112
anaphora,Discours,-0.05315698718292327,0.6187700383320298
anaphora,L'introduction,0.02725609132892512,0.798717780805484
anaphora,La conclusion,-0.13970523981375685,0.18908708395890056
anaphora,Persuasivité,0.005252504501931172,0.9608129695089909
anaphora,Clarté du Langage,-0.0769673873592288,0.47088454352675335
anaphora,Créativité du discours,-0.09802386284899169,0.35801552460548236
anaphora,Global,-0.012878572104657147,0.9041076787028657
antimetabole,Présentation du Sujet,0.007524851228474566,0.9438831628712832
antimetabole,Structure,-0.023059109033932445,0.8291992414268095
antimetabole,Niveau de Langue,-0.009093566419022486,0.9322097316465012
antimetabole,Voix Passive,0.0617874207422382,0.5629087680311577
antimetabole,Concision,-0.06007055044081274,0.5738288584674889
antimetabole,Redondance,0.016303844328361558,0.8787769042019158
antimetabole,Langage Négatif,-0.10036448447943058,0.3465967787947657
antimetabole,Métaphore,0.1482557319204641,0.16315560952682953
antimetabole,Discours,0.06824730660865436,0.5227277828001886
antimetabole,L'introduction,-0.0868520357702419,0.41566047855678356
antimetabole,La conclusion,0.026270016028489412,0.8058541213196293
antimetabole,Persuasivité,0.16891088302438692,0.11149979543270316
antimetabole,Clarté du Langage,-0.07302172796142753,0.4939907281009308
antimetabole,Créativité du discours,-0.006636855202110052,0.9504965065215435
antimetabole,Global,-0.015581937634433413,0.8841063329189791
epanalepsis,Présentation du Sujet,-0.1593256311208247,0.13362305808206268
epanalepsis,Structure,-0.18952470491758025,0.07359728731360794
epanalepsis,Niveau de Langue,-0.18034526092417477,0.08894922746034102
epanalepsis,Voix Passive,-0.057190868669388176,0.5923631959369415
epanalepsis,Concision,-0.11094117075606505,0.2978821238606322
epanalepsis,Redondance,-0.3147334188534325,0.0025172304279982385
epanalepsis,Langage Négatif,0.05175749536470073,0.6280480856799421
epanalepsis,Métaphore,-0.12000969353114377,0.259880005297775
epanalepsis,Discours,0.02133410592726826,0.8418038684134426
