ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 3,gpt-4o-mini,0.56,471
SEN01,Note: 4,gpt-4o-mini,0.73,790
UCA11,Note: 4,gpt-4o-mini,0.5,852
UPS10,Note: 4,gpt-4o-mini,0.48,955
SPC08,Note: 4,gpt-4o-mini,0.5,762
LRE11,Note: 5,gpt-4o-mini,0.53,829
SOU15,Note: 4,gpt-4o-mini,0.7,904
UCA07,Note: 3,gpt-4o-mini,0.49,799
BRE16,Note: 5,gpt-4o-mini,0.76,910
SPC09,Note: 4,gpt-4o-mini,0.89,621
ALS08,Note: 5,gpt-4o-mini,0.71,946
PES08,Note: 4,gpt-4o-mini,0.5,786
PES08,Note: 4,gpt-4o-mini,0.59,786
LYO02,Note: 4,gpt-4o-mini,0.41,788
UCA05,Note: 4,gpt-4o-mini,0.48,801
CVL01,Note: 5,gpt-4o-mini,0.5,750
BOD07,Note: 4,gpt-4o-mini,0.78,851
ALS03,Note: 4,gpt-4o-mini,0.8,895
GRE03,Note: 4,gpt-4o-mini,0.5,697
PES06,Note: 4,gpt-4o-mini,0.48,783
OCM10,Note: 5,gpt-4o-mini,0.9,811
LOR02,Note: 4,gpt-4o-mini,0.62,803
UPL02,Note: 4,gpt-4o-mini,0.51,888
NOR10,Note: 4,gpt-4o-mini,0.54,703
BRE14,Note: 4,gpt-4o-mini,0.66,819
LYO05,Note: 4,gpt-4o-mini,0.5,921
GRE07,Note: 4,gpt-4o-mini,0.48,815
POF03,Note: 5,gpt-4o-mini,0.48,964
BFC09,Note: 4,gpt-4o-mini,0.48,771
BFC10,Note: 4,gpt-4o-mini,0.51,711
GRE01,Note: 5,gpt-4o-mini,0.81,777
OCM08,Note: 4,gpt-4o-mini,0.69,737
OCM08,Note: 4,gpt-4o-mini,0.69,737
LYO01,Note: 4,gpt-4o-mini,0.6,843
BOD11,Note: 4,gpt-4o-mini,1.01,721
LRE02,Note: 4,gpt-4o-mini,0.83,882
OCM07,Note: 4,gpt-4o-mini,0.78,889
SPC05,Note: 5,gpt-4o-mini,0.54,913
BOD04,Note: 4,gpt-4o-mini,0.44,780
POF05,Note: 4,gpt-4o-mini,0.85,808
SPC03,Note: 4,gpt-4o-mini,0.42,691
SOU01,Note: 5,gpt-4o-mini,0.45,935
OCM11,Note: 5,gpt-4o-mini,0.42,734
NOR04,Note: 4,gpt-4o-mini,0.57,704
SPC04,Note: 5,gpt-4o-mini,0.59,910
LDV05,Note: 5,gpt-4o-mini,0.59,936
ALS05,Note: 4,gpt-4o-mini,0.68,833
LYO10,Note: 4,gpt-4o-mini,0.88,905
LYO10,Note: 4,gpt-4o-mini,0.5,905
OCM14,Note: 4,gpt-4o-mini,0.59,834
SOU07,Note: 4,gpt-4o-mini,0.57,912
BRE04,Note: 4,gpt-4o-mini,0.6,904
HES06,Note: 4,gpt-4o-mini,0.64,693
UCA02,Note: 4,gpt-4o-mini,0.41,761
PES07,Note: 4,gpt-4o-mini,0.64,757
UCA14,Note: 4,gpt-4o-mini,0.49,954
CFE05,Note: 4,gpt-4o-mini,0.44,835
PES03,Note: 5,gpt-4o-mini,0.94,828
ALS04,Note: 4,gpt-4o-mini,0.49,953
SOU14,Note: 4,gpt-4o-mini,0.79,718
CVL03,Note: 5,gpt-4o-mini,0.69,790
NOR12,Note: 5,gpt-4o-mini,0.42,940
OCM18,Note: 5,gpt-4o-mini,0.53,856
BFC02,Note: 4,gpt-4o-mini,0.55,973
CFE09,Note: 4,gpt-4o-mini,0.44,877
LDV08,Note: 5,gpt-4o-mini,0.39,787
SOU10,Note: 5,gpt-4o-mini,0.4,862
SOU09,Note: 4,gpt-4o-mini,0.57,659
ALS09,Note: 4,gpt-4o-mini,0.5,797
ALS11,Note: 4,gpt-4o-mini,0.5,953
GRE13,Note: 4,gpt-4o-mini,0.91,867
HES08,Note: 5,gpt-4o-mini,0.55,901
LDV09,Note: 4,gpt-4o-mini,0.66,742
LDV07,Note: 4,gpt-4o-mini,0.51,844
ALS10,Note: 5,gpt-4o-mini,0.46,916
OCM13,Note: 4,gpt-4o-mini,0.5,649
HES02,Note: 4,gpt-4o-mini,0.81,939
HES03,Note: 4,gpt-4o-mini,0.58,618
NOR05,Note: 4,gpt-4o-mini,0.7,819
LOR03,Note: 4,gpt-4o-mini,1.1,879
CVL02,Note: 4,gpt-4o-mini,0.74,906
UPS04,Note: 4,gpt-4o-mini,0.69,820
HES05,Note: 4,gpt-4o-mini,0.67,761
SEN02,Note: 4,gpt-4o-mini,0.59,895
BOD12,Note: 4,gpt-4o-mini,0.69,916
LYO11,Note: 4,gpt-4o-mini,0.85,870
BOD01,Note: 4,gpt-4o-mini,0.48,864
SOU13,Note: 4,gpt-4o-mini,0.55,893
CFE02,Note: 4,gpt-4o-mini,1.61,662
HES01,Note: 4,gpt-4o-mini,0.7,720
LOR08,Note: 4,gpt-4o-mini,0.49,799
LRE09,Note: 4,gpt-4o-mini,0.73,708
BFC06,Note: 4,gpt-4o-mini,0.54,849
