ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: A,gpt-4.1,0.7,495
SEN01,Note: C,gpt-4.1,1.62,814
UCA11,Note: A,gpt-4.1,1.71,876
UPS10,Note: C,gpt-4.1,2.05,979
SPC08,Note: C,gpt-4.1,2.55,786
LRE11,Note: C,gpt-4.1,0.7,853
SOU15,Note: A,gpt-4.1,1.22,928
UCA07,Note: C,gpt-4.1,2.64,823
BRE16,Note: C,gpt-4.1,2.3,934
SPC09,Note: A,gpt-4.1,0.44,645
ALS08,Note: C,gpt-4.1,1.52,970
PES08,Note: C,gpt-4.1,2.04,810
LYO02,Note: A,gpt-4.1,1.52,812
UCA05,Note: A,gpt-4.1,1.83,825
CVL01,Note: C,gpt-4.1,1.11,774
BOD07,Note: C,gpt-4.1,2.96,875
ALS03,Note: C,gpt-4.1,0.81,919
GRE03,Note: C,gpt-4.1,1.63,721
PES06,Note: A,gpt-4.1,1.22,807
OCM10,Note: A,gpt-4.1,2.13,835
LOR02,Note: C,gpt-4.1,2.34,827
UPL02,Note: C,gpt-4.1,2.14,912
NOR10,Note: C,gpt-4.1,0.8,727
BRE14,Note: C,gpt-4.1,0.69,843
LYO05,Note: A,gpt-4.1,2.04,945
GRE07,Note: C,gpt-4.1,2.35,839
POF03,Note: C,gpt-4.1,2.24,988
BFC09,Note: C,gpt-4.1,0.61,795
BFC10,Note: C,gpt-4.1,1.52,735
GRE01,Note: C,gpt-4.1,2.58,801
OCM08,Note: A,gpt-4.1,0.47,761
LYO01,Note: C,gpt-4.1,2.04,867
BOD11,Note: C,gpt-4.1,1.32,745
LRE02,Note: C,gpt-4.1,1.83,906
OCM07,Note: C,gpt-4.1,1.52,913
SPC05,Note: C,gpt-4.1,3.06,937
BOD04,Note: C,gpt-4.1,0.91,804
POF05,Note: C,gpt-4.1,1.38,832
SPC03,Note: C,gpt-4.1,1.17,715
SOU01,Note: C,gpt-4.1,1.81,959
OCM11,Note: C,gpt-4.1,1.63,758
NOR04,Note: A,gpt-4.1,2.7,728
SPC04,Note: C,gpt-4.1,1.26,934
LDV05,Note: C,gpt-4.1,2.34,960
ALS05,Note: C,gpt-4.1,0.91,857
LYO10,Note: C,gpt-4.1,2.65,929
OCM14,Note: A,gpt-4.1,0.7,858
SOU07,Note: C,gpt-4.1,1.62,936
BRE04,Note: C,gpt-4.1,3.06,928
HES06,Note: C,gpt-4.1,0.7,717
UCA02,Note: C,gpt-4.1,1.42,785
PES07,Note: C,gpt-4.1,1.62,781
UCA14,Note: C,gpt-4.1,0.58,978
CFE05,Note: C,gpt-4.1,0.83,859
PES03,Note: C,gpt-4.1,2.34,852
ALS04,Note: C,gpt-4.1,0.96,977
SOU14,Note: A,gpt-4.1,1.67,742
CVL03,Note: C,gpt-4.1,0.61,814
NOR12,Note: C,gpt-4.1,1.22,964
OCM18,Note: C,gpt-4.1,1.01,880
BFC02,"Error code: 429 - {'error': {'message': 'Rate limit reached for gpt-4.1 in organization org-e5cFhZROxrXpgUfSrROrwa9Y on tokens per min (TPM): Limit 30000, Used 29152, Requested 1168. Please try again in 640ms. Visit https://platform.openai.com/account/rate-limits to learn more.', 'type': 'tokens', 'param': None, 'code': 'rate_limit_exceeded'}}",gpt-4.1,0.0,0
CFE09,Note: C,gpt-4.1,0.5,901
LDV08,Note: C,gpt-4.1,0.91,811
SOU10,Note: C,gpt-4.1,3.88,886
SOU09,Note: C,gpt-4.1,2.34,683
ALS09,Note: C,gpt-4.1,0.6,821
ALS11,Note: C,gpt-4.1,1.72,977
GRE13,Note: C,gpt-4.1,2.16,891
HES08,Note: A,gpt-4.1,2.33,925
LDV09,Note: C,gpt-4.1,0.85,766
LDV07,Note: C,gpt-4.1,1.53,868
ALS10,Note: C,gpt-4.1,3.06,940
OCM13,Note: A,gpt-4.1,1.22,673
HES02,Note: C,gpt-4.1,1.89,963
HES03,Note: C,gpt-4.1,0.67,642
NOR05,Note: C,gpt-4.1,1.22,843
LOR03,Note: C,gpt-4.1,2.65,903
CVL02,Note: C,gpt-4.1,1.42,930
UPS04,Note: C,gpt-4.1,2.57,844
HES05,Note: C,gpt-4.1,0.59,785
SEN02,Note: C,gpt-4.1,1.56,919
BOD12,Note: C,gpt-4.1,2.05,940
LYO11,Note: C,gpt-4.1,1.63,894
BOD01,Note: A,gpt-4.1,2.24,888
SOU13,Note: C,gpt-4.1,2.31,917
CFE02,Note: C,gpt-4.1,0.6,686
HES01,Note: C,gpt-4.1,1.63,744
LOR08,Note: C,gpt-4.1,1.09,823
LRE09,Note: C,gpt-4.1,2.05,732
BFC06,Note: C,gpt-4.1,1.19,873
