ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 2,gpt-4o-mini,0.6,2018
SEN01,Note: 5,gpt-4o-mini,1.21,2366
UCA11,Note: 4,gpt-4o-mini,0.81,2087
UPS10,Note: 4,gpt-4o-mini,0.5,2284
SPC08,Note: 4,gpt-4o-mini,0.59,2198
LRE11,Note: 4,gpt-4o-mini,0.8,2064
SOU15,Note: 4,gpt-4o-mini,0.6,2451
UCA07,Note: 2,gpt-4o-mini,0.42,2157
BRE16,Note: 5,gpt-4o-mini,0.68,2285
SPC09,Note: 3,gpt-4o-mini,0.79,2057
ALS08,Note: 5,gpt-4o-mini,0.6,2353
PES08,Note: 4,gpt-4o-mini,0.51,2482
LYO02,Note: 4,gpt-4o-mini,0.69,2146
UCA05,Note: 3,gpt-4o-mini,0.6,2348
CVL01,Note: 4,gpt-4o-mini,0.6,2157
BOD07,Note: 4,gpt-4o-mini,0.53,2398
ALS03,Note: 3,gpt-4o-mini,0.69,2302
GRE03,Note: 4,gpt-4o-mini,0.47,2175
PES06,Note: 4,gpt-4o-mini,0.4,2141
OCM10,Note: 5,gpt-4o-mini,0.59,2186
LOR02,Note: 4,gpt-4o-mini,0.67,2359
UPL02,Note: 4,gpt-4o-mini,0.65,2584
NOR10,Note: 4,gpt-4o-mini,0.53,2032
BRE14,Note: 4,gpt-4o-mini,0.67,2375
LYO05,Note: 3,gpt-4o-mini,0.7,2617
GRE07,Note: 4,gpt-4o-mini,0.52,1972
POF03,Note: 4,gpt-4o-mini,0.59,2371
BFC09,Note: 4,gpt-4o-mini,1.3,2146
BFC10,Note: 5,gpt-4o-mini,0.5,2069
GRE01,Note: 4,gpt-4o-mini,0.5,2255
OCM08,Note: 3,gpt-4o-mini,0.58,1972
LYO01,Note: 4,gpt-4o-mini,0.72,2279
BOD11,Note: 4,gpt-4o-mini,0.78,2277
LRE02,Note: 4,gpt-4o-mini,1.31,2117
OCM07,Note: 4,gpt-4o-mini,0.72,2247
SPC05,Note: 5,gpt-4o-mini,0.7,2242
BOD04,Note: 4,gpt-4o-mini,0.54,2336
POF05,Note: 3,gpt-4o-mini,0.65,2355
SPC03,Note: 4,gpt-4o-mini,0.71,1926
SOU01,Note: 4,gpt-4o-mini,0.49,2511
OCM11,Note: 5,gpt-4o-mini,0.49,2310
NOR04,Note: 4,gpt-4o-mini,0.39,2062
SPC04,Note: 4,gpt-4o-mini,0.58,2346
LDV05,Note: 4,gpt-4o-mini,0.7,2343
ALS05,Note: 4,gpt-4o-mini,1.22,2269
LYO10,Note: 4,gpt-4o-mini,0.52,2062
OCM14,Note: 4,gpt-4o-mini,0.56,2209
SOU07,Note: 4,gpt-4o-mini,0.59,2390
BRE04,Note: 4,gpt-4o-mini,0.5,2311
HES06,Note: 4,gpt-4o-mini,0.7,2269
UCA02,Note: 4,gpt-4o-mini,0.7,2168
PES07,Note: 3,gpt-4o-mini,0.39,2304
UCA14,Note: 2,gpt-4o-mini,0.67,2510
CFE05,Note: 4,gpt-4o-mini,0.64,2242
PES03,Note: 5,gpt-4o-mini,0.7,2264
ALS04,Note: 4,gpt-4o-mini,1.22,2529
SOU14,Note: 4,gpt-4o-mini,0.47,2125
CVL03,Note: 4,gpt-4o-mini,0.73,2226
NOR12,Note: 3,gpt-4o-mini,1.21,2487
OCM18,Note: 4,gpt-4o-mini,1.11,2432
BFC02,Note: 4,gpt-4o-mini,0.7,2208
CFE09,Note: 4,gpt-4o-mini,1.11,2112
LDV08,Note: 4,gpt-4o-mini,0.71,2194
SOU10,Note: 4,gpt-4o-mini,0.5,2340
SOU09,Note: 4,gpt-4o-mini,1.73,2095
ALS09,Note: 4,gpt-4o-mini,0.6,2032
ALS11,Note: 4,gpt-4o-mini,0.6,2509
GRE13,Note: 4,gpt-4o-mini,0.39,2345
HES08,Note: 4,gpt-4o-mini,0.65,2230
LDV09,Note: 4,gpt-4o-mini,0.65,2318
LDV07,Note: 4,gpt-4o-mini,0.91,2540
ALS10,Note: 5,gpt-4o-mini,0.7,2352
OCM13,Note: 4,gpt-4o-mini,0.91,2225
HES02,Note: 4,gpt-4o-mini,1.22,2486
HES03,Note: 3,gpt-4o-mini,0.71,2025
NOR05,Note: 4,gpt-4o-mini,0.39,2297
LOR03,Note: 5,gpt-4o-mini,0.8,2254
CVL02,Note: 3,gpt-4o-mini,0.71,2313
UPS04,Note: 4,gpt-4o-mini,0.58,2298
HES05,Note: 4,gpt-4o-mini,0.7,1996
SEN02,Note: 5,gpt-4o-mini,0.58,2331
BOD12,Note: 4,gpt-4o-mini,0.51,2291
LYO11,Note: 4,gpt-4o-mini,0.49,2027
BOD01,Note: 3,gpt-4o-mini,0.59,2411
SOU13,Note: 4,gpt-4o-mini,0.5,2251
CFE02,Note: 4,gpt-4o-mini,0.6,2238
HES01,Note: 4,gpt-4o-mini,0.7,2049
LOR08,Note: 3,gpt-4o-mini,0.6,2128
LRE09,Note: 4,gpt-4o-mini,0.7,2144
BFC06,Note: 3,gpt-4o-mini,0.38,2396
