ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 3,gpt-4o-mini,0.54,472
SEN01,Note: 5,gpt-4o-mini,0.75,791
UCA11,Note: 4,gpt-4o-mini,0.5,853
UPS10,Note: 5,gpt-4o-mini,0.5,956
SPC08,Note: 4,gpt-4o-mini,0.45,763
LRE11,Note: 4,gpt-4o-mini,0.54,830
SOU15,Note: 4,gpt-4o-mini,0.8,905
UCA07,Note: 4,gpt-4o-mini,0.45,800
BRE16,Note: 5,gpt-4o-mini,0.76,911
SPC09,Note: 4,gpt-4o-mini,0.9,622
ALS08,Note: 5,gpt-4o-mini,0.7,947
PES08,Note: 5,gpt-4o-mini,0.6,787
PES08,Note: 5,gpt-4o-mini,0.59,787
LYO02,Note: 5,gpt-4o-mini,0.43,789
UCA05,Note: 4,gpt-4o-mini,0.54,802
CVL01,Note: 4,gpt-4o-mini,0.43,751
BOD07,Note: 4,gpt-4o-mini,0.66,852
ALS03,Note: 4,gpt-4o-mini,0.6,896
GRE03,Note: 4,gpt-4o-mini,0.8,698
PES06,Note: 4,gpt-4o-mini,0.6,784
OCM10,Note: 4,gpt-4o-mini,0.59,812
LOR02,Note: 4,gpt-4o-mini,0.7,804
UPL02,Note: 4,gpt-4o-mini,0.69,889
NOR10,Note: 4,gpt-4o-mini,0.7,704
BRE14,Note: 4,gpt-4o-mini,1.1,820
LYO05,Note: 4,gpt-4o-mini,0.6,922
GRE07,Note: 4,gpt-4o-mini,0.64,816
POF03,Note: 4,gpt-4o-mini,0.55,965
BFC09,Note: 4,gpt-4o-mini,0.58,772
BFC10,Note: 4,gpt-4o-mini,0.43,712
GRE01,Note: 5,gpt-4o-mini,0.96,778
OCM08,Note: 4,gpt-4o-mini,0.65,738
OCM08,Note: 4,gpt-4o-mini,0.68,738
LYO01,Note: 4,gpt-4o-mini,0.66,844
BOD11,Note: 4,gpt-4o-mini,1.31,722
LRE02,Note: 4,gpt-4o-mini,0.5,883
OCM07,Note: 4,gpt-4o-mini,0.8,890
SPC05,Note: 5,gpt-4o-mini,0.49,914
BOD04,Note: 4,gpt-4o-mini,0.49,781
POF05,Note: 4,gpt-4o-mini,0.8,809
SPC03,Note: 4,gpt-4o-mini,0.6,692
SOU01,Note: 5,gpt-4o-mini,0.6,936
OCM11,Note: 5,gpt-4o-mini,0.5,735
NOR04,Note: 4,gpt-4o-mini,0.53,705
SPC04,Note: 5,gpt-4o-mini,0.56,911
LDV05,Note: 4,gpt-4o-mini,0.5,937
ALS05,Note: 4,gpt-4o-mini,0.59,834
LYO10,Note: 4,gpt-4o-mini,0.42,906
LYO10,Note: 4,gpt-4o-mini,0.47,906
OCM14,Note: 4,gpt-4o-mini,0.45,835
SOU07,Note: 4,gpt-4o-mini,4.22,913
BRE04,Note: 4,gpt-4o-mini,0.57,905
HES06,Note: 4,gpt-4o-mini,0.7,694
UCA02,Note: 4,gpt-4o-mini,3.25,762
PES07,Note: 4,gpt-4o-mini,0.8,758
UCA14,Note: 4,gpt-4o-mini,0.49,955
CFE05,Note: 4,gpt-4o-mini,0.48,836
PES03,Note: 5,gpt-4o-mini,0.9,829
ALS04,Note: 5,gpt-4o-mini,0.6,954
SOU14,Note: 4,gpt-4o-mini,0.7,719
CVL03,Note: 4,gpt-4o-mini,0.59,791
NOR12,Note: 4,gpt-4o-mini,0.5,941
OCM18,Note: 4,gpt-4o-mini,0.48,857
BFC02,Note: 4,gpt-4o-mini,0.5,974
CFE09,Note: 5,gpt-4o-mini,0.54,878
LDV08,Note: 5,gpt-4o-mini,0.49,788
SOU10,Note: 4,gpt-4o-mini,0.48,863
SOU09,Note: 4,gpt-4o-mini,0.52,660
ALS09,Note: 4,gpt-4o-mini,0.46,798
ALS11,Note: 5,gpt-4o-mini,1.0,954
GRE13,Note: 4,gpt-4o-mini,0.9,868
HES08,Note: 4,gpt-4o-mini,0.69,902
LDV09,Note: 4,gpt-4o-mini,0.91,743
LDV07,Note: 4,gpt-4o-mini,0.59,845
ALS10,Note: 4,gpt-4o-mini,0.5,917
OCM13,Note: 4,gpt-4o-mini,0.5,650
HES02,Note: 5,gpt-4o-mini,0.69,940
HES03,Note: 4,gpt-4o-mini,0.59,619
NOR05,Note: 4,gpt-4o-mini,0.7,820
LOR03,Note: 5,gpt-4o-mini,0.9,880
CVL02,Note: 4,gpt-4o-mini,0.8,907
UPS04,Note: 4,gpt-4o-mini,0.71,821
HES05,Note: 4,gpt-4o-mini,0.69,762
SEN02,Note: 5,gpt-4o-mini,0.79,896
BOD12,Note: 4,gpt-4o-mini,0.77,917
LYO11,Note: 4,gpt-4o-mini,0.86,871
BOD01,Note: 4,gpt-4o-mini,0.66,865
SOU13,Note: 4,gpt-4o-mini,0.6,894
CFE02,Note: 5,gpt-4o-mini,0.49,663
HES01,Note: 4,gpt-4o-mini,0.49,721
LOR08,Note: 4,gpt-4o-mini,0.73,800
LRE09,Note: 4,gpt-4o-mini,0.75,709
BFC06,Note: 4,gpt-4o-mini,0.49,850
