ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: B,gpt-4o-mini,1.1,468
SEN01,Note: C,gpt-4o-mini,0.68,787
UCA11,Note: B,gpt-4o-mini,0.38,849
UPS10,Note: C,gpt-4o-mini,0.58,952
SPC08,Note: C,gpt-4o-mini,0.55,759
LRE11,Note: C,gpt-4o-mini,0.58,826
SOU15,Note: C,gpt-4o-mini,0.78,901
UCA07,Note: B,gpt-4o-mini,0.49,796
BRE16,Note: C,gpt-4o-mini,0.68,907
SPC09,Note: B,gpt-4o-mini,0.73,618
ALS08,Note: C,gpt-4o-mini,0.75,943
PES08,Note: C,gpt-4o-mini,0.46,783
PES08,Note: C,gpt-4o-mini,0.59,783
LYO02,Note: C,gpt-4o-mini,0.42,785
UCA05,Note: C,gpt-4o-mini,0.43,798
CVL01,Note: C,gpt-4o-mini,0.45,747
BOD07,Note: C,gpt-4o-mini,0.63,848
ALS03,Note: C,gpt-4o-mini,0.52,892
GRE03,Note: C,gpt-4o-mini,0.52,694
PES06,Note: C,gpt-4o-mini,0.54,780
OCM10,Note: C,gpt-4o-mini,0.69,808
LOR02,Note: C,gpt-4o-mini,0.8,800
UPL02,Note: C,gpt-4o-mini,0.7,885
NOR10,Note: C,gpt-4o-mini,0.52,700
BRE14,Note: B,gpt-4o-mini,0.68,816
LYO05,Note: B,gpt-4o-mini,0.49,918
GRE07,Note: C,gpt-4o-mini,0.63,812
POF03,Note: C,gpt-4o-mini,0.64,961
BFC09,Note: C,gpt-4o-mini,0.38,768
BFC10,Note: C,gpt-4o-mini,0.4,708
GRE01,Note: C,gpt-4o-mini,0.67,774
OCM08,Note: B,gpt-4o-mini,0.77,734
OCM08,Note: B,gpt-4o-mini,0.63,734
LYO01,Note: C,gpt-4o-mini,0.58,840
BOD11,Note: C,gpt-4o-mini,0.75,718
LRE02,Note: C,gpt-4o-mini,0.45,879
OCM07,Note: C,gpt-4o-mini,0.64,886
SPC05,Note: C,gpt-4o-mini,0.55,910
BOD04,Note: C,gpt-4o-mini,0.48,777
POF05,Note: C,gpt-4o-mini,0.69,805
SPC03,Note: C,gpt-4o-mini,0.48,688
SOU01,Note: C,gpt-4o-mini,0.58,932
OCM11,Note: C,gpt-4o-mini,0.69,731
NOR04,Note: C,gpt-4o-mini,0.58,701
SPC04,Note: C,gpt-4o-mini,0.48,907
LDV05,Note: C,gpt-4o-mini,0.58,933
ALS05,Note: C,gpt-4o-mini,0.68,830
LYO10,Note: C,gpt-4o-mini,0.4,902
LYO10,Note: C,gpt-4o-mini,0.46,902
OCM14,Note: C,gpt-4o-mini,0.57,831
SOU07,Note: C,gpt-4o-mini,0.79,909
BRE04,Note: C,gpt-4o-mini,0.47,901
HES06,Note: C,gpt-4o-mini,0.67,690
UCA02,Note: C,gpt-4o-mini,0.48,758
PES07,Note: C,gpt-4o-mini,0.78,754
UCA14,Note: B,gpt-4o-mini,0.4,951
CFE05,Note: C,gpt-4o-mini,0.47,832
PES03,Note: C,gpt-4o-mini,0.87,825
ALS04,Note: C,gpt-4o-mini,0.55,950
SOU14,Note: C,gpt-4o-mini,0.64,715
CVL03,Note: C,gpt-4o-mini,0.61,787
NOR12,Note: C,gpt-4o-mini,0.44,937
OCM18,Note: C,gpt-4o-mini,0.46,853
BFC02,Note: C,gpt-4o-mini,0.53,970
CFE09,Note: C,gpt-4o-mini,0.53,874
LDV08,Note: C,gpt-4o-mini,0.48,784
SOU10,Note: C,gpt-4o-mini,0.38,859
SOU09,Note: C,gpt-4o-mini,0.58,656
ALS09,Note: C,gpt-4o-mini,0.67,794
ALS11,Note: C,gpt-4o-mini,0.57,950
GRE13,Note: C,gpt-4o-mini,0.87,864
HES08,Note: C,gpt-4o-mini,0.68,898
LDV09,Note: C,gpt-4o-mini,3.24,739
LDV07,Note: C,gpt-4o-mini,0.58,841
ALS10,Note: C,gpt-4o-mini,0.47,913
OCM13,Note: C,gpt-4o-mini,0.52,646
HES02,Note: C,gpt-4o-mini,0.69,936
HES03,Note: B,gpt-4o-mini,0.62,615
NOR05,Note: B,gpt-4o-mini,0.68,816
LOR03,Note: C,gpt-4o-mini,0.99,876
CVL02,Note: C,gpt-4o-mini,0.81,903
UPS04,Note: C,gpt-4o-mini,0.55,817
HES05,Note: C,gpt-4o-mini,0.69,758
SEN02,Note: C,gpt-4o-mini,0.48,892
BOD12,Note: C,gpt-4o-mini,0.68,913
LYO11,Note: C,gpt-4o-mini,0.67,867
BOD01,Note: C,gpt-4o-mini,0.49,861
SOU13,Note: C,gpt-4o-mini,0.58,890
CFE02,Note: C,gpt-4o-mini,0.61,659
HES01,Note: C,gpt-4o-mini,0.46,717
LOR08,Note: C,gpt-4o-mini,0.47,796
LRE09,Note: B,gpt-4o-mini,0.98,705
BFC06,Note: C,gpt-4o-mini,0.58,846
