ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: A,gpt-4o,1.01,575
SEN01,Note: B,gpt-4o,1.63,894
UCA11,Note: B,gpt-4o,2.04,956
UPS10,Note: B,gpt-4o,0.73,1059
SPC08,Note: B,gpt-4o,3.22,866
LRE11,Note: B,gpt-4o,1.73,933
SOU15,Note: B,gpt-4o,2.14,1008
UCA07,Note: B,gpt-4o,0.7,903
BRE16,Note: B,gpt-4o,2.96,1014
SPC09,Note: B,gpt-4o,2.45,725
ALS08,Note: B,gpt-4o,1.53,1050
PES08,Note: B,gpt-4o,1.32,890
LYO02,Note: B,gpt-4o,1.83,892
UCA05,Note: B,gpt-4o,1.83,905
CVL01,Note: B,gpt-4o,1.62,854
BOD07,Note: B,gpt-4o,1.93,955
ALS03,Note: B,gpt-4o,2.03,999
GRE03,Note: B,gpt-4o,1.53,801
PES06,Note: B,gpt-4o,1.83,887
OCM10,Note: B,gpt-4o,1.73,915
LOR02,Note: B,gpt-4o,1.53,907
UPL02,Note: B,gpt-4o,2.24,992
NOR10,Note: B,gpt-4o,0.8,807
BRE14,Note: B,gpt-4o,0.71,923
LYO05,Note: B,gpt-4o,4.29,1025
GRE07,Note: B,gpt-4o,1.42,919
POF03,Note: B,gpt-4o,2.14,1068
BFC09,Note: B,gpt-4o,2.04,875
BFC10,Note: B,gpt-4o,1.42,815
GRE01,Note: B,gpt-4o,1.73,881
OCM08,Note: B,gpt-4o,1.74,841
LYO01,Note: B,gpt-4o,2.13,947
BOD11,Note: B,gpt-4o,1.28,825
LRE02,Note: B,gpt-4o,1.87,986
OCM07,Note: B,gpt-4o,2.04,993
SPC05,Note: B,gpt-4o,1.86,1017
BOD04,Note: B,gpt-4o,1.9,884
POF05,Note: B,gpt-4o,1.63,912
SPC03,Note: B,gpt-4o,1.91,795
SOU01,Note: B,gpt-4o,2.07,1039
OCM11,Note: B,gpt-4o,1.69,838
NOR04,Note: B,gpt-4o,1.8,808
SPC04,Note: B,gpt-4o,1.5,1014
LDV05,Note: B,gpt-4o,2.05,1040
ALS05,Note: B,gpt-4o,1.96,937
LYO10,Note: B,gpt-4o,2.47,1009
OCM14,Note: A,gpt-4o,1.65,938
SOU07,Note: B,gpt-4o,2.02,1016
BRE04,Note: B,gpt-4o,1.72,1008
HES06,Note: B,gpt-4o,1.82,797
UCA02,Note: B,gpt-4o,1.53,865
PES07,Note: B,gpt-4o,1.93,861
UCA14,Note: B,gpt-4o,2.1,1058
CFE05,Note: B,gpt-4o,2.03,939
PES03,Note: B,gpt-4o,1.36,932
ALS04,Note: B,gpt-4o,2.27,1057
SOU14,Note: B,gpt-4o,1.61,822
CVL03,Note: B,gpt-4o,0.39,894
NOR12,Note: B,gpt-4o,3.47,1044
OCM18,Note: B,gpt-4o,0.6,960
BFC02,Note: B,gpt-4o,3.66,1077
CFE09,Note: B,gpt-4o,0.48,981
LDV08,Note: B,gpt-4o,3.41,891
SOU10,Note: B,gpt-4o,1.39,966
SOU09,Note: B,gpt-4o,1.54,763
ALS09,Note: A,gpt-4o,1.69,901
ALS11,Note: B,gpt-4o,2.38,1057
GRE13,Note: B,gpt-4o,1.83,971
HES08,Note: B,gpt-4o,2.33,1005
LDV09,Note: B,gpt-4o,1.43,846
LDV07,Note: B,gpt-4o,2.03,948
ALS10,Note: B,gpt-4o,1.72,1020
OCM13,Note: B,gpt-4o,1.74,753
HES02,Note: B,gpt-4o,2.44,1043
HES03,Note: B,gpt-4o,0.7,722
NOR05,Note: B,gpt-4o,16.06,923
LOR03,Note: B,gpt-4o,0.53,983
CVL02,Note: B,gpt-4o,0.99,1010
UPS04,Note: B,gpt-4o,0.7,924
HES05,Note: B,gpt-4o,0.7,865
SEN02,Note: B,gpt-4o,0.5,999
BOD12,Note: B,gpt-4o,0.6,1020
LYO11,Note: B,gpt-4o,0.61,974
BOD01,Note: B,gpt-4o,0.47,968
SOU13,Note: B,gpt-4o,0.62,997
CFE02,Note: B,gpt-4o,0.56,766
HES01,Note: B,gpt-4o,0.49,824
LOR08,Note: B,gpt-4o,1.29,903
LRE09,Note: B,gpt-4o,1.9,812
BFC06,Note: B,gpt-4o,2.05,953
