ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 3,gpt-4o-mini,0.49,486
SEN01,Note: 5,gpt-4o-mini,0.7,805
UCA11,Note: 4,gpt-4o-mini,0.6,867
UPS10,Note: 4,gpt-4o-mini,0.5,970
SPC08,Note: 4,gpt-4o-mini,0.49,777
LRE11,Note: 4,gpt-4o-mini,0.5,844
SOU15,Note: 4,gpt-4o-mini,0.81,919
UCA07,Note: 3,gpt-4o-mini,0.49,814
BRE16,Note: 5,gpt-4o-mini,0.7,925
SPC09,Note: 4,gpt-4o-mini,0.8,636
ALS08,Note: 5,gpt-4o-mini,0.66,961
PES08,Note: 5,gpt-4o-mini,0.43,801
PES08,Note: 5,gpt-4o-mini,0.39,801
LYO02,Note: 4,gpt-4o-mini,0.39,803
UCA05,Note: 4,gpt-4o-mini,0.5,816
CVL01,Note: 5,gpt-4o-mini,0.5,765
BOD07,Note: 5,gpt-4o-mini,0.61,866
ALS03,Note: 4,gpt-4o-mini,0.55,910
GRE03,Note: 4,gpt-4o-mini,0.82,712
PES06,Note: 5,gpt-4o-mini,0.6,798
OCM10,Note: 5,gpt-4o-mini,0.66,826
LOR02,Note: 5,gpt-4o-mini,0.74,818
UPL02,Note: 4,gpt-4o-mini,0.56,903
NOR10,Note: 4,gpt-4o-mini,0.62,718
BRE14,Note: 4,gpt-4o-mini,0.7,834
LYO05,Note: 4,gpt-4o-mini,0.8,936
GRE07,Note: 4,gpt-4o-mini,0.7,830
POF03,Note: 5,gpt-4o-mini,0.62,979
BFC09,Note: 5,gpt-4o-mini,0.53,786
BFC10,Note: 5,gpt-4o-mini,0.48,726
GRE01,Note: 5,gpt-4o-mini,0.74,792
OCM08,Note: 4,gpt-4o-mini,0.8,752
OCM08,Note: 4,gpt-4o-mini,0.8,752
LYO01,Note: 5,gpt-4o-mini,0.71,858
BOD11,Note: 4,gpt-4o-mini,0.79,736
LRE02,Note: 5,gpt-4o-mini,0.49,897
OCM07,Note: 5,gpt-4o-mini,0.94,904
SPC05,Note: 5,gpt-4o-mini,0.55,928
BOD04,Note: 4,gpt-4o-mini,0.49,795
POF05,Note: 5,gpt-4o-mini,0.59,823
SPC03,Note: 4,gpt-4o-mini,0.53,706
SOU01,Note: 5,gpt-4o-mini,0.52,950
OCM11,Note: 5,gpt-4o-mini,0.64,749
NOR04,Note: 4,gpt-4o-mini,0.8,719
SPC04,Note: 5,gpt-4o-mini,0.59,925
LDV05,Note: 4,gpt-4o-mini,0.53,951
ALS05,Note: 5,gpt-4o-mini,0.74,848
LYO10,Note: 4,gpt-4o-mini,0.51,920
LYO10,Note: 5,gpt-4o-mini,0.5,920
OCM14,Note: 4,gpt-4o-mini,0.6,849
SOU07,Note: 4,gpt-4o-mini,0.59,927
BRE04,Note: 4,gpt-4o-mini,0.6,919
HES06,Note: 4,gpt-4o-mini,0.74,708
UCA02,Note: 4,gpt-4o-mini,0.57,776
PES07,Note: 4,gpt-4o-mini,0.58,772
UCA14,Note: 4,gpt-4o-mini,0.46,969
CFE05,Note: 5,gpt-4o-mini,0.48,850
PES03,Note: 5,gpt-4o-mini,0.87,843
ALS04,Note: 5,gpt-4o-mini,0.52,968
SOU14,Note: 4,gpt-4o-mini,0.7,733
CVL03,Note: 5,gpt-4o-mini,0.7,805
NOR12,Note: 5,gpt-4o-mini,0.5,955
OCM18,Note: 5,gpt-4o-mini,0.49,871
BFC02,Note: 5,gpt-4o-mini,0.7,988
CFE09,Note: 5,gpt-4o-mini,0.51,892
LDV08,Note: 5,gpt-4o-mini,0.67,802
SOU10,Note: 4,gpt-4o-mini,0.49,877
SOU09,Note: 4,gpt-4o-mini,2.64,674
ALS09,Note: 4,gpt-4o-mini,0.49,812
ALS11,Note: 5,gpt-4o-mini,0.6,968
GRE13,Note: 4,gpt-4o-mini,0.85,882
HES08,Note: 5,gpt-4o-mini,6.4,916
LDV09,Note: 4,gpt-4o-mini,0.87,757
LDV07,Note: 4,gpt-4o-mini,0.59,859
ALS10,Note: 5,gpt-4o-mini,0.49,931
OCM13,Note: 4,gpt-4o-mini,0.5,664
HES02,Note: 4,gpt-4o-mini,0.7,954
HES03,Note: 4,gpt-4o-mini,0.68,633
NOR05,Note: 4,gpt-4o-mini,0.68,834
LOR03,Note: 5,gpt-4o-mini,1.0,894
CVL02,Note: 5,gpt-4o-mini,0.81,921
UPS04,Note: 4,gpt-4o-mini,0.59,835
HES05,Note: 5,gpt-4o-mini,0.79,776
SEN02,Note: 5,gpt-4o-mini,0.6,910
BOD12,Note: 5,gpt-4o-mini,0.76,931
LYO11,Note: 5,gpt-4o-mini,1.03,885
BOD01,Note: 5,gpt-4o-mini,0.49,879
SOU13,Note: 4,gpt-4o-mini,0.59,908
CFE02,Note: 4,gpt-4o-mini,0.6,677
HES01,Note: 4,gpt-4o-mini,0.49,735
LOR08,Note: 4,gpt-4o-mini,0.49,814
LRE09,Note: 4,gpt-4o-mini,0.72,723
BFC06,Note: 5,gpt-4o-mini,0.57,864
