ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: A,gpt-4o,0.61,495
SEN01,Note: C,gpt-4o,2.13,814
UCA11,Note: A,gpt-4o,1.2,876
UPS10,Note: C,gpt-4o,3.1,979
SPC08,Note: C,gpt-4o,0.6,786
LRE11,Note: C,gpt-4o,1.43,853
SOU15,Note: A,gpt-4o,1.94,928
UCA07,Note: A,gpt-4o,1.83,823
BRE16,Note: C,gpt-4o,1.63,934
SPC09,Note: A,gpt-4o,1.52,645
ALS08,Note: C,gpt-4o,1.83,970
PES08,Note: C,gpt-4o,1.83,810
LYO02,Note: A,gpt-4o,1.41,812
UCA05,Note: A,gpt-4o,1.73,825
CVL01,Note: C,gpt-4o,1.59,774
BOD07,Note: C,gpt-4o,1.35,875
ALS03,Note: C,gpt-4o,2.14,919
GRE03,Note: A,gpt-4o,1.42,721
PES06,Note: A,gpt-4o,1.52,807
OCM10,Note: A,gpt-4o,1.83,835
LOR02,Note: C,gpt-4o,1.32,827
UPL02,Note: C,gpt-4o,2.04,912
NOR10,Note: C,gpt-4o,1.42,727
BRE14,Note: C,gpt-4o,1.73,843
LYO05,Note: A,gpt-4o,1.94,945
GRE07,Note: A,gpt-4o,1.52,839
POF03,Note: B,gpt-4o,1.63,988
BFC09,Note: C,gpt-4o,2.04,795
BFC10,Note: C,gpt-4o,1.32,735
GRE01,Note: C,gpt-4o,1.52,801
OCM08,Note: A,gpt-4o,1.57,761
LYO01,Note: C,gpt-4o,2.03,867
BOD11,Note: C,gpt-4o,1.32,745
LRE02,Note: C,gpt-4o,0.46,906
OCM07,Note: A,gpt-4o,3.36,913
SPC05,Note: C,gpt-4o,1.21,937
BOD04,Note: C,gpt-4o,1.8,804
POF05,Note: A,gpt-4o,1.86,832
SPC03,Note: C,gpt-4o,1.61,715
SOU01,Note: C,gpt-4o,1.54,959
OCM11,Note: C,gpt-4o,1.54,758
NOR04,Note: A,gpt-4o,1.46,728
SPC04,Note: C,gpt-4o,2.19,934
LDV05,Note: A,gpt-4o,1.93,960
ALS05,Note: C,gpt-4o,1.42,857
LYO10,Note: C,gpt-4o,3.67,929
OCM14,Note: A,gpt-4o,0.7,858
SOU07,Note: A,gpt-4o,1.52,936
BRE04,Note: C,gpt-4o,1.33,928
HES06,Note: C,gpt-4o,1.25,717
UCA02,Note: A,gpt-4o,1.65,785
PES07,Note: C,gpt-4o,1.67,781
UCA14,Note: A,gpt-4o,1.65,978
CFE05,Note: C,gpt-4o,1.76,859
PES03,Note: C,gpt-4o,4.2,852
ALS04,Note: C,gpt-4o,0.83,977
SOU14,Note: A,gpt-4o,0.72,742
CVL03,Note: C,gpt-4o,0.99,814
NOR12,Note: C,gpt-4o,1.91,964
OCM18,Note: C,gpt-4o,1.59,880
BFC02,Note: C,gpt-4o,2.3,997
CFE09,Note: C,gpt-4o,1.63,901
LDV08,Note: C,gpt-4o,3.37,811
SOU10,Note: A,gpt-4o,0.5,886
SOU09,Note: A,gpt-4o,0.93,683
ALS09,Note: C,gpt-4o,1.6,821
ALS11,Note: C,gpt-4o,2.01,977
GRE13,Note: C,gpt-4o,1.85,891
HES08,Note: A,gpt-4o,1.73,925
LDV09,Note: C,gpt-4o,1.63,766
LDV07,Note: C,gpt-4o,2.24,868
ALS10,Note: C,gpt-4o,1.2,940
OCM13,Note: A,gpt-4o,1.34,673
HES02,Note: C,gpt-4o,1.73,963
HES03,Note: C,gpt-4o,1.31,642
NOR05,Note: C,gpt-4o,1.93,843
LOR03,Note: C,gpt-4o,1.63,903
CVL02,Note: C,gpt-4o,1.79,930
UPS04,Note: C,gpt-4o,2.29,844
HES05,Note: C,gpt-4o,1.01,785
SEN02,Note: C,gpt-4o,1.83,919
BOD12,Note: A,gpt-4o,1.96,940
LYO11,Note: C,gpt-4o,1.48,894
BOD01,Note: A,gpt-4o,2.17,888
SOU13,Note: C,gpt-4o,1.92,917
CFE02,Note: C,gpt-4o,1.21,686
HES01,Note: C,gpt-4o,1.21,744
LOR08,Note: C,gpt-4o,1.62,823
LRE09,Note: C,gpt-4o,1.63,732
BFC06,Note: C,gpt-4o,2.04,873
