,gpt-4o,gpt-4o-mini,gpt-4.1
Présentation du Sujet,0.00038299502106475813,0.013081954597922274,0.0007656967840736773
Structure,0.12169919632606219,0.0821529745042493,0.056569672871859766
Niveau de Langue,0.0077821011673151474,-0.02573529411764719,0.018691588785046842
Voix Passive,0.020408163265306145,0.014745308310991967,0.06684315023163456
Concision,0.1693290734824281,0.04682274247491636,0.17386609071274295
Redondance,0.21009325287986824,0.1607798813224075,0.13729912602199046
Langage Négatif,0.33460076045627374,0.14166085136078155,0.08296943231441045
Métaphore,0.0944661822247066,0.06161137440758302,0.040762902019446434
Discours,0.176327028676022,0.22982885085574567,0.13034142151599748
L'introduction,0.09573267103183557,0.1442307692307694,0.030712333172535904
La conclusion,0.1435926570322762,0.08713490280355553,0.09143144036594902
Persuasivité,0.08549409970297828,0.07755151810754815,0.07247616332478073
Clarté du Langage,0.25389221556886227,0.20535714285714268,0.13163335630599596
Créativité du discours,0.10428821470245037,0.10819791288095107,0.02877310522222869
Global,0.04536563499580497,0.03895045521523271,0.05959591380775173
