Lexical_Feature,Criterion,Spearman_Coefficient,p_value
local_NOUN_overlap,Présentation du Sujet,0.04188418301015102,0.6950833271264327
local_NOUN_overlap,Structure,-0.014239392761908182,0.8940311229864989
local_NOUN_overlap,Niveau de Langue,0.04273448951581874,0.6892075801979693
local_NOUN_overlap,Voix Passive,0.06054989570397762,0.5707700927818122
local_NOUN_overlap,Concision,0.09275474663757907,0.38456003107804837
local_NOUN_overlap,Redondance,-0.06780630154036359,0.5254240983710006
local_NOUN_overlap,Langage Négatif,-0.07550996742156557,0.47935039336865504
local_NOUN_overlap,Métaphore,0.02126138002246341,0.8423361777997156
local_NOUN_overlap,Discours,-0.16579442743915096,0.11835700257620424
local_NOUN_overlap,L'introduction,-0.059589606528730146,0.5769054748025504
local_NOUN_overlap,La conclusion,-0.02964530204841499,0.7814962551927245
local_NOUN_overlap,Persuasivité,0.0076282538209003535,0.9431133112837088
local_NOUN_overlap,Clarté du Langage,0.06355863427145693,0.5517473731651965
local_NOUN_overlap,Créativité du discours,-0.26913883148601536,0.010314563750683339
local_NOUN_overlap,Global,0.009007340488156547,0.9328510236071328
local_content_overlap,Présentation du Sujet,0.07246502896655559,0.49729812711405375
local_content_overlap,Structure,0.1346916366803765,0.2056162360995304
local_content_overlap,Niveau de Langue,0.10391842264377331,0.3297001006572974
local_content_overlap,Voix Passive,0.08673774284028664,0.4162767209702809
local_content_overlap,Concision,0.15176737537047677,0.15330572592076513
local_content_overlap,Redondance,-0.006519273145334012,0.9513724590625082
local_content_overlap,Langage Négatif,0.008236738988434168,0.938584106833964
local_content_overlap,Métaphore,-0.004686793052064114,0.9650307199870674
local_content_overlap,Discours,-0.043736437121557864,0.6823075655635624
local_content_overlap,L'introduction,0.04404864488686203,0.6801628053855491
local_content_overlap,La conclusion,0.10233017032046274,0.3371853322435059
local_content_overlap,Persuasivité,0.10307042663699514,0.3336833388086059
local_content_overlap,Clarté du Langage,0.11673740720038568,0.27319302685602403
local_content_overlap,Créativité du discours,-0.1670598226288647,0.11553453920781895
local_content_overlap,Global,0.12926290176861363,0.22465013109154022
global_NOUN_overlap,Présentation du Sujet,0.28525288537050303,0.006426548614336016
global_NOUN_overlap,Structure,0.1562909080420285,0.14128133715418215
global_NOUN_overlap,Niveau de Langue,0.13094044487056739,0.21864085876554198
global_NOUN_overlap,Voix Passive,0.12280791413132507,0.24885147807535685
global_NOUN_overlap,Concision,0.1491060172143604,0.1607286647694896
global_NOUN_overlap,Redondance,-0.002607730723853015,0.9805388702797571
global_NOUN_overlap,Langage Négatif,-0.07733446375328124,0.4687651319487527
global_NOUN_overlap,Métaphore,0.18888731884837837,0.07458939558951891
global_NOUN_overlap,Discours,-0.07715713377479025,0.4697883445946396
global_NOUN_overlap,L'introduction,0.11753521906643966,0.26990571662213064
global_NOUN_overlap,La conclusion,0.16657728328377872,0.11660464398748589
global_NOUN_overlap,Persuasivité,0.15194832813704737,0.15281048464923955
global_NOUN_overlap,Clarté du Langage,0.14904503281193823,0.1609018332199737
global_NOUN_overlap,Créativité du discours,-0.04465875750098054,0.6759788868120551
global_NOUN_overlap,Global,0.16478396406646667,0.1206487665215115
global_content_overlap,Présentation du Sujet,0.13876001284395129,0.1921273232321351
global_content_overlap,Structure,0.23578849464173582,0.025269148757871698
global_content_overlap,Niveau de Langue,0.08987793411903205,0.39953895326608146
global_content_overlap,Voix Passive,0.1532933007349636,0.1491669180441401
global_content_overlap,Concision,0.1637483363193159,0.12303286908104252
