ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: B,gpt-4o-mini,0.5,531
SEN01,Note: C,gpt-4o-mini,0.72,850
UCA11,Note: C,gpt-4o-mini,0.38,912
UPS10,Note: C,gpt-4o-mini,0.46,1015
SPC08,Note: B,gpt-4o-mini,0.51,822
LRE11,Note: B,gpt-4o-mini,0.69,889
SOU15,Note: B,gpt-4o-mini,0.7,964
UCA07,Note: B,gpt-4o-mini,0.57,859
BRE16,Note: C,gpt-4o-mini,2.28,970
SPC09,Note: B,gpt-4o-mini,0.83,681
ALS08,Note: C,gpt-4o-mini,0.8,1006
PES08,Note: C,gpt-4o-mini,0.49,846
PES08,Note: C,gpt-4o-mini,0.5,846
LYO02,Note: C,gpt-4o-mini,0.42,848
UCA05,Note: B,gpt-4o-mini,0.67,861
CVL01,Note: B,gpt-4o-mini,0.5,810
BOD07,Note: C,gpt-4o-mini,0.6,911
ALS03,Note: B,gpt-4o-mini,0.69,955
GRE03,Note: C,gpt-4o-mini,0.54,757
PES06,Note: B,gpt-4o-mini,0.53,843
OCM10,Note: C,gpt-4o-mini,0.93,871
LOR02,Note: C,gpt-4o-mini,0.91,863
UPL02,Note: C,gpt-4o-mini,0.59,948
NOR10,Note: B,gpt-4o-mini,1.21,763
BRE14,Note: B,gpt-4o-mini,0.8,879
LYO05,Note: C,gpt-4o-mini,0.5,981
GRE07,Note: B,gpt-4o-mini,0.6,875
POF03,Note: B,gpt-4o-mini,0.59,1024
BFC09,Note: B,gpt-4o-mini,0.39,831
BFC10,Note: C,gpt-4o-mini,0.5,771
GRE01,Note: C,gpt-4o-mini,0.69,837
OCM08,Note: C,gpt-4o-mini,0.63,797
OCM08,Note: C,gpt-4o-mini,0.66,797
LYO01,Note: B,gpt-4o-mini,0.6,903
BOD11,Note: B,gpt-4o-mini,0.69,781
LRE02,Note: C,gpt-4o-mini,0.5,942
OCM07,Note: C,gpt-4o-mini,0.59,949
SPC05,Note: C,gpt-4o-mini,0.69,973
BOD04,Note: C,gpt-4o-mini,0.6,840
POF05,Note: B,gpt-4o-mini,0.5,868
SPC03,Note: B,gpt-4o-mini,0.49,751
SOU01,Note: C,gpt-4o-mini,0.6,995
OCM11,Note: C,gpt-4o-mini,0.4,794
NOR04,Note: B,gpt-4o-mini,0.7,764
SPC04,Note: C,gpt-4o-mini,0.59,970
LDV05,Note: C,gpt-4o-mini,0.6,996
ALS05,Note: B,gpt-4o-mini,0.7,893
LYO10,Note: B,gpt-4o-mini,0.53,965
LYO10,Note: B,gpt-4o-mini,0.57,965
OCM14,Note: B,gpt-4o-mini,0.5,894
SOU07,Note: B,gpt-4o-mini,0.7,972
BRE04,Note: B,gpt-4o-mini,0.39,964
HES06,Note: B,gpt-4o-mini,0.7,753
UCA02,Note: C,gpt-4o-mini,0.6,821
PES07,Note: B,gpt-4o-mini,0.6,817
UCA14,Note: B,gpt-4o-mini,0.44,1014
CFE05,Note: B,gpt-4o-mini,0.46,895
PES03,Note: B,gpt-4o-mini,0.9,888
ALS04,Note: C,gpt-4o-mini,2.44,1013
SOU14,Note: B,gpt-4o-mini,0.7,778
CVL03,Note: B,gpt-4o-mini,0.64,850
NOR12,Note: B,gpt-4o-mini,0.56,1000
OCM18,Note: B,gpt-4o-mini,0.6,916
BFC02,Note: B,gpt-4o-mini,0.5,1033
CFE09,Note: C,gpt-4o-mini,0.58,937
LDV08,Note: C,gpt-4o-mini,0.5,847
SOU10,Note: B,gpt-4o-mini,0.5,922
SOU09,Note: B,gpt-4o-mini,0.47,719
ALS09,Note: C,gpt-4o-mini,0.83,857
ALS11,Note: C,gpt-4o-mini,0.5,1013
GRE13,Note: C,gpt-4o-mini,0.9,927
HES08,Note: B,gpt-4o-mini,0.7,961
LDV09,Note: B,gpt-4o-mini,0.91,802
LDV07,Note: C,gpt-4o-mini,0.48,904
ALS10,Note: C,gpt-4o-mini,0.51,976
OCM13,Note: B,gpt-4o-mini,4.9,709
HES02,Note: C,gpt-4o-mini,0.69,999
HES03,Note: C,gpt-4o-mini,0.59,678
NOR05,Note: B,gpt-4o-mini,0.7,879
LOR03,Note: C,gpt-4o-mini,0.9,939
CVL02,Note: B,gpt-4o-mini,0.79,966
UPS04,Note: B,gpt-4o-mini,0.54,880
HES05,Note: B,gpt-4o-mini,0.83,821
SEN02,Note: C,gpt-4o-mini,0.69,955
BOD12,Note: B,gpt-4o-mini,0.7,976
LYO11,Note: C,gpt-4o-mini,0.9,930
BOD01,Note: B,gpt-4o-mini,0.5,924
SOU13,Note: B,gpt-4o-mini,0.49,953
CFE02,Note: C,gpt-4o-mini,0.5,722
HES01,Note: B,gpt-4o-mini,1.11,780
LOR08,Note: B,gpt-4o-mini,0.49,859
LRE09,Note: C,gpt-4o-mini,0.74,768
BFC06,Note: B,gpt-4o-mini,0.54,909
