ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 2,gpt-4o-mini,0.48,1965
SEN01,Note: 4,gpt-4o-mini,0.71,2176
UCA11,Note: 4,gpt-4o-mini,0.7,2178
UPS10,Note: 4,gpt-4o-mini,0.7,2454
SPC08,Note: 4,gpt-4o-mini,0.58,1913
LRE11,Note: 4,gpt-4o-mini,0.8,2397
SOU15,Note: 4,gpt-4o-mini,0.8,2520
UCA07,Note: 2,gpt-4o-mini,0.6,2000
BRE16,Note: 4,gpt-4o-mini,0.6,2238
SPC09,Note: 2,gpt-4o-mini,0.6,2254
ALS08,Note: 4,gpt-4o-mini,0.8,2468
PES08,Note: 4,gpt-4o-mini,0.49,2475
LYO02,Note: 4,gpt-4o-mini,0.65,2282
UCA05,Note: 4,gpt-4o-mini,0.56,2349
CVL01,Note: 4,gpt-4o-mini,0.49,2104
BOD07,Note: 4,gpt-4o-mini,0.74,2288
ALS03,Note: 4,gpt-4o-mini,0.66,2468
GRE03,Note: 4,gpt-4o-mini,0.59,2359
PES06,Note: 4,gpt-4o-mini,0.73,2198
OCM10,Note: 4,gpt-4o-mini,0.66,2197
LOR02,Note: 4,gpt-4o-mini,0.66,2244
UPL02,Note: 4,gpt-4o-mini,1.06,2333
NOR10,Note: 4,gpt-4o-mini,0.5,2194
BRE14,Note: 4,gpt-4o-mini,0.39,2007
LYO05,Note: 3,gpt-4o-mini,0.76,2345
GRE07,Note: 2,gpt-4o-mini,0.49,2217
POF03,Note: 4,gpt-4o-mini,0.56,2598
BFC09,Note: 4,gpt-4o-mini,0.63,2319
BFC10,Note: 4,gpt-4o-mini,0.49,1917
GRE01,Note: 4,gpt-4o-mini,0.55,2331
OCM08,Note: 2,gpt-4o-mini,0.54,2150
LYO01,Note: 4,gpt-4o-mini,0.75,2397
BOD11,Note: 3,gpt-4o-mini,0.58,2457
LRE02,Note: 4,gpt-4o-mini,0.56,2378
OCM07,Note: 4,gpt-4o-mini,0.55,2462
SPC05,Note: 5,gpt-4o-mini,0.69,2063
BOD04,Note: 4,gpt-4o-mini,0.6,2213
POF05,Note: 4,gpt-4o-mini,0.65,2009
SPC03,Note: 4,gpt-4o-mini,0.49,1944
SOU01,Note: 4,gpt-4o-mini,0.78,2449
OCM11,Note: 5,gpt-4o-mini,0.61,1922
NOR04,Note: 4,gpt-4o-mini,2.39,2128
SPC04,Note: 4,gpt-4o-mini,0.74,2441
LDV05,Note: 4,gpt-4o-mini,0.7,2425
ALS05,Note: 4,gpt-4o-mini,0.72,2382
LYO10,Note: 4,gpt-4o-mini,0.7,2318
OCM14,Note: 4,gpt-4o-mini,0.7,2354
SOU07,Note: 3,gpt-4o-mini,0.61,2262
BRE04,Note: 4,gpt-4o-mini,0.81,2418
HES06,Note: 4,gpt-4o-mini,0.59,2079
UCA02,Note: 4,gpt-4o-mini,0.59,1832
PES07,Note: 4,gpt-4o-mini,0.6,2198
UCA14,Note: 2,gpt-4o-mini,0.7,2570
CFE05,Note: 4,gpt-4o-mini,0.54,2519
PES03,Note: 5,gpt-4o-mini,0.86,2262
ALS04,Note: 5,gpt-4o-mini,0.71,2279
SOU14,Note: 4,gpt-4o-mini,0.8,2209
CVL03,Note: 5,gpt-4o-mini,0.6,2230
NOR12,Note: 4,gpt-4o-mini,0.66,2146
OCM18,Note: 4,gpt-4o-mini,0.64,2429
BFC02,Note: 4,gpt-4o-mini,0.7,2331
CFE09,Note: 4,gpt-4o-mini,0.5,2232
LDV08,Note: 4,gpt-4o-mini,0.59,2201
SOU10,Note: 4,gpt-4o-mini,0.7,2249
SOU09,Note: 3,gpt-4o-mini,0.6,2013
ALS09,Note: 4,gpt-4o-mini,0.6,2296
ALS11,Note: 4,gpt-4o-mini,0.54,2422
GRE13,Note: 3,gpt-4o-mini,0.45,2217
HES08,Note: 4,gpt-4o-mini,0.74,2443
LDV09,Note: 4,gpt-4o-mini,0.66,2183
LDV07,Note: 3,gpt-4o-mini,0.6,2343
ALS10,Note: 5,gpt-4o-mini,0.8,2303
OCM13,Note: 3,gpt-4o-mini,0.8,2189
HES02,Note: 4,gpt-4o-mini,0.59,2144
HES03,Note: 3,gpt-4o-mini,0.57,1998
NOR05,Note: 3,gpt-4o-mini,0.63,2435
LOR03,Note: 3,gpt-4o-mini,1.52,2443
CVL02,Note: 4,gpt-4o-mini,0.6,2594
UPS04,Note: 3,gpt-4o-mini,0.5,2298
HES05,Note: 3,gpt-4o-mini,0.6,2116
SEN02,Note: 3,gpt-4o-mini,0.5,2426
BOD12,Note: 4,gpt-4o-mini,0.4,2270
LYO11,Note: 4,gpt-4o-mini,0.49,2366
BOD01,Note: 4,gpt-4o-mini,0.7,2251
SOU13,Note: 4,gpt-4o-mini,0.5,2555
CFE02,Note: 3,gpt-4o-mini,1.31,2234
HES01,Note: 3,gpt-4o-mini,0.65,2020
LOR08,Note: 4,gpt-4o-mini,0.86,2461
LRE09,Note: 2,gpt-4o-mini,1.62,2397
BFC06,Note: 4,gpt-4o-mini,0.59,2026
