ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: A,gpt-4o-mini,0.8,3019
SEN01,Note: A,gpt-4o-mini,0.81,3979
UCA11,Note: A,gpt-4o-mini,1.01,3736
UPS10,Note: A,gpt-4o-mini,0.9,4500
SPC08,Note: A,gpt-4o-mini,0.6,3775
LRE11,Note: A,gpt-4o-mini,0.7,3771
SOU15,Note: A,gpt-4o-mini,0.8,4045
UCA07,Note: A,gpt-4o-mini,0.59,3925
BRE16,Note: B,gpt-4o-mini,0.7,3953
SPC09,Note: A,gpt-4o-mini,0.6,3327
ALS08,Note: A,gpt-4o-mini,0.49,3966
PES08,Note: A,gpt-4o-mini,3.94,3863
LYO02,Note: A,gpt-4o-mini,0.53,3944
UCA05,Note: A,gpt-4o-mini,0.8,4208
CVL01,Note: A,gpt-4o-mini,0.81,3621
BOD07,Note: A,gpt-4o-mini,0.61,3913
ALS03,Note: A,gpt-4o-mini,0.8,4095
GRE03,Note: A,gpt-4o-mini,0.91,3785
PES06,Note: A,gpt-4o-mini,2.79,4067
OCM10,Note: A,gpt-4o-mini,0.96,3816
LOR02,Note: A,gpt-4o-mini,0.56,3875
UPL02,Note: A,gpt-4o-mini,0.66,4175
NOR10,Note: A,gpt-4o-mini,0.99,3678
BRE14,Note: A,gpt-4o-mini,2.24,3759
LYO05,Note: A,gpt-4o-mini,0.48,4161
GRE07,Note: A,gpt-4o-mini,0.51,3948
POF03,Note: A,gpt-4o-mini,2.38,4271
BFC09,Note: B,gpt-4o-mini,0.84,3517
BFC10,Note: A,gpt-4o-mini,0.61,3674
GRE01,Note: A,gpt-4o-mini,1.28,3797
OCM08,Note: A,gpt-4o-mini,0.54,3702
LYO01,Note: A,gpt-4o-mini,2.44,3929
BOD11,Note: A,gpt-4o-mini,0.89,3515
LRE02,Note: A,gpt-4o-mini,0.52,3875
OCM07,Note: A,gpt-4o-mini,0.52,3816
SPC05,Note: A,gpt-4o-mini,1.62,4098
BOD04,Note: A,gpt-4o-mini,1.06,3769
POF05,Note: A,gpt-4o-mini,1.25,3506
SPC03,Note: A,gpt-4o-mini,0.6,3777
SOU01,Note: A,gpt-4o-mini,1.31,4072
OCM11,Note: A,gpt-4o-mini,1.42,3629
NOR04,Note: A,gpt-4o-mini,0.7,3623
SPC04,Note: A,gpt-4o-mini,2.34,3972
LDV05,Note: A,gpt-4o-mini,0.49,3973
ALS05,Note: B,gpt-4o-mini,0.6,3954
LYO10,Note: A,gpt-4o-mini,2.34,4155
OCM14,Note: A,gpt-4o-mini,1.83,3815
SOU07,Note: A,gpt-4o-mini,1.62,4016
BRE04,Note: A,gpt-4o-mini,0.88,4250
HES06,Note: A,gpt-4o-mini,0.73,3638
UCA02,Note: A,gpt-4o-mini,0.7,3616
PES07,Note: A,gpt-4o-mini,0.8,3594
UCA14,Note: A,gpt-4o-mini,0.51,4185
CFE05,Note: B,gpt-4o-mini,1.19,3725
PES03,Note: A,gpt-4o-mini,2.14,3979
ALS04,Note: A,gpt-4o-mini,1.01,4136
SOU14,Note: A,gpt-4o-mini,0.61,3583
CVL03,Note: A,gpt-4o-mini,1.0,3991
NOR12,Note: B,gpt-4o-mini,1.32,4287
OCM18,Note: A,gpt-4o-mini,0.85,3818
BFC02,Note: A,gpt-4o-mini,1.17,4003
CFE09,Note: A,gpt-4o-mini,2.03,3840
LDV08,Note: A,gpt-4o-mini,0.68,3959
SOU10,Note: A,gpt-4o-mini,0.97,4051
SOU09,Note: A,gpt-4o-mini,0.96,3443
ALS09,Note: A,gpt-4o-mini,1.32,3954
ALS11,Note: A,gpt-4o-mini,2.24,4378
GRE13,Note: A,gpt-4o-mini,0.5,3784
HES08,Note: B,gpt-4o-mini,1.73,3960
LDV09,Note: A,gpt-4o-mini,1.11,3892
LDV07,Note: A,gpt-4o-mini,1.07,3536
ALS10,Note: A,gpt-4o-mini,0.77,4155
OCM13,Note: A,gpt-4o-mini,0.48,3573
HES02,Note: A,gpt-4o-mini,1.14,4012
HES03,Note: A,gpt-4o-mini,2.2,3381
NOR05,Note: A,gpt-4o-mini,0.8,3737
LOR03,Note: A,gpt-4o-mini,0.96,3957
CVL02,Note: A,gpt-4o-mini,0.66,3946
UPS04,Note: A,gpt-4o-mini,2.3,3939
HES05,Note: A,gpt-4o-mini,0.64,3700
SEN02,Note: A,gpt-4o-mini,0.7,4355
BOD12,Note: A,gpt-4o-mini,1.04,4151
LYO11,Note: A,gpt-4o-mini,0.58,4118
BOD01,Note: A,gpt-4o-mini,1.1,3719
SOU13,Note: A,gpt-4o-mini,1.82,3883
CFE02,Note: A,gpt-4o-mini,2.03,3511
HES01,Note: A,gpt-4o-mini,0.82,3796
LOR08,Note: A,gpt-4o-mini,0.58,4057
LRE09,Note: A,gpt-4o-mini,2.13,3701
BFC06,Note: A,gpt-4o-mini,0.7,4241
