ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: 2,gpt-4o,0.71,477
SEN01,Note: 4,gpt-4o,1.62,796
UCA11,Note: 4,gpt-4o,1.73,858
UPS10,Note: 4,gpt-4o,1.93,961
SPC08,Note: 4,gpt-4o,1.42,768
LRE11,Note: 4,gpt-4o,1.83,835
SOU15,Note: 5,gpt-4o,1.52,910
UCA07,Note: 3,gpt-4o,4.82,805
BRE16,Note: 5,gpt-4o,0.7,916
SPC09,Note: 2,gpt-4o,1.09,627
ALS08,Note: 5,gpt-4o,0.81,952
PES08,Note: 4,gpt-4o,0.81,792
LYO02,Note: 4,gpt-4o,1.76,794
UCA05,Note: 4,gpt-4o,1.48,807
CVL01,Note: 4,gpt-4o,1.63,756
BOD07,Note: 4,gpt-4o,2.03,857
ALS03,Note: 4,gpt-4o,1.21,901
GRE03,Note: 4,gpt-4o,1.91,703
PES06,Note: 5,gpt-4o,1.28,789
OCM10,Note: 5,gpt-4o,1.37,817
LOR02,Note: 5,gpt-4o,1.49,809
UPL02,Note: 4,gpt-4o,2.06,894
NOR10,Note: 4,gpt-4o,1.42,709
BRE14,Note: 4,gpt-4o,1.42,825
LYO05,Note: 3,gpt-4o,2.11,927
GRE07,Note: 4,gpt-4o,1.55,821
POF03,Note: 4,gpt-4o,1.83,970
BFC09,Note: 5,gpt-4o,1.73,777
BFC10,Note: 4,gpt-4o,1.21,717
GRE01,Note: 4,gpt-4o,1.52,783
OCM08,Note: 3,gpt-4o,1.71,743
LYO01,Note: 4,gpt-4o,1.54,849
BOD11,Note: 4,gpt-4o,1.73,727
LRE02,Note: 4,gpt-4o,1.52,888
OCM07,Note: 4,gpt-4o,1.52,895
SPC05,Note: 4,gpt-4o,3.57,919
BOD04,Note: 4,gpt-4o,0.7,786
POF05,Note: 5,gpt-4o,0.81,814
SPC03,Note: 4,gpt-4o,1.83,697
SOU01,Note: 4,gpt-4o,1.44,941
OCM11,Note: 5,gpt-4o,1.2,740
NOR04,Note: 4,gpt-4o,1.83,710
SPC04,Note: 5,gpt-4o,1.94,916
LDV05,Note: 5,gpt-4o,1.73,942
ALS05,Note: 4,gpt-4o,1.73,839
LYO10,Note: 4,gpt-4o,2.03,911
OCM14,Note: 4,gpt-4o,1.32,840
SOU07,Note: 4,gpt-4o,1.73,918
BRE04,Note: 5,gpt-4o,1.83,910
HES06,Note: 4,gpt-4o,1.42,699
UCA02,Note: 4,gpt-4o,1.93,767
PES07,Note: 4,gpt-4o,1.42,763
UCA14,Note: 4,gpt-4o,1.62,960
CFE05,Note: 5,gpt-4o,1.63,841
PES03,Note: 5,gpt-4o,1.63,834
ALS04,Note: 4,gpt-4o,2.03,959
SOU14,Note: 5,gpt-4o,1.42,724
CVL03,Note: 4,gpt-4o,1.49,796
NOR12,Note: 5,gpt-4o,1.97,946
OCM18,Note: 4,gpt-4o,1.73,862
BFC02,Note: 5,gpt-4o,2.18,979
CFE09,Note: 4,gpt-4o,1.48,883
LDV08,Note: 4,gpt-4o,1.74,793
SOU10,Note: 4,gpt-4o,1.5,868
SOU09,Note: 4,gpt-4o,1.26,665
ALS09,Note: 4,gpt-4o,1.9,803
ALS11,Note: 5,gpt-4o,3.26,959
GRE13,Note: 4,gpt-4o,0.71,873
HES08,Note: 5,gpt-4o,1.21,907
LDV09,Note: 4,gpt-4o,1.62,748
LDV07,Note: 4,gpt-4o,1.74,850
ALS10,Note: 5,gpt-4o,1.79,922
OCM13,Note: 4,gpt-4o,1.29,655
HES02,Note: 5,gpt-4o,1.59,945
HES03,Note: 4,gpt-4o,1.11,624
NOR05,Note: 4,gpt-4o,1.93,825
LOR03,Note: 4,gpt-4o,1.8,885
CVL02,Note: 4,gpt-4o,1.96,912
UPS04,Note: 4,gpt-4o,1.52,826
HES05,Note: 4,gpt-4o,1.83,767
SEN02,Note: 4,gpt-4o,1.31,901
BOD12,Note: 4,gpt-4o,2.34,922
LYO11,Note: 4,gpt-4o,1.21,876
BOD01,Note: 4,gpt-4o,1.83,870
SOU13,Note: 4,gpt-4o,1.73,899
CFE02,Note: 4,gpt-4o,0.7,668
HES01,Note: 4,gpt-4o,0.6,726
LOR08,Note: 4,gpt-4o,1.32,805
LRE09,Note: 4,gpt-4o,1.83,714
BFC06,Note: 5,gpt-4o,3.38,855
