ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: C,gpt-4o-mini,0.8,3021
SEN01,Note: A,gpt-4o-mini,0.7,3470
UCA11,Note: A,gpt-4o-mini,1.01,3675
UPS10,Note: A,gpt-4o-mini,1.21,3907
SPC08,Note: A,gpt-4o-mini,0.88,3590
LRE11,Note: A,gpt-4o-mini,1.24,3820
SOU15,Note: A,gpt-4o-mini,2.28,3974
UCA07,Note: A,gpt-4o-mini,0.76,3854
BRE16,Note: A,gpt-4o-mini,0.51,3860
SPC09,Note: A,gpt-4o-mini,1.93,3683
ALS08,Note: A,gpt-4o-mini,0.7,3701
PES08,Note: A,gpt-4o-mini,0.64,3378
LYO02,Note: A,gpt-4o-mini,0.88,3775
UCA05,Note: B,gpt-4o-mini,1.21,3720
CVL01,Note: A,gpt-4o-mini,0.7,3338
BOD07,Note: A,gpt-4o-mini,0.8,3807
ALS03,Note: A,gpt-4o-mini,2.4,4000
GRE03,Note: A,gpt-4o-mini,0.68,3439
PES06,Note: A,gpt-4o-mini,0.45,3780
OCM10,Note: A,gpt-4o-mini,2.13,3679
LOR02,Note: A,gpt-4o-mini,0.47,3686
UPL02,Note: A,gpt-4o-mini,0.72,3555
NOR10,Note: A,gpt-4o-mini,1.03,3538
BRE14,Note: A,gpt-4o-mini,2.58,3713
LYO05,Note: B,gpt-4o-mini,0.42,3982
GRE07,Note: A,gpt-4o-mini,0.55,3494
POF03,Note: A,gpt-4o-mini,2.21,3932
BFC09,Note: A,gpt-4o-mini,0.59,3387
BFC10,Note: B,gpt-4o-mini,0.6,3580
GRE01,Note: A,gpt-4o-mini,0.69,3362
OCM08,Note: A,gpt-4o-mini,2.04,3695
LYO01,Note: A,gpt-4o-mini,0.59,3570
BOD11,Note: A,gpt-4o-mini,0.58,3452
LRE02,Note: A,gpt-4o-mini,1.04,4037
OCM07,Note: A,gpt-4o-mini,1.52,3909
SPC05,Note: A,gpt-4o-mini,1.92,3753
BOD04,Note: A,gpt-4o-mini,0.8,3669
POF05,Note: A,gpt-4o-mini,1.22,3746
SPC03,Note: A,gpt-4o-mini,1.0,3264
SOU01,Note: A,gpt-4o-mini,0.52,3872
OCM11,Note: C,gpt-4o-mini,0.67,3607
NOR04,Note: A,gpt-4o-mini,1.21,3469
SPC04,Note: A,gpt-4o-mini,0.8,3667
LDV05,Note: A,gpt-4o-mini,1.64,4321
ALS05,Note: A,gpt-4o-mini,1.0,3748
LYO10,Note: A,gpt-4o-mini,1.32,3998
OCM14,Note: C,gpt-4o-mini,1.62,3868
SOU07,Note: A,gpt-4o-mini,1.06,3430
BRE04,Note: A,gpt-4o-mini,0.66,3825
HES06,Note: A,gpt-4o-mini,0.6,3418
UCA02,Note: A,gpt-4o-mini,2.44,3607
PES07,Note: A,gpt-4o-mini,0.7,3628
UCA14,Note: A,gpt-4o-mini,0.51,3889
CFE05,Note: A,gpt-4o-mini,1.2,3835
PES03,Note: A,gpt-4o-mini,2.13,3789
ALS04,Note: A,gpt-4o-mini,0.66,4034
SOU14,Note: A,gpt-4o-mini,3.23,3318
CVL03,Note: A,gpt-4o-mini,0.57,3587
NOR12,Note: A,gpt-4o-mini,0.78,4033
OCM18,Note: A,gpt-4o-mini,0.65,3877
BFC02,Note: A,gpt-4o-mini,0.48,3875
CFE09,Note: A,gpt-4o-mini,0.52,3879
LDV08,Note: A,gpt-4o-mini,0.97,3617
SOU10,Note: A,gpt-4o-mini,0.65,3564
SOU09,Note: B,gpt-4o-mini,0.64,3431
ALS09,Note: A,gpt-4o-mini,1.42,3839
ALS11,Note: A,gpt-4o-mini,0.53,3980
GRE13,Note: A,gpt-4o-mini,1.78,3483
HES08,Note: A,gpt-4o-mini,2.16,3855
LDV09,Note: A,gpt-4o-mini,1.1,3154
LDV07,Note: A,gpt-4o-mini,0.69,3515
ALS10,Note: A,gpt-4o-mini,0.7,3895
OCM13,Note: A,gpt-4o-mini,0.6,3457
HES02,Note: A,gpt-4o-mini,1.13,3760
HES03,Note: A,gpt-4o-mini,1.09,3274
NOR05,Note: A,gpt-4o-mini,1.2,3907
LOR03,Note: A,gpt-4o-mini,1.11,3733
CVL02,Note: A,gpt-4o-mini,2.02,3791
UPS04,Note: A,gpt-4o-mini,0.7,3812
HES05,Note: A,gpt-4o-mini,0.6,3712
SEN02,Note: A,gpt-4o-mini,1.34,3939
BOD12,Note: A,gpt-4o-mini,0.98,3882
LYO11,Note: A,gpt-4o-mini,0.71,3862
BOD01,Note: A,gpt-4o-mini,1.78,3863
SOU13,Note: A,gpt-4o-mini,1.89,3986
CFE02,Note: A,gpt-4o-mini,0.56,3431
HES01,Note: A,gpt-4o-mini,0.82,3573
LOR08,Note: A,gpt-4o-mini,0.7,3081
LRE09,Note: A,gpt-4o-mini,3.67,3393
BFC06,Note: A,gpt-4o-mini,0.6,3793
