ID,Model Output,Model,Time Spent (s),Tokens
PES04,Note: A,gpt-4o-mini,0.69,3283
SEN01,Note: C,gpt-4o-mini,1.11,3741
UCA11,Note: C,gpt-4o-mini,0.9,3814
UPS10,Note: B,gpt-4o-mini,0.92,4105
SPC08,Note: B,gpt-4o-mini,0.47,3577
LRE11,Note: C,gpt-4o-mini,0.72,3808
SOU15,Note: C,gpt-4o-mini,0.79,3886
UCA07,Note: A,gpt-4o-mini,0.7,3568
BRE16,Note: C,gpt-4o-mini,1.11,3770
SPC09,Note: B,gpt-4o-mini,0.7,3200
ALS08,Note: C,gpt-4o-mini,0.48,3899
PES08,Note: C,gpt-4o-mini,0.58,3654
LYO02,Note: B,gpt-4o-mini,0.63,3575
UCA05,Note: B,gpt-4o-mini,0.6,3954
CVL01,Note: B,gpt-4o-mini,1.11,3776
BOD07,Note: B,gpt-4o-mini,1.03,3738
ALS03,Note: B,gpt-4o-mini,0.58,4046
GRE03,Note: C,gpt-4o-mini,0.6,3666
PES06,Note: C,gpt-4o-mini,1.21,3804
OCM10,Note: C,gpt-4o-mini,0.59,3573
LOR02,Note: C,gpt-4o-mini,0.6,3655
UPL02,Note: B,gpt-4o-mini,0.47,4063
NOR10,Note: B,gpt-4o-mini,0.74,3464
BRE14,Note: B,gpt-4o-mini,1.39,3721
LYO05,Note: B,gpt-4o-mini,0.58,3816
GRE07,Note: B,gpt-4o-mini,0.72,3616
POF03,Note: C,gpt-4o-mini,0.91,4172
BFC09,Note: C,gpt-4o-mini,0.6,3842
BFC10,Note: C,gpt-4o-mini,0.6,3258
GRE01,Note: C,gpt-4o-mini,0.56,3507
OCM08,Note: B,gpt-4o-mini,0.64,3408
LYO01,Note: C,gpt-4o-mini,0.49,3615
BOD11,Note: B,gpt-4o-mini,0.6,3941
LRE02,Note: C,gpt-4o-mini,0.5,3843
OCM07,Note: C,gpt-4o-mini,0.6,4055
SPC05,Note: C,gpt-4o-mini,0.72,4124
BOD04,Note: B,gpt-4o-mini,1.19,3778
POF05,Note: C,gpt-4o-mini,0.66,3872
SPC03,Note: C,gpt-4o-mini,0.58,3524
SOU01,Note: C,gpt-4o-mini,0.66,4022
OCM11,Note: C,gpt-4o-mini,0.59,3595
NOR04,Note: C,gpt-4o-mini,1.01,3375
SPC04,Note: C,gpt-4o-mini,1.01,4030
LDV05,Note: C,gpt-4o-mini,0.6,3941
ALS05,Note: C,gpt-4o-mini,0.8,3929
LYO10,Note: B,gpt-4o-mini,0.57,3984
OCM14,Note: B,gpt-4o-mini,0.67,3721
SOU07,Note: B,gpt-4o-mini,0.98,4055
BRE04,Note: C,gpt-4o-mini,0.98,4038
HES06,Note: B,gpt-4o-mini,0.8,3267
UCA02,Note: B,gpt-4o-mini,0.7,3860
PES07,Note: B,gpt-4o-mini,0.7,3730
UCA14,Note: B,gpt-4o-mini,0.69,4077
CFE05,Note: B,gpt-4o-mini,1.32,3909
PES03,Note: C,gpt-4o-mini,1.2,3761
ALS04,Note: C,gpt-4o-mini,0.67,3756
SOU14,Note: C,gpt-4o-mini,0.64,3743
CVL03,Note: C,gpt-4o-mini,1.11,3724
NOR12,Note: C,gpt-4o-mini,0.71,3911
OCM18,Note: C,gpt-4o-mini,0.56,3672
BFC02,Note: B,gpt-4o-mini,0.44,4159
CFE09,Note: C,gpt-4o-mini,0.69,3889
LDV08,Note: C,gpt-4o-mini,0.8,3592
SOU10,Note: C,gpt-4o-mini,0.7,3561
SOU09,Note: B,gpt-4o-mini,0.7,3253
ALS09,Note: B,gpt-4o-mini,0.63,3568
ALS11,Note: C,gpt-4o-mini,0.57,4003
GRE13,Note: B,gpt-4o-mini,0.61,3345
HES08,Note: C,gpt-4o-mini,0.59,3695
LDV09,Note: B,gpt-4o-mini,1.23,3517
LDV07,Note: B,gpt-4o-mini,0.58,3837
ALS10,Note: C,gpt-4o-mini,0.79,3748
OCM13,Note: B,gpt-4o-mini,0.61,3262
HES02,Note: B,gpt-4o-mini,0.81,4029
HES03,Note: B,gpt-4o-mini,0.81,3385
NOR05,Note: B,gpt-4o-mini,0.7,3802
LOR03,Note: B,gpt-4o-mini,0.71,4183
CVL02,Note: C,gpt-4o-mini,0.6,3603
UPS04,Note: B,gpt-4o-mini,0.41,3879
HES05,Note: B,gpt-4o-mini,0.55,3838
SEN02,Note: B,gpt-4o-mini,0.74,3887
BOD12,Note: C,gpt-4o-mini,0.61,4036
LYO11,Note: C,gpt-4o-mini,0.69,3830
BOD01,Note: C,gpt-4o-mini,2.03,4039
SOU13,Note: B,gpt-4o-mini,0.6,3801
CFE02,Note: B,gpt-4o-mini,0.6,3666
HES01,Note: B,gpt-4o-mini,2.55,3593
LOR08,Note: B,gpt-4o-mini,0.5,3507
LRE09,Note: B,gpt-4o-mini,0.9,3317
BFC06,Note: C,gpt-4o-mini,0.7,3694
